#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_HUNGARY;Hungary and Croatia;;;;;;;;;;;;;x
BM_HUNGARY_DESC;The death of Helen the Fair, the childless Queen of Croatia, passes her kingdom on to her brother Ladislaus, King of Hungary. The union of Hungary and Croatia brings strength to the Magyars, but will Ladislaus and this new-formed Balkan union be able to stand the test of time? Elsewhere in the world, Yusuf, the Almoravid Emir of Mauretania, has begun uniting the peoples of North Africa and southern Iberia. He seeks to contest—and if possible, reverse—the conquests that the kingdoms of León and Castile have managed against the Muslims of Iberia.;;;;;;;;;;;;;x
BM_THE_ISLES;King of Dublin and the Isles;;;;;;;;;;;;;x
BM_THE_ISLES_DESC;Godred Crovan, of both Norwegian and Irish descent, has finally succeeded in expanding his Kingdom of Mann and the Isles to include his birthright, the Kingdom of Dublin. The day of the Norwegian conquerors is over, dead with the failure of Harald Hardrada at Stamford Bridge, but Godred Crovan believes in turning back that clock. From his foothold in Dublin, he seeks to expand and name himself Ard Rí ua Éire, High King of Ireland. But Godred is not without other troubles. He holds lands that Malcolm Dunkeld calls his own, and the Scottish king will not back down from his own birthright easily.;;;;;;;;;;;;;x
BM_NORWAY_1;The Collapse of the Isles;;;;;;;;;;;;;x
BM_NORWAY_1_DESC;The kingdom that Godred Crovan worked his entire life to create is no more. He is dead of the plague and his kingdom has fractured. While King Magnus III of Norway has reasserted hegemony over much of Godred’s old land, Galloway and Dublin have both declared independence from the Norwegian King. The north of Albion lies in flux: will Magnus be able to avenge his defeated grandfather Hardrada and terrorise the shores of Albion once again, or will Edgar, the young King of Scotland, be able to use this transition to his advantage?;;;;;;;;;;;;;x
BM_EDGE_OF_KNIFE;The Edge of the Knife;;;;;;;;;;;;;x
BM_EDGE_OF_KNIFE_DESC;The Western World stands upon the edge of a knife. In Iberia, the Almoravid Emirate is nearing total victory, with Alfonso of León and Castile barely holding on to the north of Spain, and the kingdoms of Aragon and Navarre and the County of Barcelona barely surviving at the French border. Across the Mediterranean, although the Komnenoi have taken the throne and fight valiantly against the Turk, Sultan Kilij Arslan holds much of Anatolia under his grasp, and looks with greedy eyes toward Lesser Armenia. Iberia or Anatolia, Castile or Byzantium: will the heathens succeed in breaking the iron walls of Christianity to finally breach the interior of Europe?;;;;;;;;;;;;;x
BM_ANTIOCH;The First Crusade;;;;;;;;;;;;;x
BM_ANTIOCH_DESC;Having been concluded with the bloody fall of Jerusalem, the First Crusade brought about a serious disruption in the stability of the Levant. In the north, the Principalities of Antioch and Edessa are in tension with not only each other but also with their Muslim and Armenian neighbors. To the south, the nascent Kingdom of Jerusalem is balanced against the weakened Fatimid Caliphate, the large Emirate of Damascus, and myriad minor atabegs dividing it from the Princes to the north. Can the Catholics hold out long enough to unify, or must another Crusade be called to secure a Catholic Holy Land?;;;;;;;;;;;;;x
BM_JERUSALEM;Jerusalem at Its Height;;;;;;;;;;;;;x
BM_JERUSALEM_DESC;Jerusalem stands strong and proud. The Principality of Antioch has been absorbed and the kingdom has expanded inland, toward the Sinai peninsula and Damascus. Although Jerusalem’s size and strength goes a long way to secure Catholic dominance in the Levant, everything is far from guaranteed. Damascus and Aleppo still stand as guards against the massive Seljuk Empire to the East, and the Fatimid Caliph smarts over the losses Egypt suffered during the First Crusade. Jerusalem has many enemies, and few friends. In the distance, a scream for Jihad sounds…;;;;;;;;;;;;;x
BM_KOMNENOS;Manuel Komnenos;;;;;;;;;;;;;x
BM_KOMNENOS_DESC;Manuel Komnenos reigns in Byzantium, and Hungary looks on in fear. Ever the opportunist, Manuel had long ago concluded a pact with the King of Hungary, Stephen III, whereby Stephen’s brother Béla would be educated at the Imperial court in Constantinople. Manuel had as-of-yet been without legitimate male issue, and intended Béla to be married to his daughter Maria, to eventually rule alongside her as Emperor. Sensing opportunity, however, Manuel decided to move against Stephen and press his son-in-law’s claims on the duchies of Dalmatia and Croatia. With those titles secured, Béla is now a landed vassal of Manuel, and the heir to the Kingdoms of Croatia and Hungary. Although the Komnenos line looks as though it may slip from the Imperial seat unless Manuel takes immediate action, the Byzantine Empire stands to grasp the greatest prize it has had in its sights since the Komnenoi took the throne: the buffer between the Holy Roman and Eastern Roman Empires.;;;;;;;;;;;;;x
BM_SERBIA;Fall of the Komnenoi;;;;;;;;;;;;;x
BM_SERBIA_DESC;The Komnenoi have fallen from the imperial throne, and Byzantium is falling with them. The newly-formed Kingdoms of Serbia and Bulgaria have declared their independence from the Byzantine crown, the Seljuk Sultans of Rum press against the Empire’s restored borders in Anatolia, and an independent Béla III rules in Hungary and Croatia. All of Manuel Komnenos’s dreams have come to naught, but this is a time of opportunity, for those wise enough to see it. Alexios Komnenos, an infant member of the royal Komnenos dynasty, rules in Trebizond. If he can gather support enough to press his claim on Byzantium, the young Komnenos can work to restore the golden age his family’s untimely fall from grace brought to a close.;;;;;;;;;;;;;x
BM_IBERIA;The Iberian Campaign;;;;;;;;;;;;;x
BM_IBERIA_DESC;Iberia is balanced between the Muslims and Christians. In the north the Catholics divide the land between five Kingdoms: Portugal, León, Castile, Navarre, and Aragon. To the south, the Muslims are unified once more under the emergent Almohad caliphate. The Christians may have shifted the balance in their favor, however: the Almohad Caliph Abu Ya‘qub Yusuf suffered multiple defeats, losing his life in Iberia while returning from his last campaign. Is this a time of opportunity and growth for the Christians, or can the new Almohad caliph muster enough strength to fight back?;;;;;;;;;;;;;x
BM_TURMOIL_IN_THE_EAST;Turmoil in the East;;;;;;;;;;;;;x
BM_TURMOIL_IN_THE_EAST_DESC;The Fourth Crusade has left Byzantium crippled, and its prior vassal states do not fare much better. Three powerful dukes vie for control of Greece proper, and only one of them is Greek. The hatred between the Latin and Byzantine Empires has not abated, but neither has progress been made toward discovering the final victor in their struggle. Glory and titles are there, for a man strong enough to seize them.;;;;;;;;;;;;;x
BM_FRACTURE;The Fall of Rûm;;;;;;;;;;;;;x
BM_FRACTURE_DESC;Plagued by the Mongols to the east and succession disputes, the Sultanate of Rûm has collapsed. In its place a half-dozen beys have risen. The Byzantine Empire, labored and barely standing, has recovered Constantinople, but its strength to do more than that is in question. Many other powers have interest in the east, among them Naples and the still-warring dukes in Greece. A great nation must rise from the ashes of Rûm—or Byzantium—and whoever succeeds in unifying the disparate peoples of the Aegean shall have power enough to challenge the gateguard of Europe, Hungary.;;;;;;;;;;;;;x
BM_SWEDEN;Magnus IV;;;;;;;;;;;;;x
BM_SWEDEN_DESC;Magnus IV, by election King of Sweden and by birthright King of Norway, has temporarily united much of Scandinavia under his rule. Unless Magnus proves to be an exceptional King it is unlikely that the union will live beyond him, but there are those who whisper of an Empire of the North, with Magnus I at its head…;;;;;;;;;;;;;x
BM_ITALY;The Italian Campaign;;;;;;;;;;;;;x
BM_ITALY_DESC;The Holy Roman Empire is in decline, and Italy has finally been completely freed from its grasp. Dukes war with counts, mayors with doges. Who will unite Italy—or will Italy be united at all?;;;;;;;;;;;;;x
BM_SALADIN;Saladin;;;;;;;;;;;;;x
BM_SALADIN_DESC;Salah ad-Din Yusuf ibn Ayyub—better known to the Western world as Saladin—has taken the throne of Egypt for his own. Previously the servant of the Emir of Damascus, Nur ad-Din, Saladin has broken with his former benefactor to usurp the rule of Egypt from the Shia Fatimids during a period of crisis, choosing opportunity over longstanding friendship with the Emir, and causing great tension in the Crusader states. Although Saladin is likely to be preoccupied for a time with the Emir of Aleppo, not to mention his own Shia subjects, it is only a matter of time until the holy warrior turns his eyes toward the states of Jerusalem and Antioch…;;;;;;;;;;;;;x
BM_ANARCHY;The Anarchy;;;;;;;;;;;;;x
BM_ANARCHY_DESC;The Anarchy was a period of early English history in which the dynasty of the Norman conqueror William broke down and was replaced by the cadet house of Plantagenet. It began when the second Norman King of England, Henry I, died without legitimate issue. Although Henry attempted to place his daughter Matilda on the throne, the lords of England would not have it. In his daughter’s place, a male descendent of William through the female line, Stephen de Blois, was declared king. Support for Stephen was not absolute, however, and there were many loyalists who sided with Matilda in the succession. Matilda herself was married to the first son of King Fulk of Jerusalem, Geoffrey of Anjou, later to be known as Geoffrey Plantagenet. Geoffrey has managed to conquer Normandy in her name, and the succession crisis between the powerful vassal and the weak King Stephen of England appears to be inevitable.;;;;;;;;;;;;;x
BM_LITHUANIA;House Gediminaitis Restored;;;;;;;;;;;;;x
BM_LITHUANIA_DESC;After the brief reign of the usurper-king Treniota, the people of Lithuania have seen fit to restore the house of King Mindaugas to the throne, establishing his first son Vaišvilkas as Grand Duke. Vaišvilkas has expanded Lithuania to the east, and in so doing has inadvertantly made Lithuania one of the de facto gateguards of Europe alongside the Kingdoms of Poland, Hungary, and Bulgaria, and the Grand Duchy of Novgorod. Although Vaišvilkas’s realm is still relatively small, his pious Christianity buys him time and potential support from other Christian rulers. If he can gain that support and use it to hold off the Mongol horde,the ambitious young Grand Duke of Lithuania might well be able to recover some of his ancestral lands lost to the Teuton knights…;;;;;;;;;;;;;x
BM_HABSBURG;The Habsburgs;;;;;;;;;;;;;x
BM_HABSBURG_DESC;Rudolf of Habsburg, current King of Germany, has put down Ottokar II of Bohemia, his only rival for the Roman-German throne. With Ottokar’s defeat much of his lands have defaulted back to the crown, including the duchy of Austria, which Rudolf has entrusted to his son, Albert. Although the succession is secure and a new age has begun with the Habsburg control of Austria, not all is well in the Empire. The Kingdom of Sicily has broken out of the firm control with which Frederick II held it, and has even begun expanding, conquering much of the coast of Greece and even Provence. Inspired by the succession crisis and Sicily’s success, many small states of northern Italy have declared independence. History calls the Habsburgs one of the most successful houses of the Medieval period, but now they face the potential collapse of the Empire’s control of the Italian peninsula. Stop the collapse, for the glory of the House of Habsburg!;;;;;;;;;;;;;x
BM_PLANTAGENET;Holy Roman Empire in Turmoil;;;;;;;;;;;;;x
