#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
adoptionist_DESC;Adoptionists reject the Holy Trinity, believing that Jesus Christ was adopted as God’s son at his ascension, chosen because of his sinless devotion to the will of God. They do not revere the Holy Mary, and were declared a Christian heresy at the end of the 2nd century.;;;;;;;;;;;;;x
apostolic;Armenian Apostolic;;;;;;;;;;;;;x
apostolic_DESC;Sometimes referred to as “Gregorian,” this was one of the early Christian faiths, founded in Armenia by the Apostles Bartholomew and Thaddeus. It split from orthodox Christianity in the 6th century on a matter of Christology – they are miaphysite, believing Christ to be of one incarnate nature, where both divine and human nature are united.;;;;;;;;;;;;;x
haruri_DESC;The Haruri are a sect from the period of the Rashidun Caliphs, named for their first leader, Habib ibn-Yazid al-Haruri. The Haruri were originally one branch of the Kharijite “Rejectors” movement, so called because they rejected Ali’s right to the Caliphate.;;;;;;;;;;;;;x
ismaili;Isma‘ili;;;;;;;;;;;;;x
ismaili_DESC;The Isma‘ili believe that, when the 6th Imam, Ja‘far al-Sadiq died, his true successor was not Musa al-Kazim as the others believe, but in fact was the already dead Isma‘il and his son Muhammad. The line of Isma‘il has been in hiding for years, but now has emerged to reclaim the Caliphate.;;;;;;;;;;;;;x
mahdiyya;Mahdist;;;;;;;;;;;;;x
mahdiyya_DESC;The Mahdists believe that the messiah, or Mahdi, has already risen, and given his commandments that clarify the Quran such that no other interpretation is valid. They are led by their own Caliphate of successors to the Mahdi.;;;;;;;;;;;;;x
mandaean_DESC;Mandaeism is a gnostic religion with a strongly dualistic worldview. Its adherents revere Adam, Abel, Seth, Enos, Noah, Shem, Aram and especially John the Baptist, but reject Abraham, Moses and Jesus of Nazareth. It is represented in-game as an early form of Manichaeism, and a potential heresy should it resurface.;;;;;;;;;;;;;x
manichean_DESC;Manichaeism is a Gnostic religion founded by the prophet Mani, who was put to death by the Sassanid Shahanshah Bahram I in 277. His “Religion of Light” incorporated elements of Christianity, Zoroastrianism, Buddhism and Gnosticism. At one point, Manichaeism spread far and wide, and was the biggest competitor with Christianity for replacing classical paganism until it began to fade in the 6th century.;;;;;;;;;;;;;x
