saxon;Anglo-Saxon;;;;;;;;;;;;;
cornish;Cornish;;;;;;;;;;;;;
cumbric;Cumbric;;;;;;;;;;;;;
langobardisch;Lombardic;;;;;;;;;;;;;
ugricbaltic;Estonian;;;;;;;;;;;;;
livonian;Livonian;;;;;;;;;;;;;
bosnian;Bosnian;;;;;;;;;;;;;
arberian;Albanian;;;;;;;;;;;;;
serbian;Serbian;;;;;;;;;;;;;
sicilian;Sicilian;;;;;;;;;;;;;
sicilian_greek;Sicilian-Greek;;;;;;;;;;;;;
sicilian_arabic;Siculo-Arabic;;;;;;;;;;;;;
pommeranian;Wendish;;;;;;;;;;;;;
ashkenazi;Ashkenazi Jewish;;;;;;;;;;;;;
crusader_culture;Levantine;;;;;;;;;;;;;
sephardic;Sephardi Jewish;;;;;;;;;;;;;
irish;Gaelic;;;;;;;;;;;;;
scottish;Scottish;;;;;;;;;;;;;
anglonorse;Anglo-Norse;;;;;;;;;;;;;
norsegaelic;Norse-Gaelic;;;;;;;;;;;;;
judaic;Judaic;;;;;;;;;;;;;
welsh;Welsh;;;;;;;;;;;;;
norwegian;Norwegian;;;;;;;;;;;;;
danish;Danish;;;;;;;;;;;;;
swedish;Swedish;;;;;;;;;;;;;
gothic;Geatish;;;;;;;;;;;;;
hungarian;Hungarian;;;;;;;;;;;;;
karantanci;Carantanian;;;;;;;;;;;;;
sardinian;Sardinian;;;;;;;;;;;;;
moravian;Moravian;;;;;;;;;;;;;
frankish;French;;;;;;;;;;;;;
norman;Norman;;;;;;;;;;;;;
basque;Basque;;;;;;;;;;;;;
castillan;Castilian;;;;;;;;;;;;;
catalan;Catalan;;;;;;;;;;;;;
portuguese;Portuguese;;;;;;;;;;;;;
breton;Breton;;;;;;;;;;;;;
polish;Polish;;;;;;;;;;;;;
bohemian;Czech;;;;;;;;;;;;;
croatian;Croatian;;;;;;;;;;;;;
bulgarian;Bulgarian;;;;;;;;;;;;;
prussian;Old Prussian;;;;;;;;;;;;;
lithuanian;Lithuanian;;;;;;;;;;;;;
finnish;Finnish;;;;;;;;;;;;;
lappish;Sami;;;;;;;;;;;;;
russian;Russian;;;;;;;;;;;;;
greek;Greek;;;;;;;;;;;;;
east_gothic;Goth;;;;;;;;;;;;;
armenian;Armenian;;;;;;;;;;;;;
somali;Somali;;;;;;;;;;;;;
andalusian_arabic;Andalusian;;;;;;;;;;;;;
corsican;Corsican;;;;;;;;;;;;;
venetian;Venetian;;;;;;;;;;;;;
tuscan;Tuscan;;;;;;;;;;;;;
ligurian;Ligurian;;;;;;;;;;;;;
arpitan;Arpitan;;;;;;;;;;;;;
italian;Lombard;;;;;;;;;;;;;
dalmatian;Dalmatian;;;;;;;;;;;;;
central_italian;Central Italian;;;;;;;;;;;;;
southern_italian;Southern Italian;;;;;;;;;;;;;
neapolitan;Neapolitan;;;;;;;;;;;;;
tuareg;Tuareg;;;;;;;;;;;;;
gascon;Gascon;;;;;;;;;;;;;
icelandic;Icelandic;;;;;;;;;;;;;
bedouin_arabic;Bedouin;;;;;;;;;;;;;
