PALATINE;Count Palatine;;;;;;;;;;;;
PALATINEA;Countess Palatine;;;;;;;;;;;;
PALATINE_FOA;Your Right Honourableness;;;;;;;;;;;;
PALATINE_OF;Palatinate of;;;;;;;;;;;;
DM;Margrave;;;;;;;;;;;;
DM_FOA;Your Highness;;;;;;;;;;;;
DM_OF;Margraviate of;;;;;;;;;;;;
DB;Duke;;;;;;;;;;;;
DB_FOA;Your Highness;;;;;;;;;;;;
DB_OF;Duchy of;;;;;;;;;;;;
DESPOT;Despot;;;;;;;;;;;;
DESPOT_FOA;Your Highness;;;;;;;;;;;;
DESPOT_OF;Despotate of;;;;;;;;;;;;
FE;Archbishop;;;;;;;;;;;;
FE_FOA;Your Holiness;;;;;;;;;;;;
FE_OF;Prince-Archbishopric of;;;;;;;;;;;;
ADA;Archduke;;;;;;;;;;;;
ADA_female;Archduchess;;;;;;;;;;;;
ADA_FOA;Your Highness;;;;;;;;;;;;
ADA_OF;Archduchy of;;;;;;;;;;;;
BURGRAVE;Burgrave;;;;;;;;;;;;
BURGRAVINE;Burgravine;;;;;;;;;;;;
BURGRAVE_FOA;Your Highness;;;;;;;;;;;;
BURGRAVE_OF;Burgraviate of;;;;;;;;;;;;
MARGRAVE;Margrave;;;;;;;;;;;;
MARGRAVINE;Margravine;;;;;;;;;;;;
MARGRAVE_FOA;Your Most Honourableness;;;;;;;;;;;;
MARGRAVE_OF;Margraviate of;;;;;;;;;;;;
LANDGRAVE;Landgrave;;;;;;;;;;;;
LANDGRAVINE;Landgravine;;;;;;;;;;;;
LANDGRAVE_OF;Landgraviate of;;;;;;;;;;;;
LANDGRAVE_FOA;Your Grace;;;;;;;;;;;;
