d_lubeck;Liubice;pommeranian,prussian
d_niederbayern;Raetia Secunda;roman,greek
d_brandenburg;Brandenburg;polish,bohemian,pommeranian,moravian,croatian,bosnian,serbian,karantanci,bulgarian,russian
d_osterreich;Noricum Ripense;roman,greek
d_oberbayern;Raetia Prima;roman,greek
d_susa;Alpes Cottiae;roman,greek
d_esztergom;Esztergom;bohemian,moravian,german
d_esztergom;Pannonia Valeria;roman,greek
d_pecs;Lower Pannonia;bohemian,moravian,pommeranian,polish,serbian,croatian,bosnian,karantanci
d_pecs;Pécs;german
d_pecs;Pannonia Prima;roman,greek
d_syrmia;Pannonia Secunda;roman,greek
d_syrmia;Szeged;russian
k_croatia;Illyricum;roman,greek
k_italy;Italia Annonaria;roman,greek
