#CODE;ENGLISH;ENGLISH
e_spain;;España
e_spain_adj;;Española
e_scandinavia;Nordmannia;Nordmannia
e_scandinavia_adj;Nordmannian;Nordmannian
e_scandinavia_adj_norse;Norðan;Norðr
e_scandinavia_adj_danish;Norðan;Norðr
e_scandinavia_adj_icelandic;Norðan;Norðr
e_scandinavia_adj_gothic;Norðan;Norðr
e_scandinavia_adj_swedish;Norðan;Norðr
e_scandinavia_adj_norwegian;Norðan;Norðr
e_hungary;Etelköz;Etelköz
e_hungary_adj;Etelközian;Etelközian
e_poland;Poland-Lithuania;Polska-Lietuva
e_poland_adj;Polish-Lithuanian;Polski-Lietuvo
e_france;France;France
e_france_adj;Frankish;Français
e_byzantium;Roman Empire;Basileia Rhõmaiõn
e_italy;Italy;Italia
e_italy_adj;Italian;Italiano
e_africa;Africa;Africa
e_africa_adj;African;African
e_hre;Holy Roman Empire;Heiliges Römisches Reich
e_hre_adj;Holy Roman;Kaiserliche
k_sweden;Sweden;Sviaríki
k_sweden_adj;Swedish;Svenskr
k_denmark;Denmark;Danmark
k_denmark_adj;Danish;Danskr
k_norway;Norway;Norégr
k_norway_adj;Norwegian;Norskr
k_brittany;Brittany;Breizh
k_brittany_adj;Breton;Brezhoneg
k_poland;Poland;Polska 
k_poland_adj;Polish;Polski
k_lithuania;Lithuania;Lietuva
k_lithuania_adj;Lithuanian;Lietuvos
k_bohemia;Bohemia;Czechy
k_bohemia_adj;Bohemian;Ceský
k_hungary;Hungary;Magyarország
k_hungary_adj;Hungarian;Magyar
k_serbia;Serbia;Srbija
k_serbia_adj;Serbian;Srbi
k_croatia;Croatia;Hrvatska
k_croatia_adj;Croatian;Hrvatski
k_bulgaria;Bulgaria;Balgariya 
k_bulgaria_adj;Bulgarian;Bâlgarski
k_saxony;Saxony;Sachsen
k_saxony_adj;Saxon;Sächsische
k_ireland;;Éire
k_ireland_adj;;hÉireann
k_armenia;Armenia;Hayk
k_armeina_adj;Armenian;Hayeren
k_aragon;Aragón;Aragón
k_aragon_adj;Aragonese;Aragonesa
k_burgundy;Burgundy;Bourgogne
k_burgundy_adj;Burgundian;Bourguigon
k_castille;Castile;Castilla
k_castille_adj;Castilian;Castellana
k_leon;León;León
k_leon_adj;Leonese;Leonesa
k_navarra;Navarra;Navarra
k_navarra_adj;Navarrese;Navarra
k_andalusia;Al-Andalus;Al-Andalus
k_andalusia_adj;Andalusian;Andalusí
k_moldau;Moldova;Moldova
k_moldau_adj;Moldovian;Moldovenesc
k_taurica;Crimea;Krimea
k_taurica_adj;Crimean;Krimean
k_byzantium;Thessalonika;Thessalonika
k_byzantium_adj;Thessalonian;Hellenic
k_anatolia;Iconion;Iconium
k_anatolia_adj;Anatolian;Anatolian
k_lotharingia;Lotharingia;Lotharingia
k_lotharingia_adj;Lotharingian;Lotharingian
k_pomerania;Wendland;Wendland
k_pomerania_adj;Wendish;Vendi
k_bavaria;Bavaria;Baiern
k_bavaria_adj;Bavarian;Bairische
k_schwaben;Swabia;Schwaben
k_schwaben_adj;Swabian;Schwäbische
k_wallachia;Wallachia;Wallachia
k_wallachia_adj;Wallachian;Wallachian
k_franconia;Franconia;Franken
k_franconia_adj;Franconian;Fränkische
k_terra;Livonia;Livonia
k_terra_adj;Livonian;Livonian
k_nikaea;Nicaea;Nikaea
k_nikaea_adj;Nicaean;Nikaeaian
k_bosnia;Bosnia;Bosna
k_bosnia_adj;Bosnian;Bosanci
k_epirus;Epirus;Epirus
k_epirus_adj;Epirene;Hellenic
k_carinthia;Carinthia;Kärnten
k_carinthia_adj;Carinthian;Kärntenische
k_upper_lorraine;Upper Lorraine;Oberlothringen
k_upper_lorraine_adj;Upper Lorraine;Oberlothringische
k_lower_lorraine;Lower Lorraine;Niederlothringen
k_lower_lorraine_adj;Lower Lorraine;Niederlothringische
k_cilician;Cilicia;Cilicia
k_cilician_adj;Cilician;Cilician
k_sardinia;Corsica and Sardinia;Corsicae et Sardiniae
k_sardinia_adj;Corse-Sardinian;Sardinian
k_italy;Lombardia;Lombardia
k_italy_adj;Lombardian;Lombardian
k_papal_state;Papal State;Status Pontificius
k_papal_state_adj;Papal;Sanctimonialis
k_sicily;Sicily;Sicilia
k_sicily_adj;Sicilian;Siciliani
k_patrimoniumpetri;Patrimonium of St. Peter;Patrimonium Sancti Petri
k_patrimoniumpetri_adj;Patrimonian;Sanctimonialis
k_venice;Venice;Venezia
k_venice_adj;Venetian;Veneti
k_finland;Finland;Suomi
k_finland_adj;Finnish;Suomalainen
k_portugal;Portugal;Portugal
k_portugal_adj;Portuguese;Portuguesa
d_finland;Finland;Suomi
d_finland_adj;Finnish;Suomalainen
d_lettigale;Lettigallen;Gerzike
d_lettigale_adj;Lettigallian;Lettigallian
d_julich;Jülich;Jülich
d_julich_adj;Jülichian;Jülichen
;;
;;
d_susa;Piemont;Piemonte
d_susa_adj;Piemontese;Piemontessian
d_sharukan;Sharukan;Sharukan
d_sharukan_adj;Sharukanian;Sharukanian
d_syrt;Syrt;Syrt
d_syrt_adj;Syrtian;Syrtian
d_mordva;Mordva;Mordva
d_mordva_adj;Mordvan;Mordvan
d_oldenburg;Lower Saxony;Niedersachsen
d_oldenburg_adj;Lower Saxon;Niedersaxish
d_nuremberg;Nürnberg;Nürnberg
d_nuremberg_adj;Nürnberger;Bavarian
d_jylland;Jylland;Jutäland
d_jylland_adj;Jyllandian;Jutälandish
d_lubeck;Lübeck;Lübeck
d_lubeck_adj;Lübeckish;Lübeckern
d_moers;Möers;Möers
d_moers_adj;Möersian;Möersian
d_holstein;Holstein;Holstein
d_holstein_adj;Holsteinian;Holsteinisch
d_aquileia;Friùli;Friùli
d_aquileia_adj;Friulian;Friulano
d_meath;Mide;Mide
d_meath_adj;Midenan;Midenan
d_nordgau;Nordgau;Nordgau
d_nordgau_adj;Nordgauian;Nordgauian
d_brunswick;Braunschweig-Lüneburg;Braunschweig-Lüneburg
d_brunswick_adj;Braunschweigian;Braunschweigian
d_koln;Cologne;Köln
d_koln_adj;Colognian;Rheinsh
d_zurich;Zürichgau;Zürichgau
d_zurich_adj;Zürch;Swiss
d_brandenburg;Nordmark;Nordmark
d_brandenburg_adj;Nordmarkian;Nordmarkian
d_csanad;Csanád;Csanád
d_csanad_adj;Csanádian;Csanádian
d_esztergom;Visegrád;Visegrád
d_talava;Talava;Tholowa
d_talava_adj;;Talavian
d_livonia;Saare-Lääne;Livland
d_livonia_adj;Saare-Läänian;Livonian
d_trakai;;Trakai
d_trakai_adj;;Trakaian
d_slesvig;Schleswig;Sliesvík
d_slesvig_adj;Schleswigian;Sliesvíkr
d_bacs;Bács;Bács
d_bacs_adj;Bácsian;Bácsian
d_moravia;Moravia;Morawske
d_bohemia;Moravian;Czeske
d_pfalz;Rhine Palatinate;Pfalzgrafschaft bei Rhein
d_pfalz_adj;Palatian;Rheinish
d_sampi;Sámpi;Sámpi
d_sampi_adj;Lappish;Lappish
d_strymon;Strymon;Strymon
d_strymon_adj;Greek;Greek
d_limburg;Limburg;Limburg
d_limburg_adj;Limbürgish;Limbürgish
d_athens;Hellas;Hellas
d_athens_adj;Hellenic;Hellenic
d_berg;Jülich-Kleve-Berg;Jülich-Kleve-Berg
d_berg_adj;Jülich-Klevian;Kleveische
d_mainz;Mainz;Mainz
d_mainz_adj;Mainzian;Rheinish
d_bishopmunster;Münster;Münster
d_bishopmunster_adj;Münsterian;Münsterian
d_trier;Trier;Trier
d_trier_adj;Trierian;Trierian
d_salzburg;Salzburg;Salzburg
d_salzburg_adj;Salzburgian;Salzburgian
d_bremen;Bremen;Bremen
d_bremen_adj;Bremish;Bremish
d_wurzburg;Ostfranken;Ostfranken
d_wurzburg_adj;Ostfrankish;Frankish
d_hainaut;Hainaut;Hainaut
d_hainaut_adj;Wallonian;Wallonian
d_tyrol;Tyrol;Tyrol
d_tyrol_adj;Tyrolian;Tyrol
d_barleduc;Bar;Bar
d_barleduc_adj;Lotharingian;Lotharingian
d_upper_lorraine;Moselle;Moselle
d_upper_lorraine_adj;Moselle;Moselle
d_niederbayern;Niederbaiern;Niederbaiern
d_niederbayern_adj;Niederbairische;Niederbairische
d_zahringen;Zähringen;Zähringen
d_zahringen_adj;Zähringern;Zähringern
d_bamberg;Bamberg;Bamberg
d_bamberg_adj;Bambergian;Fränkische
d_teck;Teck;Teck
d_teck_adj;Swabian;Schwäbishe
d_chur;Chur;Chur
d_chur_adj;Swabian;Schwäbishe
d_basel;Basel;Basel
d_basel_adj;Swiss;Swiss
d_arles;Arle;Arle
d_arles_adj;Occitan;Occitan
d_provence;Provence;Provença
d_provence_adj;Provencal;Occitan
d_lyon;Lyon;Lyon
d_lyon_adj;Lyonais;Lyonaisse
d_aosta;Aosta;Aosta
d_aosta_adj;Savoyard;Savoyard
d_liege;Liege;Liege
d_liege_adj;Liegian;Liegian
d_osterreich;Austria;Österreich
d_osterreich_adj;Austrian;Österrische
d_halsingland;Hälsingland;Hälsingland
d_halsingland_adj;Norrländish;Norrländish
d_bergslagen;Svealand;Svealand
d_bergslagen_adj;Svea;Svea
d_smaland;Gotland;Gotland
d_smaland_adj;Gotlandish;Gotlandish
d_albania;Albania;Albania
d_albania_adj;Albanian;Georgian
d_vaspurakan;Vaspurakan;Vaspurakan
d_vaspurakan_adj;Armenian;Armenian
d_suenik;Suenik;Suenik
d_suenik_adj;Armenian;Armenian
d_tao;Tayk;Tayk
d_tao_adj;Anatolian;Anatolian
d_mesopotamia;Taron;Taron
d_mesopotamia_adj;Armenian;Armenian
d_frisia;Frisia;Frisia
d_frisia_adj;Frisian;Frisian
d_osnabruck;Osnabrück;Osnabrück
d_osnabruck_adj;Osnabrückish;Osnabrückish
d_magdeburg;Magdeburg;Magdeburg
d_magdeburg_adj;Magdeburgish;Magdeburgish
d_cyprus;Nicosia;Nicosia
d_cyprus_adj;Nicosian;Nicosian
d_limisol;Limmassol;Limmassol
d_limisol_adj;Limmassolian;Limmassolian
d_corsica;Corsica;Corsica
d_corsica_adj;Corsican;Corsican
d_sjaelland;Syäland;Syäland
d_sjaelland_adj;Syälander;Syälandern
d_ostlandet;Víken;Víken
d_ostlandet_adj;Vikan;Ostlandske
d_pecs;Pecs;Somogyország
d_pecs_adj;Pecsian;Somogyországian
