#CODE;ENGLISH;ENGLISH
d_degothers;Goths;De Gothers
d_degothers_adj;Gothic;De Gothers
d_devenders;Wends;De Venders
d_devenders_adj;Wendish;De Venders
k_austria;Austria;Österreich
k_austria_adj;Austrian;Austrian
k_oldlivonia;Livonia;Livonija
k_oldlivonia_adj;Livonian;Livonijas
k_gardariki;Gardarike;Garðaríki
k_gardariki_adj;Gardariker;Garðaríkr
k_toulouse;Toulouse;Tolosa
k_toulouse_adj;Tolosan;Tolosan
k_flanders;Flanders;Flanders
k_flanders_adj;Flemish;Flamande
k_provence;Provence;Provença
k_provence_adj;Provencal;Provençal
k_york;York;Jórvik
k_york_adj;Yorkish;Jórvikian
d_austrialombardic;Austria;Austria
d_austrialombardic_adj;Austrian;Austrian
d_neustria;Neustria;Neustria
d_neustria_adj;Neustrian;Neustrian
d_tuscia;Tuscia;Tuscia
d_tuscia_adj;Tuscian;Tuscian
d_amalfi;Amalfi;Amalfi
d_amalfi_adj;Amalfitani;Amalfitani
d_gaeta;Gaeta;Gaeta
d_gaeta_adj;Gaetani;Gaetani
d_lower_lorraine;Lower Lorraine;Niederlothringen
d_lower_lorraine_adj;Lower Lorraine;Niederlothringishe
d_brabanttitular;Brabrant;Brabrant
d_brabanttitular_adj;Brabrantian;Brabrantian
k_valencia;Valencia;Valencia
k_valencia_adj;Valencian;Valenciana
k_spanish_galicia;Galicia;Galicia
k_spanish_galicia_adj;Galician;Gallega
k_granada;Granada;Granada
k_granada_adj;Granadine;Granadina
k_catalunya;Catalonia;Catalunya
k_catalunya_adj;Catalan;Catalana
d_alba_de_tormes;Alba de Tormes;Alba de Tormes
d_alba_de_tormes_adj;de Alba de Tormes;de Alba de Tormes
d_alburquerque;Alburquerque;Alburquerque
d_alburquerque_adj;Alburquerque;de Alburquerque
d_cardona;Cardona;Cardona
d_cardona_adj;Cardonan;de Cardona
d_gandia;Gandia;Gandia
d_gandia_adj;Gandian;de Gandia
d_infantado;Infantado;Infantado
d_infantado_adj;Infantadan;de Infantado
d_medina_sidonia;Medina Sidonia;Medina Sidonia
d_medina_sidonia_adj;Medina Sidonian;de Medina Sidonia
d_medinaceli;Medinaceli;Medinaceli
d_medinaceli_adj;Medinacelian;de Medinaceli
e_occitania;Occitania;Occitània
e_occitania_adj;Occitan;Occitan
d_sangermano;Terra Sancti Benedicti;Terra Sancti Benedicti
d_sangermano_adj;Bendicitian;Bendicitian
d_swabia;Swabia;Schwaben
d_swabia_adj;Swabian;Schwäbische
d_carinthia;Carinthia;Kärnten
d_carinthia_adj;Carinthian;Kärntenische
d_saxony;Saxony;Sachsen
d_saxony_adj;Saxon;Sächsische
d_bavaria;Bavaria;Baiern
d_bavaria_adj;Bavarian;Bairische
d_franconia;Rhenish Franconia;Rheinfranken
d_franconia_adj;Franconian;Rheinisch
d_lauenburg;Lauenburg;Lauenburg
d_lauenburg_adj;Lauenburgian;Lauenburgisch
k_salerno;Salerno;Principato di Salerno
k_salerno_adj;Salernian;Salernian
d_yatviags;Yatviag;Jotvingiai
d_yatviags_adj;Yatviagian;Jotvingiu
d_pruthenians;Pruthenians;Prùsà
d_pruthenians_adj;Pruthenian;Prusu
d_curonian;Curonians;Kurši
d_curonian_adj;Curonian;Kuršiu
d_zemigalians;Semigallians;Zemgali
d_zemigalians_adj;Semigallian;Zemgali
d_lettigalians;Lettigallians;Latgali
d_lettigalians_adj;Lettigallian;Latgali
d_esthonia;Estonians;Eesti
d_esthonia_adj;Estonian;Eesti
d_narbonne;Narbonne;Narbona
d_narbonne_adj;Narbonnese;Narbona
b_friis;;Friis
b_vadskaer;;Vadskær
b_ukena;;Ukena
b_fan_knyphausen;;fan Knyphausen
b_tjarksena;;Tjarksena
d_nordfrisland;Utlande;Utlande
d_nordfrisland_adj;Utlandish;Utlandr
b_limbek;;Limbekburgr
b_wittenborg;;Wittenborg
b_warendorp;;Warendorp
b_pat_luneburg;;Lüneburg
b_vorrade;;Vorrade
b_bardewik;;Bardewik
d_ugandians;Ugandians;Ugandilased
d_ugandians_adj;Ugandian;Ugandian
d_oseelians;Oselians;Saarlased
d_oeelians_adj;;Saarlanian
d_vironians;Vironians;Virulased
d_vironians_adj;Vironian;Virulanian
d_rotalians;Rotalians;Läänelased
