d_band_of_the_brave;Band of the Brave;The brave band
d_band_of_the_brave_adj;Mercenary;The brave band
d_band_of_the_red;Band of the Red;Floti hinn rauði 
d_band_of_the_red_adj;Mercenary;Floti hinn rauði 
d_jomsvikinger;Jómsvíkings;Jómsvíkingar
d_jomsvikinger_adj;Jómsvíking;Jómsvíkingar
d_black_gang;Black Gang;Arumer Zwarte Hoop
d_black_gang_adj;Black Gang;Arumer Zwarte Hoop
d_dove_company;Company of the Dove;Compagnia della Colomba
d_dove_company_adj;Mercenary;Compagnia della Colomba
d_ulfhedar;Berserker;Úlfhéðnar
d_ulfhedar_adj;Berserker;Úlfhéðnar
d_valr;Slain Warriors;Valr
d_valr_adj;Valr;Valr
#Sjómenninir;;
#Title;;
DROTTINN;Drottin;Drottin
Styrimadur;Styrimadur;Styrimaðr
VENTURECAPTAIN;Captain of fortune;Capitano di ventura
