frisian;Frisian;Frysk
saxon;Saxon;Angelcynn
cornish;Cornish;Kernowek
cumbric;Cumbric;Cumbri
langobardisch;Langobardish;Langobardo
tsuudi;Estonian;Eestlased
livonian;Livonian;Livonijas
bosnian;Bosnian;Bosanski
arberian;Albanian;Arbëreshë
serbian;Serbian;Srpski
sicilian;Sicilian;Sicilianu
sicilian_greek;Sicilian Greek;Sicilianu-Greco
sicilian_arabic;Sicilian Arabic;Siculo-Arabic
pommeranian;Wendish;Vendi
ashkenazi;Ashkenazi;Ashkenazi
crusader_culture;Levantine;Levantine
sephardic;Sephardi;Sephardi
irish;Gaelic;Goidel
scottish;Scots;Scots
anglonorse;Anglo Norse;Anglish
norsegaelic;Norse Gaelic;Gall Goidel
judaic;Judaic;Judaic
welsh;Welsh;Cymry
norwegian;Norwegian;Norskr
danish;Danish;Danskr
swedish;Swedish;Svenskr
gothic;Gothic;Gautr
dutch;Dutch;Diets
pecheneg;Pecheneg;Beçenek
cuman;Kipchak;Kipchak
hungarian;Hungarian;Magyar
karantanci;Carinthian;Karantánski
sardinian;Sardinian;Sardu
moravian;Moravian;Moravský
frankish;Frankish;Francique
norman;Norman;Normaund
basque;Basque;Euskara
castillan;Castilian;Castellana
catalan;Catalan;Catalana
portuguese;Portuguese;Portuguesa
breton;Breton;Bretoned
german;German;Deutsch
polish;Polish;Polski
bohemian;Bohemian;Ceský
croatian;Croatian;Hrvatski
bulgarian;Bulgarian;Bâlgarski
prussian;Prussian;Prusiskan
lithuanian;Lithuanian;Lietuviu
finnish;Finnish;Suomalainen
lappish;Sami;Sámi
russian;Russian;Russkiy
greek;Greek;Hellenic
armenian;Armenian;Hayeren
somali;Somali;Somali
andalusian_arabic;Andalusian;Andalusí
corsican;Corsican;Corsu
venetian;Venetian;Veneto
tuscan;Tuscan;Toscano
ligurian;Ligurian;Ligure
arpitan;Arpitan;Arpitan
italian;Lombard;Lombardo
central_italian;Central Italian;Mediano
southern_italian;Southern Italian;Meridionale
neapolitan;Neapolitan;Neapolitano
berber;Berber;Iznagen
tuareg;Tuareg;Kel Tamashek
gascon;Gascon;Gascona
icelandic;Icelandic;Íslondskr
bedouin_arabic;Bedouin Arabic;Badawi
egyptian_arabic;Misri Arabic;Misri
levantine_arabic;Mashriqi Arabic;Mashriq
turkish;Turkish;Türk
komi;Komi;Komi
mongol;Mongol;Mongolchuud
kurdish;Kurdish;Kurdi
ethiopian;Ethiopian;Ye-Ityoppya
georgian;Georgian;Kartvelebi
alan;Alan;Alauni
aragonese;Aragonese;Aragonesa
leonese;Leonese;Leonesa
obotrite;Obotrite;Abordite
lutici;Liutician;Lutici
galician;Galician;Gallega
maghreb_arabic;Maghreb Arabic;Maghreb
samoyed;Bjarmian;Beorm
karelian;;Karjalainen
vepsian;;Vepsalainen
mari;;Mejralainen
ingrian;;Inkerilainen
########################################;;
#Groups;;
########################################;;
#north_germanic;Norrœnt;Norrœnt
italian_group;Italian;Italian
north_african;Berber;Berber
iberian;Ibero-Romance;Ibero-Romance
central_slavic;Central Slavic;Central Slavic
#italian_group;Italian;Italiano
########################################;;
sanhaja;Sanhája;Znága
masmuda;Masmúda;Imesmuden
zanata;Zanáta;Aznáta
soninke;Soninke;Soninke
wolof;Wolof;Wolof
nubian;Nubian;Nubian
songhai;Songhai;Songhai
tagelmust;Veiled Sanhája;Tagelmust
hausa;Hausa;Hausa
kanuri;Kanuri;Kanuri
zaghawa;Zaghawa;Zaghawa
beja;Beja;Beja
daju;Daju;Daju
falashim;Beta Yisrael;Beta Yisrael
afar;Afar;Afar
