#CODE;;ENGLISH;;ENGLISH
k_papal_state;Papal States;Status Pontificius;;Papal State
k_papal_state_adj;Papal;Sanctimonialis;;Papal
d_degothers;Goths;De Gothers;;Goths
d_degothers_adj;Gothic;De Gothers;;Gothic
d_devenders;Wends;De Venders;;Wends
d_devenders_adj;Wendish;De Venders;;Wendish
k_austria;Austria;Österreich;;Austria
k_austria_adj;Austrian;Österreichische;;Austrian
k_oldlivonia;Livonia;Livonija;;Livonia
k_oldlivonia_adj;Livonian;Livonijas;;Livonian
k_gardariki;Kievan Rus';Garðaríki;;Gardarike
k_gardariki_adj;Rus';Garðaríkr;;Gardariker
k_toulouse;Toulouse;Tolosa;;Toulouse
k_toulouse_adj;Toulouse;Tolosan;;Tolosan
k_flanders;Flanders;Vlaanderen;;Flanders
k_flanders_adj;Flemish;Vlaamse;;Flemish
k_provence;Provence;Provença;;Provence
k_provence_adj;Provençal;Provençal;;Provencal
k_york;York;Jórvik;;York
k_york_adj;York;Jórvikian;;Yorkish
d_austrialombardic;Austria;Austria;;Austria
d_austrialombardic_adj;Austrian;Austrian;;Austrian
d_neustria;Neustria;Neustria;;Neustria
d_neustria_adj;Neustrian;Neustrian;;Neustrian
d_tuscia;Tuscia;Tuscia;;Tuscia
d_tuscia_adj;Tuscia;Tuscian;;Tuscian
d_amalfi;Amalfi;Amalfi;;Amalfi
d_amalfi_adj;Amalfitan;Amalfitani;;Amalfitani
d_gaeta;Gaeta;Gaeta;;Gaeta
d_gaeta_adj;Gaetan;Gaetani;;Gaetani
d_lower_lorraine;Lower Lorraine;Niederlothringen;;Lower Lorraine
d_lower_lorraine_adj;Lower Lorrainian;Niederlothringische;;Lower Lorraine
d_brabanttitular;Brabant;Brabant;;Brabrant
d_brabanttitular_adj;Brabant;Brabantse;;Brabrantian
k_valencia;Valencia;Valencia;;Valencia
k_valencia_adj;Valencian;Valenciana;;Valencian
k_spanish_galicia;Galicia;Galicia;;Galicia
