#ID       ;SED+ARKO;SED;ARKO;OTHER;CULTURE;CHARACTERS
#00_dynasties.txt;;;;;;
1         ;        ;;Gårdske;Gårdske;swedish;
2         ;        ;;Orsini;Orsini;italian;20330|70839|70840|70841|70842|70843|70845|70846|70850|70851|70852|70853|70854|70855|70856|70857|70858|70862|70864|70866|70867|70868|70869|70870|70871|70872|70873|70874|478503|478504|167468
3         ;        ;;de Villeneuve;de Villeneuve;norman;478502
4         ;        ;;Fournier;Fournier;frankish;478501
5         ;        ;;Kârawân;Kârawân;persian;
6         ;        ;;Jorjani;Jorjani;persian;
7         ;        ;;Osmanli;Ottoman;turkish;476500|476501|476502|71840|71841|71842|71845|71846|71847|71848|71849|71850|71851
8         ;        ;;Basarab;Basarab;romanian;
9         ;        ;Jagiellon;Jogailaitis;Jogailaitis;lithuanian;
10        ;        ;;Mikhailovich;Mikhailovich;russian;
11        ;        ;Gediminid;Gediminaitis;Gediminaitis;lithuanian;125300|125301|125303|125305|125306|125308|125309|125310|125311|125312|125314|125315|125316|125317|125318|228012|471503|472100|472350|472351|472352|473500|473503|473504|473506|473507|473508|473509|473510|473513|473514|473515
12        ;        ;;Sartaq;Sartaq;mongol;
13        ;        ;Fyodorov;Fyodyorov;Fyodyorov;russian;472807
14        ;        ;;Lukinich;Lukinich;russian;
15        ;        ;;Mengu-Timur;Mengu-Timur;mongol;
16        ;        ;of Swidnica;Swidnicki;Swidnicki;polish;
17        ;        ;;Branicki;Branicki;polish;
18        ;        ;;Borkowic;Borkowic;polish;471670
19        ;        ;of Pomerania;von Pommern;von Pommern;german;
20        ;        ;of Rügen;von Rügen;von Rügen;german;
21        ;        ;of Glogów;Glogowski;Glogowski;polish;
22        ;        ;;Bogorski;Bogorski;polish;
23        ;        ;;Lisy;Lisy;polish;
24        ;        ;;Lewicki;Lewicki;polish;471560|471561|471570
25        ;        ;;Wielkopolski;Wielkopolski;polish;
26        ;        ;of Opole;Opolski;Opolski;polish;
27        ;        ;Astikas;Astikaitis;Astikaitis;lithuanian;
28        ;        ;;Czartoryski;Czartoryski;polish;
29        ;        ;of Opava;Opawski;Opawski;polish;
30        ;        ;of Galicia;Halicki;Halicki;polish;
31        ;        ;Olshanski;Alšeniškis;Alšeniškis;lithuanian;
32        ;        ;;Zahumski;Zahumski;polish;468850
33        ;        ;;Kujawski;Kujawski;polish;468830
34        ;        ;;Kotromanic;Kotromanic;serbian;34148|34149|34150|34151|34153|468800|468801|468805|468806|468807|468810
35        ;        ;;Dragusin;Dragusin;romanian;
36        ;        ;;Dragutin;Dragutin;serbian;
37        ;        ;of Serbia;Srbija;Srbija;serbian;218501
38        ;        ;;Srednogorski;Srednogorski;bulgarian;
39        ;        ;;Karvuna;Karvuna;bulgarian;467550|467551|467555
40        ;        ;;Terter;Terter;bulgarian;31191|31193|31194|31195|31201|467530|467531|468550|468555
41        ;        ;;Shishman;Shishman;bulgarian;467500|467501|467502|467503|467504|467506|467507|467508|467510|467511|467512|467513|467520|467521|467522|467523|467524
42        ;        ;;Jaqeli;Jaqeli;georgian;232768|232769|466502|466750|466751|466752|466753|466754|466755|1000234292|1000234293|1000234294|1000234295|1000234299|1000234300
43        ;        ;;Bagratuni;Bagratuni;armenian;41500|41501|41502|41503|41504|41505|41506|41507|41508|41509|41510|41511|41518|41519|41520|41521|41522|41524|41525|41526|41527|41528|41530|41531|41532|41533|41538|41539|70445|70446|70447|70448|9955|159282|159286|159287|159288|159918|159919|159920|159921|159922|159923|159924|159925|159926|159927|159928|159929|145998|1000232523|1000232524|1000232525|1000232526|1000232527|1000232528|1000232529|1000232530|1000232531|1000232532|1000232533|1000232534|1000232535|1000232536|1000232537|1000232538|1000232539|1000232540|1000232541|1000232543|1000232544|1000232545|1000232546|1000232547
44        ;        ;;Hayastani;Hayastani;armenian;4554
45        ;        ;;Struma;Struma;bulgarian;
46        ;        ;Cantacuzene;Kantakouzenos;Kantakouzenos;greek;20511|465530|465531|465532|465533|465534|465535|465536|34404|34405|34407|34408|34409|34410|34411|34412|34413|34414|34416|34418|34419|34420|34421|34422|34423|34424|34425|34426|34427
47        ;        ;of Montferrat;di Monferrato;di Monferrato;italian;
48        ;        ;Palaeologus;Palaiologos;Palaiologos;greek;125746|125747|125748|125749|125750|1764|215009|42014|465500|465501|465510|465511|465512|465513|465514|465515|465516|465520|465521|465526|465527|465528|465529|465600|465601|465806|468503|34281|34282|34283|34284|34285|34286|34287|34288|34417|34437|34438|34439|34440|34441|34442|34443|34444|34445|34454|34455|34456|34457|34458|34459|462670|465523
49        ;        ;;Dandolo;Dandolo;italian;
50        ;        ;;Spinola;Spinola;italian;91338|34877|31471|70786|463555|463550|73430|91339|91340|91341|91342|91343|91345|91346|91347|91348|91349|91350|91351|91353|91354|91355|91356|91357|91358|91359|91361|91362|91363|91365|91366|91367|91368|91369|91370|91371|91372|91373|91374|91376|91377|91378|91379|91380|91381|91382|91456|180190
51        ;        ;of Habsburg;von Habsburg;von Habsburg;german;11006|11010|11011|11012|20289|213130|213131|213132|213133|213135|462020|462021|462023|462024|462025|462026|462027|462028|462029|462031|462032|462035|462037|462038|462039|462040|462041|462042|462043|462044|462046|462047|462048|462050|462052|462054|462055|462056|462057|462058|462059|462060|462062|462751|462926|469521|7526|7630|98010|125999|33636|33637|33638|33639|33641|33642|33643|33645|33646|33647|33648|33649|33650|161904
52        ;        ;;von Diepholz;von Diepholz;german;30339|462916
53        ;        ;of Silesia;von Silesia-Glogau;von Silesia-Glogau;german;
54        ;        ;;du Dros;du Dros;frankish;
55        ;        ;;Wittelsbach;Wittelsbach;german;
56        ;        ;of Carinthia;von Kärnten;von Kärnten;german;
57        ;        ;;de la Tour du Pin;de la Tour du Pin;frankish;138366|138394|138414|138412|138408|138410|138406|462701|7497|7496|31663|420303|462700|7492|7493|168092|168093|168094|168095|168096|168097|168098|168099|168100|168101|168102|168103
58        ;        ;of Piedmont;de Piemont;de Piemont;frankish;
59        ;        ;;de Bâgé;de Bage;frankish;462680
60        ;        ;of Montferrat;de Montferrat;de Montferrat;frankish;
61        ;        ;of Luxembourg;de Luxembourg;de Luxembourg;frankish;31117|31118|31119|462600|462603|462604|462605|462606|462610|462611|462612|462614|462616|462617|462618|462619|462621|462622|462623|455538
62        ;        ;Czartoryski;Cartoriskis;Cartoriskis;lithuanian;
63        ;        ;;Kilikos;Kilikos;greek;41300
64        ;        ;;Moncada;Moncada;italian;31413|31414|31415|31416
65        ;        ;Chiaramonte;di Chiaramonte;di Chiaramonte;italian;71128|71755
66        ;        ;;Palizzi;Palizzi;italian;
67        ;        ;;Ventimiglia;Ventimiglia;italian;
68        ;        ;da Verona;di Verona;di Verona;italian;212072|461570|461571|70734|70735|70738|70739|70751|31475|31476|31477|31478|31479|31480|31481|31482|31483|31484|31486
69        ;        ;of Castalnasetta;di Castalnasetta;di Castalnasetta;italian;461521|461522
70        ;        ;;Sormella;Sormella;italian;461501
71        ;        ;of Sabran;de Sabran;de Sabran;italian;460606|205986|205988
72        ;        ;of Savoy;di Saboya;de Saboya;italian;
73        ;        ;of Majorca;de Mallorca;de Mallorca;catalan;
74        ;        ;d’Entença;d'Entença;d'Entença;catalan;460511|72087|72088|72090|72091|72092|72230|72231|200126|200127|200128|200129|200130|200131|200132|200133|200134|200135|200136|200157
75        ;        ;of Coimbra;de Coimbra;de Coimbra;portuguese;109623|70245|73854|73855|73857|73858|73859|73860|73861|73862|73863|73871|73880|73881|73882|73883|73891|73892|73893|73894|73895|217303
76        ;        ;;Núñez;Núñez;castillan;
77        ;        ;;de la Cerda;de la Cerda;castillan;457542|457550|457551|457552|457553|457554|457555|457556|71492|71493|71494|71495|71496|71497|71498|71499|71500|71501|71502|71503|71505|457570
78        ;        ;of Guelders;van Gelre;van Gelre;frisian;30050
