#CODE                                          ;SED+EMF ;EMF;SWMH;OTHER;SED;VANILLA
Germania                                       ;Germania;Germania;;;;
#1_PB_CBs.csv;;;;;
#1_PB_CatholicSchism.csv;;;;;
#1_PB_SWMH_retinues.csv;;;;;
RETTYPE_CUL_KARANTANCI                         ;        ;Vitez;Vitez;;Knight;
RETTYPE_CUL_POMMERANIAN                        ;        ;Druzyna;Druzyna;;Druzhina;
RETTYPE_CUL_CROATIAN                           ;        ;Uskok;Uskok;;Uskok;
RETTYPE_CUL_SERBIAN                            ;        ;Vlastela;Vlastela;;Vlastela;
RETTYPE_CUL_BULGARIAN                          ;        ;Bolqr;Bolqr;;Boyar;
RETTYPE_CUL_BOHEMIAN                           ;        ;Rytír;Rytír;;Knight;
RETTYPE_CUL_ROMANIAN                           ;        ;Calarasi;Calarasi;;Calarasi;
RETTYPE_CUL_HUNG                               ;        ;Bandérium;Bandérium;;Banderium;Hussar
RETTYPE_CUL_FINNO_UGRIC                        ;        ;Soturi Lempo;Soturi Lempo;;Warrior of Lempo;
RETTYPE_CUL_BALT                               ;        ;Karavirs Perkons;Karavirs Perkons;;Warrior of Perkunas;Baltic Warrior
RETTYPE_CUL_NORMAN                             ;        ;Chevalier;Chevalier;;Knight;
RETTYPE_CUL_SOUTH_SLA                          ;        ;Gusar;Gusar;;Hussar;Gusar
RETTYPE_CUL_SCOT                               ;        ;Schiltron;Schiltron;;Schiltron;Schiltron
RETTYPE_CUL_IRISH                              ;        ;Gallóglach;Gallóglach;;Gallowglass;Gallowglass
RETTYPE_CUL_NORSEGAELIC                        ;        ;Gallóglach;Gallóglach;;Gallowglass;
RETTYPE_CUL_ENG                                ;        ;Longbowman;Longbow;;Longbow;Longbow
RETTYPE_CUL_SAXON                              ;Thingman;Þingalið;Gesith;;Gesith;
RETTYPE_CUL_NORWEGIAN                          ;        ;Heiðþegi;Heiðþegi;;Housecarl;
RETTYPE_CUL_DUTCH                              ;        ;Goedendag Burgerwacht;Goedendag Burgerwacht;;Goedendag Burgerwacht;Goedendag Militia
RETTYPE_CUL_GERMAN                             ;        ;Ritter;Ritter;;Knight;
RETTYPE_CUL_RUS                                ;        ;Druzhýna;Druzhýna;;Druzhina;Druzhina
RETTYPE_CUL_POLISH                             ;        ;Druzyna;Druzyna;;Druzhina;
RETTYPE_CUL_LITHUANIAN                         ;        ;Perkuno Karys;Perkuno Karys;;Warrior of Perkunas;
RETTYPE_CUL_E_AFR                              ;        ;Zãbãnnya;Zãbãnnya;;Guard;
RETTYPE_CUL_IRANIAN                            ;        ;Khwarezmiyya;Khwarezmiyya;;Khwarezmiyya;
RETTYPE_CUL_BYZ                                ;        ;Kataphraktos;Kataphraktos;;Cataphract;Cataphract
RETTYPE_CUL_TURKISH                            ;        ;Sipahi;Sipahi;;Sipahi;
RETTYPE_CUL_ALTAIC                             ;        ;Kheshig;Kheshig;;Kheshig;Horse Archer
RETTYPE_CUL_GEORGIAN                           ;        ;Mona'spa;Mona'spa;;Royal Cavalry;
RETTYPE_CUL_ITA                                ;        ;Cavaliere;Cavaliere;;Knight;Pike
RETTYPE_CUL_ARAB                               ;        ;Al-Faris;Al-Faris;;Knight;Camel Warrior
RETTYPE_CUL_CATALAN                            ;        ;Almughavar;Almughavar;;Almogavar;
RETTYPE_CUL_ANDALUSIAN                         ;        ;Zenata;Zenata;;Zenata;Andalusian Cavalry
RETTYPE_CUL_CASTILLIAN                         ;        ;Caballero;Caballero;;Knight;
RETTYPE_CUL_PORTUGESE                          ;        ;Cavaleiro;Cavaleiro;;Knight;
RETTYPE_CUL_FRANKISH                           ;        ;Chevalier;Chevalier;;Knight;
RETTYPE_CUL_ARMENIAN                           ;        ;Naxarar;Naxarar;;Nakharar;
RETTYPE_CUL_BASQUE                             ;        ;Zaldun;Zaldun;;Knight;
RETTYPE_CUL_ESTONIAN                           ;        ;Malev;Malev;;Malev;
RETTYPE_CUL_ROMAN                              ;        ;Praetorianus;Praetoriani;;Praetorian Guard;
RETTYPE_CUL_AVAR                               ;        ;Sclavinia;Sclavinia;;Sclaveni;
RETTYPE_CUL_NORSE                              ;        ;Heimþegi;Heimþegi;;Housecarl;
RETTYPE_CUL_VISIGOTHIC                         ;Visigoth;Vesi;;;;
RETTYPE_CUL_NORTHAFR                           ;A-Mazigh;a-Mazigh;;;;
RETTYPE_CUL_SYR                                ;        ;Kashat;;;;
#1_PB_buildings.csv;;;;;
ca_culture_saxon_english_0                     ;Longbow Range;Long Bow Range;;;;
ca_culture_saxon_english_1                     ;        ;Long Bow Range;Longbow Range;;Longbow Range;Longbow Range
ca_culture_saxon_english_2                     ;        ;Long Bow Range;Longbow Range;;Longbow Range;Longbow Range
ca_culture_saxon_english_3                     ;        ;Long Bow Range;Longbow Range;;Longbow Range;Longbow Range
ca_culture_saxon_english_4                     ;        ;Long Bow Range;Longbow Range;;Longbow Range;Longbow Range
ca_culture_saxon_english_5                     ;Longbow Range;Long Bow Range;;;;
ca_culture_scottish_0                          ;Schiltron Training Ground;Schiltron Training Ground;;;;
ca_culture_scottish_1                          ;        ;Schiltron Training Ground;Schiltron Training Ground;;Schiltron Training Ground;Schiltron Training Ground
ca_culture_scottish_2                          ;        ;Schiltron Training Ground;Schiltron Training Ground;;Schiltron Training Ground;Schiltron Training Ground
