#CODE                                          ;SED+VIET;VIET;OTHER;SED;VANILLA
#Additional Objectives.csv;;;;;
#HKC Christian Stuff.csv;;;;;
temple_emperor_christian                       ;Primate ;Primate;;;
temple_empire_of_christian                     ;See of  ;See of;;;
temple_king_christian                          ;Patriarch;Patriarch;;King-Bishop;King-Bishop
temple_kingdom_of_christian                    ;Patriarchate of;Patriarchate of;;;
temple_duke_christian                          ;        ;Prince-Archbishop;;Prince-Archbishop;Prince-Archbishop
temple_count_christian                         ;Prince-Bishop;Prince-Bishop;;Prince-Bishop;Prince-Bishop
#HKC Sinic Titles.csv;;;;;
#Latinokratia_localisation.csv;;;;;
e_latin_empire_adj                             ;        ;Roman;;Latin;Latin
#MZ.csv;;;;;
emperor_iranian                                ;        ;Shahanshah;;Shah;Shahanshah
king_iranian                                   ;        ;Shah;;Shah;Shah
king_female_iranian                            ;        ;Banebshen;;Banbishn;Banebshen
duke_iranian                                   ;        ;Satrap;;Satrap;Satrap
count_iranian                                  ;        ;Marzban;;Marzban;Marzoban
baron_iranian                                  ;        ;Argbadh;;Argbed;Argbadh
barony_iranian                                 ;        ;Arg;;Arg;Arg
barony_of_iranian                              ;        ;Arg of;;Arg of;Arg of
county_iranian                                 ;        ;Marzpanate;;Marzpanate;Marzpanate
county_of_iranian                              ;        ;Marzpanate of;;Marzpanate of;Marzpanate of
duchy_iranian                                  ;        ;Satrapy;;Satrapy;Satrapy
duchy_of_iranian                               ;        ;Satrapy of;;Satrapy of;Satrapy of
kingdom_iranian                                ;        ;Shahdom;;Shahdom;Shahdom
kingdom_of_iranian                             ;        ;Shahdom of;;Shahdom of;Shahdom of
temple_baron_zoroastrian                       ;Mobed   ;Mobad;;Herbad;Herbad
temple_barony_zoroastrian                      ;Atashkada;Atashkada;;Verethragna;Vahram
temple_barony_of_zoroastrian                   ;Atashkada of;Atashkada of;;Verethragna of;Vahram of
job_spiritual_zoroastrian_group                ;Dastur  ;Dastur;;Mobed;Mobad
job_spiritual_zoroastrian                      ;Dastur  ;Dastur;;Mobed;Mobad
job_spymaster_zoroastrian                      ;Spasaka ;Spasaka;;;
job_chancellor_zoroastrian_group               ;Wuzurg Framadar;Vuzorg Farmadar;;Astabadh;Astabadh
job_marshal_zoroastrian_group                  ;        ;Eran Spahbod;;Eran-Spahbed;Eran Spahbod
job_treasurer_zoroastrian_group                ;Ho Tokhshan Bod;Ho Tokhshan Bod;;Chamberlain;Darik-Pat
city_baron_zoroastrian_group                   ;Dehqan  ;Dihqan;;;
#Regency_localisations.csv;;;;;
#SyrenNickMod.csv;;;;;
#VIET_Celtic.csv;;;;;
#VIET_Culture.csv;;;;;
tamil                                          ;        ;Tamil;;Tamil;Tamil
sindhi                                         ;        ;Sindhi;;Sindhi;Sindhi
pictish                                        ;        ;Pictish;;Pictish;Pictish
sinhala                                        ;        ;Sinhala;;Sinhalese;Sinhala
lombard                                        ;        ;Lombard;;Langobard;Lombard
tocharian                                      ;        ;Tocharian;;Tocharian;Tocharian
baron_female_andalusian_arabic                 ;Wâli    ;Wâlia;;;
barony_andalusian_arabic                       ;Wilayah ;Wilayah;;;
baron_berber                                   ;Wâli    ;Wâli;;;
baron_female_berber                            ;Wâli    ;Wâlia;;;
barony_of_berber                               ;Wilayah of;Wilayah of;;;
count_berber                                   ;Sheikh  ;Sheikh;;;
count_female_berber                            ;Shaykhah;Shaykhah;;;
county_of_berber                               ;Sheikhdom of;Sheikhdom of;;;
duke_berber                                    ;Emir    ;Emir;;;
duke_female_berber                             ;Emira   ;Emira;;;
duchy_of_berber                                ;Emirate of;Emirate of;;;
king_berber                                    ;Sultan  ;Sultan;;;
king_female_berber                             ;Sultana ;Sultana;;;
kingdom_of_berber                              ;Sultanate of;Sultanate of;;;
barony_berber                                  ;Wilayah ;Wilayah;;;
county_berber                                  ;Sheikhdom;Sheikhdom;;;
duchy_berber                                   ;Emirate ;Emirate;;;
