#CODE                                        ;SED+VIET;VIET;SWMH;OTHER;SED;VANILLA
#zj_Additional Objectives.csv;;;;;
#zj_HKC Christian Stuff.csv;;;;;
temple_emperor_christian                     ;        ;Primate;;;;
temple_empire_of_christian                   ;        ;See of;;;;
temple_king_christian                        ;Patriarch;Patriarch;;;King-Bishop;King-Bishop
temple_kingdom_of_christian                  ;        ;Patriarchate of;;;;
temple_duke_christian                        ;        ;Prince-Archbishop;;;Prince-Archbishop;Prince-Archbishop
temple_count_christian                       ;        ;Prince-Bishop;;;Prince-Bishop;Prince-Bishop
#zj_HKC Sinic Titles.csv;;;;;
emperor_khitan                               ;        ;Huang Di;Huang Di;;Emperor;
emperor_female_khitan                        ;        ;Huang Tai Ho;Huang Tai Ho;;Empress;
king_khitan                                  ;        ;Ong;Ong;;King;
king_female_khitan                           ;        ;Ong-n Pi;Ong-n Pi;;Queen;
nomadic_king_khitan                          ;        ;Irkin;Irkin;;High Chief;
nomadic_king_female_khitan                   ;        ;Ilim;Ilim;;High Chieftess;
tribal_king_khitan                           ;        ;Irkin;Irkin;;High Chief;
tribal_king_female_khitan                    ;        ;Ilim;Ilim;;High Chieftess;
duke_khitan                                  ;        ;Tqosi;Tqosi;;Commissioner;
duke_female_khitan                           ;        ;Pushin;Pushin;;Lady;
duchy_of_khitan                              ;        ;Province of;Province of;;Province of;
count_khitan                                 ;        ;Tshisi;Tshisi;;Magistrate;
count_female_khitan                          ;        ;Au'ui;Au'ui;;Lady;
county_of_khitan                             ;        ;Commandery of;Commandery of;;Commandery of;
baron_khitan                                 ;Tarkhan ;Tarqan;Basqaq;;Prefect;
baron_female_khitan                          ;        ;Aldun;Aldun;;Lady;
barony_of_khitan                             ;        ;County of;County of;;County of;
title_prince_khitan                          ;        ;Taisi;Taisi;;Prince;
title_prince_female_khitan                   ;        ;Au'ui;Au'ui;;Princess;
#zj_Latinokratia_localisation.csv;;;;;
e_latin_empire                               ;        ;Romania;Imperium Romaniae;;Latin Empire;Latin Empire
e_latin_empire_adj                           ;        ;Roman;;;Latin;Latin
#zj_MZ.csv;;;;;
emperor_iranian                              ;        ;Shahanshah;;;Shahanshah;Shahanshah
king_iranian                                 ;        ;Shah;;;Shah;Shah
king_female_iranian                          ;        ;Banebshen;;;Banbishn;Banebshen
duke_iranian                                 ;        ;Satrap;;;Satrap;Satrap
