#ID       ;SED     ;SWMH;CULTURE;CHARACTERS
#01_tuscan dynastiesSWMH.txt;;;;
1000035001;        ;Alighieri;tuscan;
1000035002;        ;Aldobrandeschi;tuscan;
1000035003;        ;Accolti;tuscan;
1000035004;        ;Albergotti;tuscan;
1000035005;        ;Ubertini;tuscan;
1000035006;Acciaioli;Acciaiuoli;tuscan;
1000035007;        ;Amidei;tuscan;
1000035008;        ;Barberini;tuscan;
1000035009;del Pugliese;Del Pugliese;tuscan;
1000035010;        ;Guicciardini;tuscan;
1000035011;de’ Pazzi;de Pazzi;tuscan;
1000035012;        ;Pucci;tuscan;
1000035013;        ;Salviati;tuscan;
1000035014;Torregiani;Torrigiani;tuscan;
1000035015;        ;Orlando;tuscan;
1000035016;        ;Busdraghi;tuscan;
1000035017;        ;Diodati;tuscan;
1000035018;        ;Guinigi;tuscan;
1000035019;degli Obizzi;Obizzi;tuscan;
1000035020;        ;Ottolini;tuscan;
1000035021;        ;Cybo;tuscan;
1000035022;        ;Caetani;tuscan;
1000035023;        ;Cancellieri;tuscan;
1000035024;        ;Cellesi;tuscan;
1000035025;        ;Rospigliosi;tuscan;
1000035026;        ;Setticelli;tuscan;
1000035027;        ;Pannocchieschi;tuscan;
1000035028;        ;Adimari;tuscan;
1000035029;        ;Alamanni;tuscan;
1000035030;degli Albizi;Albizi;tuscan;
1000035031;degli Alessandri;Alessandri;tuscan;
1000035032;        ;Altoviti;tuscan;
1000035033;        ;Antinori;tuscan;
1000035034;de’ Bardi;Bardi;tuscan;
1000035035;de’ Becchi;Becchi;tuscan;
1000035036;        ;Catellini da Castiglione;tuscan;
1000035037;Certani ;Cerretani;tuscan;
1000035038;        ;Corsi;tuscan;
1000035039;da Casavecchia;Da Casavecchia;tuscan;
1000035040;da Filicaja;Tebaldi della Vitella;tuscan;
1000035041;de’ Fifanti;Fifanti;tuscan;
1000035042;        ;Filippi;tuscan;
1000035043;        ;Gherardini;tuscan;
1000035044;        ;Guadagni;tuscan;
1000035045;dei Lamberti;Lamberti;tuscan;
1000035046;        ;Lucardesi;tuscan;
1000035047;        ;Nerli;tuscan;
1000035048;        ;Ricasoli;tuscan;
1000035049;Tornabuoni;Tornaquinci;tuscan;
1000035050;        ;Upezzinghi;tuscan;
1000035051;degli Ardengheschi;Ardengheschi;tuscan;
1000035052;        ;Bertoldi;tuscan;
1000035053;di Linari;Linari;tuscan;
1000035054;        ;Bonsignori;tuscan;
1000035055;        ;Angiolieri;tuscan;
1000035056;        ;Tolomei;tuscan;
1000035057;degli Abati;Abati;tuscan;
1000035058;        ;Barbolani di Montauto;tuscan;
1000035059;        ;Machiavelli;tuscan;
1000035061;        ;Montanini;tuscan;
1000035062;        ;Filippeschi;tuscan;
1000035063;degli Uberti;Uberti;tuscan;
1000035064;        ;Salvani;tuscan;
1000035065;        ;Ugurieri;tuscan;
1000035066;        ;Tornaquinci;tuscan;
