#ID     ;SED     ;VANILLA;CULTURE;CHARACTERS
#00_dynasties.txt;;;;
1       ;        ;Gårdske;swedish;
2       ;        ;Orsini;italian;20330|70839|70840|70841|70842|70843|70845|70846|70850|70851|70852|70853|70854|70855|70856|70857|70858|70862|70864|70866|70867|70868|70869|70870|70871|70872|70873|70874|478503|478504|167468
3       ;        ;de Villeneuve;norman;478502
4       ;        ;Fournier;frankish;478501
5       ;        ;Kârawân;persian;
6       ;        ;Jorjani;persian;
7       ;        ;Ottoman;turkish;476500|476501|476502|71841|71842|71845|71846|71847|71848|71849|71850|71851
8       ;        ;Basarab;romanian;
9       ;Jagiellon;Jogailaitis;lithuanian;
10      ;        ;Mikhailovich;russian;
11      ;Gediminid;Gediminaitis;lithuanian;125300|125301|125303|125305|125306|125308|125309|125310|125311|125312|125314|125315|125316|125317|125318|228012|471503|472100|472350|472351|472352|473500|473503|473504|473506|473507|473508|473509|473510|473513|473514|473515
12      ;        ;Sartaq;mongol;
13      ;Fyodorov;Fyodyorov;russian;472807
14      ;        ;Lukinich;russian;
15      ;        ;Mengu-Timur;mongol;
16      ;of Swidnica;Swidnicki;polish;
17      ;        ;Branicki;polish;
18      ;        ;Borkowic;polish;471670
19      ;of Pomerania;von Pommern;german;
20      ;of Rügen;von Rügen;german;
21      ;of Glogów;Glogowski;polish;
22      ;        ;Bogorski;polish;
23      ;        ;Lisy;polish;
24      ;        ;Lewicki;polish;471560|471561|471570
25      ;        ;Wielkopolski;polish;
26      ;of Opole;Opolski;polish;
27      ;Astikas ;Astikaitis;lithuanian;
28      ;        ;Czartoryski;polish;
29      ;of Opava;Opawski;polish;
30      ;of Galicia;Halicki;polish;
31      ;Olshanski;Alšeniškis;lithuanian;
32      ;        ;Zahumski;polish;468850
33      ;        ;Kujawski;polish;468830
34      ;        ;Kotromanic;serbian;34148|34149|34150|34151|34153|468800|468801|468805|468806|468807|468810
35      ;        ;Dragusin;romanian;
36      ;        ;Dragutin;serbian;
37      ;of Serbia;Srbija;serbian;218501
38      ;        ;Srednogorski;bulgarian;
39      ;        ;Karvuna;bulgarian;467550|467551|467555
40      ;        ;Terter;bulgarian;31191|31193|31194|31195|31201|467530|467531|468550|468555
41      ;        ;Shishman;bulgarian;467500|467501|467502|467503|467504|467506|467507|467508|467510|467511|467512|467513|467520|467521|467522|467523|467524
42      ;        ;Jaqeli;georgian;232768|232769|466502|466750|466751|466752|466753|466754|466755|1234292|1234293|1234294|1234295|1234299|1234300
43      ;        ;Bagratuni;armenian;41500|41501|41502|41503|41504|41505|41506|41507|41508|41509|41510|41511|41518|41519|41520|41521|41522|41524|41525|41526|41527|41528|41530|41531|41532|41533|41534|41538|41539|70445|70446|70447|70448|9955|159282|159286|159287|159288|159918|159919|159920|159921|159922|159923|159924|159925|159926|159927|159928|159929|145998|1232523|1232524|1232525|1232526|1232527|1232528|1232529|1232530|1232531|1232532|1232533|1232534|1232535|1232536|1232537|1232538|1232539|1232540|1232541|1232543|1232544|1232545|1232546|1232547|1232548
44      ;        ;Hayastani;armenian;4554
45      ;        ;Struma;bulgarian;
46      ;Cantacuzene;Kantakouzenos;greek;20511|465530|465531|465532|465533|465534|465535|465536|34404|34405|34407|34408|34409|34410|34411|34412|34413|34414|34416|34418|34419|34420|34421|34422|34423|34424|34425|34426|34427|1232410|1232413
47      ;of Montferrat;di Monferrato;italian;
48      ;Palaeologus;Palaiologos;greek;125746|125747|125748|125749|125750|1764|215009|42014|465500|465501|465510|465511|465512|465513|465514|465515|465516|465520|465521|465526|465527|465528|465529|465600|465601|465806|468503|34281|34282|34283|34284|34285|34286|34287|34288|34417|34437|34438|34439|34440|34441|34442|34443|34444|34445|34454|34455|34456|34457|34458|34459|166943|166944|166946|462670|465523|1232388
49      ;        ;Dandolo;italian;
50      ;        ;Spinola;italian;91338|34877|31471|70786|463555|463550|73430|91339|91340|91341|91342|91343|91345|91346|91347|91348|91349|91350|91351|91353|91354|91355|91356|91357|91358|91359|91361|91362|91363|91365|91366|91367|91368|91369|91370|91371|91372|91373|91374|91376|91377|91378|91379|91380|91381|91382|91456|180190
51      ;of Habsburg;von Habsburg;german;11006|11010|11011|11012|20289|213130|213131|213132|213133|213135|462020|462021|462023|462024|462025|462026|462027|462028|462029|462031|462032|462035|462037|462038|462039|462040|462041|462042|462043|462044|462046|462047|462048|462050|462052|462054|462055|462056|462057|462058|462059|462060|462062|462751|462926|469521|7526|7630|98010|125999|33636|33637|33638|33639|33641|33642|33643|33645|33646|33647|33648|33649|33650|161487|161904|1236651|1236652
52      ;        ;von Diepholz;german;30339|462916
53      ;of Silesia;von Silesia-Glogau;german;
54      ;        ;du Dros;frankish;
55      ;        ;Wittelsbach;german;
56      ;of Carinthia;von Kärnten;german;
57      ;        ;de la Tour du Pin;frankish;138366|138394|138414|138412|138408|138410|138406|462701|7497|7496|31663|420303|462700|7492|7493|168092|168093|168094|168095|168096|168097|168098|168099|168100|168101|168102|168103
58      ;of Piedmont;de Piemont;frankish;
59      ;        ;de Bage;frankish;462680
60      ;of Montferrat;de Montferrat;frankish;
61      ;of Luxembourg;de Luxembourg;frankish;31117|31118|31119|462600|462603|462604|462605|462606|462610|462611|462612|462614|462616|462617|462618|462619|462621|462622|462623|455538
62      ;Czartoryski;Cartoriskis;lithuanian;
63      ;        ;Kilikos;greek;41300
64      ;        ;Moncada;italian;31413|31414|31415|31416
65      ;Chiaramonte;di Chiaramonte;italian;71128|71755
66      ;        ;Palizzi;italian;
67      ;        ;Ventimiglia;italian;
