#TITLE                          ;KEY                ;SED2    ;SWMH
d_knights_templar               ;title              ;GRANDMASTER;GRANDMASTER
d_knights_templar               ;foa                ;GRANDMASTER_FOA;GRANDMASTER_FOA
d_teutonic_order                ;title              ;HOCHMEISTER;HOCHMEISTER
d_teutonic_order                ;foa                ;HOCHMEISTER_FOA;HOCHMEISTER_FOA
d_livonian_brothers_of_the_sword;title              ;HOCHMEISTER;HOCHMEISTER
d_livonian_brothers_of_the_sword;foa                ;HOCHMEISTER_FOA;HOCHMEISTER_FOA
d_knights_hospitaler            ;title              ;GRANDMASTER;GRANDMASTER
d_knights_hospitaler            ;foa                ;GRANDMASTER_FOA;GRANDMASTER_FOA
d_hashshashin                   ;title              ;GRANDHEADMASTER;GRANDHEADMASTER
d_hashshashin                   ;foa                ;GRANDHEADMASTER_FOA;GRANDHEADMASTER_FOA
d_bektashi                      ;title              ;DEDEBABA;DEDEBABA
d_bektashi                      ;foa                ;GRANDHEADMASTER_FOA;GRANDHEADMASTER_FOA
d_haruriyyah                    ;title              ;DEDEBABA;DEDEBABA
d_haruriyyah                    ;foa                ;GRANDHEADMASTER_FOA;GRANDHEADMASTER_FOA
d_jomsvikings                   ;title              ;WARCHIEF;WARCHIEF
d_jomsvikings                   ;foa                ;WARCHIEF_FOA;WARCHIEF_FOA
d_immortals                     ;title              ;GRANDMASTER;GRANDMASTER
d_immortals                     ;foa                ;GRANDMASTER_FOA;GRANDMASTER_FOA
d_zealots                       ;title              ;GRANDMASTER;GRANDMASTER
d_zealots                       ;foa                ;GRANDMASTER_FOA;GRANDMASTER_FOA
d_holy_sepulchre                ;title              ;GRANDMASTER;GRANDMASTER
d_holy_sepulchre                ;foa                ;GRANDMASTER_FOA;GRANDMASTER_FOA
d_saint_anthony                 ;title              ;GRANDMASTER;GRANDMASTER
d_saint_anthony                 ;foa                ;GRANDMASTER_FOA;GRANDMASTER_FOA
d_saint_addai                   ;title              ;GRANDMASTER;GRANDMASTER
d_saint_addai                   ;foa                ;GRANDMASTER_FOA;GRANDMASTER_FOA
d_sky_lords                     ;title              ;WARCHIEF;WARCHIEF
d_sky_lords                     ;foa                ;WARCHIEF_FOA;WARCHIEF_FOA
d_spirit_guardians              ;title              ;WARCHIEF;WARCHIEF
d_spirit_guardians              ;foa                ;WARCHIEF_FOA;WARCHIEF_FOA
d_warriors_perun                ;title              ;WARCHIEF;WARCHIEF
d_warriors_perun                ;foa                ;WARCHIEF_FOA;WARCHIEF_FOA
d_chosen_perkunas               ;title              ;WARCHIEF;WARCHIEF
d_chosen_perkunas               ;foa                ;WARCHIEF_FOA;WARCHIEF_FOA
d_sons_kaleva                   ;title              ;WARCHIEF;WARCHIEF
d_sons_kaleva                   ;foa                ;WARCHIEF_FOA;WARCHIEF_FOA
d_huitzilopochtli               ;title              ;HIGHPRIEST;HIGHPRIEST
d_huitzilopochtli               ;foa                ;GRANDMASTER_FOA;GRANDMASTER_FOA
d_knights_santiago              ;title              ;GRANDMASTER;GRANDMASTER
d_knights_santiago              ;foa                ;GRANDMASTER_FOA;GRANDMASTER_FOA
d_knights_calatrava             ;title              ;GRANDMASTER;GRANDMASTER
d_knights_calatrava             ;foa                ;GRANDMASTER_FOA;GRANDMASTER_FOA
d_followers_arjuna              ;title              ;GRANDMASTER;GRANDMASTER
d_followers_arjuna              ;foa                ;GRANDMASTER_FOA;GRANDMASTER_FOA
d_ashokas_chosen                ;title              ;GRANDMASTER;GRANDMASTER
d_ashokas_chosen                ;foa                ;GRANDMASTER_FOA;GRANDMASTER_FOA
d_bulls_rishabha                ;title              ;GRANDMASTER;GRANDMASTER
d_bulls_rishabha                ;foa                ;GRANDMASTER_FOA;GRANDMASTER_FOA
d_zun_warriors                  ;title              ;GRANDMASTER;GRANDMASTER
d_zun_warriors                  ;foa                ;GRANDMASTER_FOA;GRANDMASTER_FOA
d_sunni_turkic_company          ;title              ;CAPTAIN ;CAPTAIN
d_sunni_turkic_company          ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_sunni_cuman_company           ;title              ;CAPTAIN ;CAPTAIN
d_sunni_cuman_company           ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_sunni_berber_company          ;title              ;CAPTAIN ;CAPTAIN
d_sunni_berber_company          ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_sunni_bedouin_company         ;title              ;CAPTAIN ;CAPTAIN
d_sunni_bedouin_company         ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_shiite_turkic_company         ;title              ;CAPTAIN ;CAPTAIN
d_shiite_turkic_company         ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_shiite_cuman_company          ;title              ;CAPTAIN ;CAPTAIN
d_shiite_cuman_company          ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_shiite_berber_company         ;title              ;CAPTAIN ;CAPTAIN
d_shiite_berber_company         ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_shiite_bedouin_company        ;title              ;CAPTAIN ;CAPTAIN
d_shiite_bedouin_company        ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_white_company                 ;title              ;CAPTAIN ;CAPTAIN
d_white_company                 ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_great_company                 ;title              ;CAPTAIN ;CAPTAIN
d_great_company                 ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_company_of_st_george          ;title              ;CONDOTTIERO;CONDOTTIERO
d_company_of_st_george          ;foa                ;CONDOTTIERO_FOA;CONDOTTIERO_FOA
d_star_company                  ;title              ;CONDOTTIERO;CONDOTTIERO
d_star_company                  ;foa                ;CONDOTTIERO_FOA;CONDOTTIERO_FOA
d_little_hat_company            ;title              ;CONDOTTIERO;CONDOTTIERO
d_little_hat_company            ;foa                ;CONDOTTIERO_FOA;CONDOTTIERO_FOA
d_rose_company                  ;title              ;CONDOTTIERO;CONDOTTIERO
d_rose_company                  ;foa                ;CONDOTTIERO_FOA;CONDOTTIERO_FOA
d_catalan_company               ;title              ;CONDOTTIERO;CONDOTTIERO
d_catalan_company               ;foa                ;CONDOTTIERO_FOA;CONDOTTIERO_FOA
d_navarrese_company             ;title              ;CONDOTTIERO;CONDOTTIERO
d_navarrese_company             ;foa                ;CONDOTTIERO_FOA;CONDOTTIERO_FOA
d_swiss_company                 ;title              ;CAPTAIN ;CAPTAIN
d_swiss_company                 ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_breton_company                ;title              ;CAPTAIN ;CAPTAIN
d_breton_company                ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_victual_brothers              ;title              ;CAPTAIN ;CAPTAIN
d_victual_brothers              ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_varangian_guard               ;title              ;CAPTAIN ;CAPTAIN
d_varangian_guard               ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_cuman_company                 ;title              ;CAPTAIN ;CAPTAIN
d_cuman_company                 ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_rus_company                   ;title              ;CAPTAIN ;CAPTAIN
d_rus_company                   ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_pecheneg_company              ;title              ;CAPTAIN ;CAPTAIN
d_pecheneg_company              ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_bulgarian_company             ;title              ;CAPTAIN ;CAPTAIN
d_bulgarian_company             ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_turkic_company                ;title              ;CAPTAIN ;CAPTAIN
d_turkic_company                ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_lombard_band                  ;title              ;CONDOTTIERO;CONDOTTIERO
d_lombard_band                  ;foa                ;CONDOTTIERO_FOA;CONDOTTIERO_FOA
d_swiss_band                    ;title              ;CAPTAIN ;CAPTAIN
d_swiss_band                    ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_breton_band                   ;title              ;CAPTAIN ;CAPTAIN
d_breton_band                   ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_catalan_band                  ;title              ;CONDOTTIERO;CONDOTTIERO
d_catalan_band                  ;foa                ;CONDOTTIERO_FOA;CONDOTTIERO_FOA
d_saxon_band                    ;title              ;CAPTAIN ;CAPTAIN
d_saxon_band                    ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_cuman_band                    ;title              ;CAPTAIN ;CAPTAIN
d_cuman_band                    ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_rus_band                      ;title              ;CAPTAIN ;CAPTAIN
d_rus_band                      ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_finnish_band                  ;title              ;CAPTAIN ;CAPTAIN
d_finnish_band                  ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_lappish_band                  ;title              ;CAPTAIN ;CAPTAIN
d_lappish_band                  ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_lithuanian_band               ;title              ;CAPTAIN ;CAPTAIN
d_lithuanian_band               ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_abyssinian_band               ;title              ;CAPTAIN ;CAPTAIN
d_abyssinian_band               ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_nubian_band                   ;title              ;CAPTAIN ;CAPTAIN
d_nubian_band                   ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_scottish_band                 ;title              ;CAPTAIN ;CAPTAIN
d_scottish_band                 ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_irish_band                    ;title              ;CAPTAIN ;CAPTAIN
d_irish_band                    ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_alan_band                     ;title              ;CAPTAIN ;CAPTAIN
d_alan_band                     ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_pecheneg_band                 ;title              ;CAPTAIN ;CAPTAIN
d_pecheneg_band                 ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_bulgarian_band                ;title              ;CAPTAIN ;CAPTAIN
d_bulgarian_band                ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_turkic_band                   ;title              ;CAPTAIN ;CAPTAIN
d_turkic_band                   ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_mamluks                       ;title              ;CAPTAIN ;CAPTAIN
d_mamluks                       ;foa                ;CAPTAIN_FOA;CAPTAIN_FOA
d_venetian_navy                 ;title              ;CAPTAIN ;CAPTAIN
