#TITLE     ;KEY                ;SED2    ;SWMH
d_apostolic;title              ;CATHOLICOS;CATHOLICOS
d_apostolic;foa                ;POPE_FOA;POPE_FOA
d_apostolic;short_name         ;yes     ;yes
d_apostolic;dynasty_title_names;no      ;no
d_apostolic;male_names         ;Aleksandr Ananias Aristaces Asdvadzadur Constantine Davit Dertad Eliazar Gevorg Giragos Grigor Isaiah Hacob Joab Hovhannes Hovsep Karapet Khachig Mashdotz Mekhitar Mesrop Mikayel Movses Nahabed Nerses Parsegh Petros Philippos Sarkis Sion Soghomon Stephan Thoros Vahan Yeghishe Zacharias;Aleksandr Ananias Aristaces Asdvadzadur Constantine Davit Dertad Eliazar Gevorg Giragos Grigor Isaiah Hacob Joab Hovhannes Hovsep Karapet Khachig Mashdotz Mekhitar Mesrop Mikayel Movses Nahabed Nerses Parsegh Petros Philippos Sarkis Sion Soghomon Stephan Thoros Vahan Yeghishe Zacharias
d_paulician;title              ;PAULICIAN_PATRIARCH;PAULICIAN_PATRIARCH
d_paulician;foa                ;ECUMENICAL_PATRIARCH_FOA;ECUMENICAL_PATRIARCH_FOA
d_paulician;short_name         ;yes     ;yes
d_paulician;dynasty_title_names;no      ;no
d_paulician;male_names         ;Alexios Alexandros Anastasios Anthimos Athanasios Antonios Basileios Gabriel Dionysios Dositheos Epaphroditus Eustathios Eustratios Euthymios Gegnesius Gennadios Georgios Gerasimos Germanos Gregorios Ieremias Ignatios Ioakeim Ioannes Ioseph Isidoros Kallinikos Kallistos Konstantinos Kosmas Kyrillos Leon Leontios Loukas Makarios Manuel Markos Matthaios Maximos Meletios Methodios Metrophanes Michael Neophytos Nephon Nikephoros Niketas Nikolaos Paul Pavlos Petros Photios Polykarpos Sergius Silvanus Stephanos Sophronios Theodoros Theodosios Theodotos Theophylaktos Thomas Timotheos Titus;Alexios Alexandros Anastasios Anthimos Athanasios Antonios Basileios Gabriel Dionysios Dositheos Epaphroditus Eustathios Eustratios Euthymios Gegnesius Gennadios Georgios Gerasimos Germanos Gregorios Ieremias Ignatios Ioakeim Ioannes Ioseph Isidoros Kallinikos Kallistos Konstantinos Kosmas Kyrillos Leon Leontios Loukas Makarios Manuel Markos Matthaios Maximos Meletios Methodios Metrophanes Michael Neophytos Nephon Nikephoros Niketas Nikolaos Paul Pavlos Petros Photios Polykarpos Sergius Silvanus Stephanos Sophronios Theodoros Theodosios Theodotos Theophylaktos Thomas Timotheos Titus
