#CODE                                          ;SED     ;SWMH;OTHER;VANILLA
#CODE,ENGLISH,FRENCH,GERMAN,,SPANISH,,,,,,,,,x;;;;
###################################;;;;
#### HIP TITLES                ####;;;;
###################################;;;;
e_null                                         ;        ; ;;
e_null_adj                                     ;        ;;;
###################################;;;;
#### UTILITY CUSTOM TOOLTIPS   ####;;;;
###################################;;;;
BREAK_TT                                       ;\n      ;\n;;
BREAKBREAK_TT                                  ;\n\n    ;\n\n;;
COLOR_END_TT                                   ;§!      ;§!;;
GREEN_START_TT                                 ;§G      ;§G;;
LT_YELLOW_START_TT                             ;§M      ;§M;;
PINK_START_TT                                  ;§P      ;§P;;
RED_START_TT                                   ;§R      ;§R;;
YELLOW_START_TT                                ;§Y      ;§Y;;
###################################;;;;
#### CUSTOM TOOLTIPS           ####;;;;
###################################;;;;
IS_DE_JURE_TITLE_TT                            ;Title is NOT titular\n;Title is NOT titular\n;;
IS_TITULAR_TITLE_TT                            ;Title is titular\n;Title is titular\n;;
OWNER_UNDER_ROOT_TT                            ;In §Y[Root.GetBestName]§!’s realm\n;In §Y[Root.GetBestName]§!'s realm\n;;
OWNER_UNDER_FROM_TT                            ;In §Y[From.GetBestName]§!’s realm\n;In §Y[From.GetBestName]§!'s realm\n;;
OWNER_UNDER_FROMFROM_TT                        ;In §Y[FromFrom.GetBestName]§!’s realm\n;In §Y[FromFrom.GetBestName]§!'s realm\n;;
OWNER_UNDER_PREV_TT                            ;In §Y[Prev.GetBestName]§!’s realm\n;In §Y[Prev.GetBestName]§!'s realm\n;;
OWNER_UNDER_PREVPREV_TT                        ;In §Y[PrevPrev.GetBestName]§!’s realm\n;In §Y[PrevPrev.GetBestName]§!'s realm\n;;
OWNER_UNDER_PREVPREVPREV_TT                    ;In §Y[PrevPrevPrev.GetBestName]§!’s realm\n;In §Y[PrevPrevPrev.GetBestName]§!'s realm\n;;
OWNER_UNDER_TARGET_RULER_TT                    ;In §Y[target_ruler.GetBestName]§!’s realm\n;In §Y[target_ruler.GetBestName]§!'s realm\n;;
UNDER_ROOT_TT                                  ;§Y[Root.GetBestName]§! or under [Root.GetObjectPronoun]\n;§Y[Root.GetBestName]§! or under [Root.GetObjectPronoun]\n;;
UNDER_FROM_TT                                  ;§Y[From.GetBestName]§! or under [From.GetObjectPronoun]\n;§Y[From.GetBestName]§! or under [From.GetObjectPronoun]\n;;
UNDER_FROMFROM_TT                              ;§Y[FromFrom.GetBestName]§! or under [FromFrom.GetObjectPronoun]\n;§Y[FromFrom.GetBestName]§! or under [FromFrom.GetObjectPronoun]\n;;
UNDER_PREV_TT                                  ;§Y[Prev.GetBestName]§! or under [Prev.GetObjectPronoun]\n;§Y[Prev.GetBestName]§! or under [Prev.GetObjectPronoun]\n;;
UNDER_PREVPREV_TT                              ;§Y[PrevPrev.GetBestName]§! or under [PrevPrev.GetObjectPronoun]\n;§Y[PrevPrev.GetBestName]§! or under [PrevPrev.GetObjectPronoun]\n;;
UNDER_PREVPREVPREV_TT                          ;§Y[PrevPrevPrev.GetBestName]§! or under [PrevPrevPrev.GetObjectPronoun]\n;§Y[PrevPrevPrev.GetBestName]§! or under [PrevPrevPrev.GetObjectPronoun]\n;;
UNDER_TARGET_RULER_TT                          ;§Y[target_ruler.GetBestName]§! or under [target_ruler.GetObjectPronoun]\n;§Y[target_ruler.GetBestName]§! or under [target_ruler.GetObjectPronoun]\n;;
BEST_DE_JURE_LIEGE_TITLE_UNDER_ROOT_TT         ;§Y[Root.GetBestName]§!’s realm has most immediate de jure pretension over the §Y[This.GetFullBaseName]§!\n;§Y[Root.GetBestName]§!'s realm has most immediate de jure pretension over the §Y[This.GetFullBaseName]§!\n;;
BEST_DE_JURE_LIEGE_TITLE_UNDER_FROM_TT         ;§Y[From.GetBestName]§!’s realm has most immediate de jure pretension over the §Y[This.GetFullBaseName]§!\n;§Y[From.GetBestName]§!'s realm has most immediate de jure pretension over the §Y[This.GetFullBaseName]§!\n;;
BEST_DE_JURE_LIEGE_TITLE_UNDER_TARGET_RULER_TT ;§Y[target_ruler.GetBestName]§!’s realm has most immediate de jure pretension over the §Y[target_ruler.GetFullBaseName]§!\n;§Y[target_ruler.GetBestName]§!'s realm has most immediate de jure pretension over the §Y[target_ruler.GetFullBaseName]§!\n;;
BEST_DE_JURE_LIEGE_TITLE_HOLDER_ROOT_TT        ;§Y[Root.GetBestName]§! holds most immediate de jure liege title of §Y[This.GetFullBaseName]§!\n;§Y[Root.GetBestName]§! holds most immediate de jure liege title of §Y[This.GetFullBaseName]§!\n;;
BEST_DE_JURE_LIEGE_TITLE_HOLDER_FROM_TT        ;§Y[From.GetBestName]§! holds most immediate de jure liege title of §Y[This.GetFullBaseName]§!\n;§Y[From.GetBestName]§! holds most immediate de jure liege title of §Y[This.GetFullBaseName]§!\n;;
BEST_DE_JURE_LIEGE_TITLE_HOLDER_TARGET_RULER_TT;§Y[target_ruler.GetBestName]§! holds most immediate de jure liege title of §Y[target_ruler.GetFullBaseName]§!\n;§Y[target_ruler.GetBestName]§! holds most immediate de jure liege title of §Y[target_ruler.GetFullBaseName]§!\n;;
