#CODE                       ;SED     ;SWMH;OTHER;VANILLA
#CODE,ENGLISH,FRENCH,GERMAN,,SPANISH,,,,,,,,,,x;;;;
carolingian_desc            ;A brilliant warrior as well as a great statesman, he established the Franks as undisputed masters of Gaul and led the army that defeated the Muslims in the Battle of Tours.;A brilliant warrior as well as a great statesman, he established the Franks as undisputed masters of Gaul and led the army that defeated the Muslims in the Battle of Tours.;;A brilliant warrior as well as a great statesman, he established the Franks as undisputed masters of Gaul and led the army that defeated the Muslims in the Battle of Tours.
ragnarr_lodbrok_desc        ;A legendary viking hero. He led numerous raids against the Franks and Anglo-Saxons, going so far as to sail up the Seine and successfully lay siege to Paris.;A legendary viking hero. He led numerous raids against the Franks and Anglo-Saxons, going so far as to sail up the Seine and successfully lay siege to Paris.;;A legendary viking hero. He led numerous raids against the Franks and Anglo-Saxons, going so far as to sail up the Seine and successfully lay siege to Paris.
seljuk_desc                 ;Seljuk was the eponymous founder of the Seljuk dynasty. His descendants sought adventure away from their ancestral home, eventually establishing the mighty Seljuk sultanate.;Seljuk was the eponymous founder of the Seljuk dynasty. His descendants sought adventure away from their ancestral home, eventually establishing the mighty Seljuk sultanate.;;An Oghuz Turkic warlord, Seljuk started out an officer in the Khazar army. He later went on to found his own clan, seeking adventure away from his ancestral home.
william_the_conqueror_desc  ;Born an illegitimate bastard, he more than proved himself after successfully claiming the throne of England, becoming known as “the Conqueror.”;Born an illegitimate bastard, he more than proved himself after successfully claiming the throne of England, becoming known as 'the Conqueror'.;;Born an illegitimate bastard, he more than proved himself after successfully claiming the throne of England – becoming known as 'the Conqueror'.
genghis_khan_desc           ;The founder of the Mongol Empire, proclaimed “Genghis Khan” (Universal Ruler) by the many subjugated peoples of the steppe. An extremely brutal and efficient leader.;The founder of the Mongol Empire, proclaimed 'Genghis Khan' (Universal Ruler) by the many subjugated peoples of the steppe. An extremely brutal and efficient leader.;;The founder of the Mongol Empire, proclaimed 'Genghis Khan' (Universal Ruler) by the many subjugated peoples of the steppe. An extremely brutal and efficient leader.
el_cid_desc                 ;A military leader and hero of great renown. The Moors dubbed him “El Cid” (“the Lord”), while the Christians called him “El Campeador” (“Outstanding Warrior”).;A military leader and hero of great renown. The Moors dubbed him 'El Cid' ('the Lord'), while the Christians called him 'El Campeador' ('Outstanding Warrior').;;A military leader and hero of great renown. The Moors dubbed him 'El Cid' ('the Lord'), while the Christians called him 'El Campeador' ('Outstanding Warrior').
timur_desc                  ;In his native tongue, Timur means “iron.” Despite being crippled by two arrows, he was both a military genius and a statesman capable of instilling great loyalty.;In his native tongue, Timur means 'Iron'. Despite being crippled by two arrows, he was both a military genius and a statesman capable of instilling great loyalty.;;In his native tongue, Timur means 'Iron'. Despite being crippled by two arrows, he was both a military genius and a statesman capable of instilling great loyalty.
ghaznavid_desc              ;A freed slave, Sabuktigin founded a principality in Ghazna and laid foundation of the Ghaznavids, a dynasty that reached India to the east and Persia to the west.;A freed slave, Sabuktigin founded a principality in Ghazna and laid foundation of the Ghaznavids, a dynasty that reached India to the east and Persia to the west.;;The founder of the Gahznavid dynasty. In his youth he lived as a slave, but in later life came to rule a mighty kingdom which expanded far towards India.
pala_desc                   ;The founder of the Pala dynasty, said to be descended from the mythical Suryavansha (Sun dynasty). He came to rule a massive kingdom, encompassing all of Bengal.;The founder of the Pala dynasty, said to be descended from the mythical Suryavansha (Sun Dynasty). He came to rule a massive kingdom, encompassing all of Bengal.;;The founder of the Pala dynasty, said to be descended from the mythical Suryavansha (Sun Dynasty). He came to rule a massive kingdom, encompassing all of Bengal.
chola_desc                  ;One of the greatest rulers India has ever seen. His conquests included the Andamans, Sri Lanka, the Maldives and even territories in Burma, Thailand and Indonesia.;One of the greatest rulers India has ever seen. His conquests included the Andamans, Sri Lanka, the Maldives and even territories in Burma, Thailand and Indonesia.;;One of the greatest rulers India has ever seen. His conquests included the Andamans, Sri Lanka, the Maldives and even territories in Burma, Thailand and Indonesia.
saladin_desc                ;The first Sultan of Egypt and Syria. He successfully led the Muslim military campaign against the Crusader States in the Levant.;The first Sultan of Egypt and Syria. He successfully led the Muslim military campaign against the Crusader States in the Levant.;;The first Sultan of Egypt and Syria. He successfully led the Muslim military campaign against the Crusader States in the Levant.
rurik_desc                  ;The founder of the Rurikid dynasty. He was a Varangian chieftain who ruled over the Rus’ and built several settlements, the most famous of which lies in Novgorod.;The founder of the Rurikid Dynasty. He was a Varangian chieftain who ruled over the Rus' and built several settlements, the most famous of which lies in Novgorod.;;The founder of the Rurikid Dynasty. He was a Varangian chieftain who ruled over the Rus' and built several settlements, the most famous of which lies in Novgorod.
boleslaw_the_brave_desc     ;A remarkable politician, strategist, and statesman. He successfully turned Poland into a country as powerful as the realms of the west.;A remarkable politician, strategist, and statesman. He successfully turned Poland into a country as powerful as the realms of the west.;;A remarkable politician, strategist, and statesman. He successfully turned Poland into a country as powerful as the realms of the west.
richard_lionheart_desc      ;A great military leader and warrior who became known as “the Lionheart.” He was a leader of the Third Crusade, scoring numerous victories against the Muslims.;A great military leader and warrior who became known as 'the Lionheart'. He was a leader of the Third Crusade, scoring numerous victories against the Muslims.;;A great military leader and warrior who became known as 'the Lionheart'. He was a figurehead of the Third Crusade, scoring numerous victories against the Muslims.
alienor_of_aquitaine_desc   ;One of the most powerful women of Western Europe. She was a patron of literature and a military commander, as well as a leader in the Second Crusade.;One of the most powerful women of Western Europe. She was a patron of literature and a military commander, as well as a leader in the Second Crusade.;;One of the most powerful women of western Europe. She was a patron of literature and a military commander, as well as a leader in the Second Crusade.
alexander_nevsky_desc       ;A legendary military leader who won scores of military victories against invading Germans and Swedes. He was later canonized as a saint.;A legendary military leader who won scores of military victories against invading Germans and Swedes. He was later canonized as a saint.;;A legendary military leader who won scores of military victories against invading Germans and Swedes. He was later canonized as a saint.
william_wallace_desc        ;A brave knight who fought in the wars of Scottish independence. After defeating an English army, he was appointed “Guardian of Scotland.”;A brave knight who fought in the Wars of Scottish Independence. After defeating an English army, he was appointed 'Guardian of Scotland'.;;A brave knight who fought in the Wars of Scottish Independence. After defeating an English army, he was appointed 'Guardian of Scotland'.
harald_fairhair_desc        ;A legendary ruler who through skill and military might united the kingdom of Norway and the people therein.;A legendary ruler who through skill and military might united the Kingdom of Norway and the people therein.;;A legendary ruler who through skill and military might united the Kingdom of Norway and the people therein.
arpad_desc                  ;The kende (sacred ruler) of the Magyar tribes. He went on to conquer the Carpathian Basin, making a new home for the Hungarian people.;The Kende (sacred ruler) of the Magyar tribes. He went on to conquer the Carpathian Basin, making a new home for the Hungarian people.;;The Kende (sacred ruler) of the Magyar tribes. He went on to conquer the Carpathian Basin, making a new home for the Hungarian people.
basil_desc                  ;One of the greatest of the East Roman emperors, his rule brought about an era of glory, prosperity, art and imperial might.;One of the greatest of the East Roman emperors, his rule brought about an era of glory, prosperity, art and imperial might.;;One of the greatest of the East Roman emperors, his rule brought about an era of glory, prosperity, art and imperial might.
alexios_komnenos_desc       ;A great emperor who fought both the Seljuk Turks and the Normans. His reforms stopped the imperial decline, restoring much of the empire’s former glory.;A great emperor who fought both the Seljuk Turks and the Normans. His reforms stopped the imperial decline, restoring much of the empire's former glory.;;A great emperor who fought both the Seljuk Turks and the Normans. His reforms stopped the imperial decline, restoring much of the former glory.
dyre_desc                   ;A legendary Varangian warrior. He ruled over the Kiev area, becoming its first king.;A legendary Varangian warrior. He ruled over the Kiev area, becoming its first king.;;A legendary Varangian warrior. He ruled over the Kiev area, becoming its first king.
zvonimir_desc               ;Brother and successor of Tomislav, the first king of Croatia. Brothers Tomislav and Trpimir laid the foundation of a sizeable kingdom that would last for centuries to come.;Brother and successor of Tomislav, the first king of Croatia. Brothers Tomislav and Trpimir laid the foundation of a sizeable kingdom that would last for centuries to come.;;A peaceful ruler who rose to kingship through skilled diplomacy. His rule saw huge economic and cultural advancements take place in Croatia.
brian_boru_desc             ;An Irish high king of legend. He managed to unify the warring leaders of Ireland and end the Viking occupation of the isle.;An Irish high king of legend. He managed to unify the warring leaders of Ireland and end the Viking occupation of the isle.;;An Irish high king of legend. He managed to unify the warring leaders of Ireland and end the Viking occupation of the isle.
songtsen_gampo_desc         ;The founder of the Tibetan Empire who unified several Tibetan kingdoms under his rule. He also introduced Buddhism to Tibet and created the Tibetan alphabet.;The founder of the Tibetan Empire who unified several Tibetan kingdoms under his rule. He also introduced Buddhism to Tibet and created the Tibetan Alphabet.;;The founder of the Tibetan Empire who unified several Tibetan kingdoms under his rule. He also introduced Buddhism to Tibet and created the Tibetan Alphabet.
merovingian_desc            ;The legendary founder of the Merovingian dynasty. He joined his tribal forces with Rome to drive the Huns out of Gaul, ending Attila’s ambitions in the area.;The legendary founder of the Merovingian dynasty. He joined his tribal forces with Rome to drive the Huns out of Gaul, ending Attila's ambitions in the area.;;The legendary founder of the Merovingian dynasty. He joined his tribal forces with Rome to drive the Huns out of Gaul, ending Attila's ambitions in the area.
