#CODE            ;SED     ;SWMH;OTHER;VANILLA
saxon            ;Anglo-Saxon;Angelcynn;;Anglo-Saxon
cornish          ;Cornish ;Kernowek;;
pictish          ;Pictish ;Ficht;;Pictish
cumbric          ;Cumbric ;Cumbri;;
langobardisch    ;Langobard;Langobardo;;
ugricbaltic      ;Estonian;Eestlased;;Estonian
livonian         ;Livonian;Livonijas;;
bosnian          ;Bosnian ;Bosanski;;
arberian         ;Albanian;Arbëreshë;;
serbian          ;Serbian ;Srpski;;Serbian
sicilian         ;Sicilian;Sicilianu;;
sicilian_arabic  ;Siculo-Arabic;Siqilli;;
pommeranian      ;Wendish ;Vendi;;Pomeranian
ashkenazi        ;Ashkenazi;Ashkenazi;;Ashkenazi
crusader_culture ;Outremer;Levantine;;
sephardi         ;Sephardi;Sephardi;;Sephardi
irish            ;Irish   ;Goidel;;Irish
scottish         ;Scottish;Albannaich;;Scottish
anglonorse       ;Anglo-Norse;Englisc;;
norsegaelic      ;Norse-Gaelic;Gall Goidel;;
judaic           ;Judaic  ;Judaic;;
welsh            ;Welsh   ;Cymreig;;Welsh
norse            ;Norse   ;Norrønn;;Norse
norwegian        ;Norwegian;Norskr;;Norwegian
danish           ;Danish  ;Danskr;;Danish
swedish          ;Swedish ;Svenskr;;Swedish
gothic           ;Geatish ;Gautr;;
hungarian        ;Hungarian;Magyar;;Hungarian
karantanci       ;Carantanian;Karantánski;;
sardinian        ;Sardinian;Sardu;;
moravian         ;Moravian;Moravský;;
frankish         ;French  ;Francique;;French
norman           ;Norman  ;Normaund;;Norman
basque           ;Basque  ;Euskara;;Basque
castillan        ;Castilian;Castellano;;Castilian
catalan          ;Catalan ;Català;;Catalan
portuguese       ;Portuguese;Português;;Portuguese
breton           ;Breton  ;Bretoned;;Breton
polish           ;Polish  ;Polski;;Polish
bohemian         ;Czech   ;Ceský;;Bohemian
croatian         ;Croatian;Hrvatski;;Croatian
bulgarian        ;Bulgarian;Bálgarski;;Bulgarian
prussian         ;Old Prussian;Prusiskan;;Prussian
lithuanian       ;Lithuanian;Lietuviu;;Lithuanian
finnish          ;Finnish ;Suomalainen;;Finnish
lappish          ;Lappish ;Sámi;;Sami
russian          ;Russian ;Russkiy;;Russian
greek            ;Greek   ;Graikós;;Greek
east_gothic      ;Gothic  ;Gótthos;;
armenian         ;Armenian;Hay;;Armenian
udi              ;Udi     ;Udi;;
somali           ;Somali  ;Soomaali;;Somali
andalusian_arabic;Andalusian;Andalusí;;Andalusian
canarian         ;Guanche ;Guanchinet;;
umbrian          ;Umbrian ;Umbro;;
venetian         ;Venetian;Veneto;;
tuscan           ;Tuscan  ;Toscano;;
ligurian         ;Ligurian;Ligure;;
arpitan          ;Arpitan ;Arpitan;;
italian          ;Lombard ;Lombardo;;Italian
dalmatian        ;Dalmatian;Dalmata;;
laziale          ;Latin   ;Laziale;;
#southern_italian,Meridionale,Meridionale,Meridionale,,Meridionale,,,,,,,,,x;;;;
neapolitan       ;Neapolitan;Neapolitano;;
berber           ;Berber  ;Iznagen;;
tuareg           ;Tuareg  ;Kel Tamashek;;
gascon           ;Gascon  ;Gascona;;
icelandic        ;Icelandic;Íslondskr;;
bedouin_arabic   ;Bedouin ;Badawi;;Bedouin
hijazi           ;Hejazi  ;Hijazi;;
yemeni           ;Yemeni  ;Yamani;;
egyptian_arabic  ;Egyptian;Misri;;Egyptian
levantine_arabic ;Levantine;Mashriq;;Levantine
turkish          ;Turkish ;Türk;;Turkish
komi             ;Komi    ;Komi;;Komi
mongol           ;Mongol  ;Mongolchuud;;Mongol
kurdish          ;Kurdish ;Kurdi;;Kurdish
assyrian         ;Assyrian;Suryaye;;
coptic           ;Coptic  ;Kubti;;
ethiopian        ;Ethiopian;Ye-Ityoppya;;Ethiopian
georgian         ;Georgian;Kartveli;;Georgian
alan             ;Alan    ;Alan;;Alan
caucasian_avar   ;Caucasian Avar;Avaral;;
aragonese        ;Aragonese;Aragonés;;
leonese          ;Leonese ;Llionés;;
obotrite         ;Obotrite;Abordite;;
lutici           ;Lutician;Lutici;;
galician         ;Galician;Galego;;
maghreb_arabic   ;Maghrebi;Maghreb;;Berber
samoyed          ;Nenets  ;Nenetsi;;Nenets
karelian         ;Karelian;Karjalainen;;
vepsian          ;Vepsian ;Vepsläne;;
mari             ;Mari    ;Mejralainen;;
#ingrian,Inkerilainen,Inkerilainen,Inkerilainen,,Inkerilainen,,,,,,,,,x;;;;
khanty           ;Mansi   ;Mansi;;Khanty
mordvin          ;Mordvin ;Mokshet;;Mordvin
########################################,,,,,,,,,,,,,,;;;;
#Groups,,,,,,,,,,,,,,;;;;
########################################,,,,,,,,,,,,,,;;;;
aramaic          ;Aramaic ;Aramaic;;
#north_germanic,Norrœnt,Norrœnt,Norrœnt,,Norrœnt,,,,,,,,,x;;;;
italian_group    ;Italian ;Italian;;
north_african    ;Berber  ;Berber;;
iberian          ;Iberian Romance;Ibero-Romance;;Iberian
central_slavic   ;Central Slavic;Central Slavic;;
#italian_group,Italiano,Italiano,Italiano,,Italiano,,,,,,,,,x;;;;
########################################,,,,,,,,,,,,,,;;;;
sanhaja          ;Sanhaja ;Znága;;
masmuda          ;Masmuda ;Imesmuden;;
zanata           ;Zenata  ;Aznáta;;
soninke          ;Soninke ;Soninke;;
wolof            ;Wolof   ;Wolof;;
songhai          ;Songhai ;Songhai;;
tagelmust        ;Tagelmust;Tagelmust;;
hausa            ;Hausa   ;Hausa;;
kanuri           ;Kanuri  ;Kanuri;;
zaghawa          ;Zaghawa ;Zaghawa;;
beja             ;Beja    ;Bedawiye;;
nubian           ;Nubian  ;Nòòbíí;;Nubian
daju             ;Daju    ;Daju;;
falashim         ;Beta Israel;Beta Yisrael;;
afar             ;Afar    ;Qafár;;
########################################,,,,,,,,,,,,,,;;;;
khorasani        ;Khorasani;Khorasani;;
khwarezmi        ;Khwarezmian;Khwarezmi;;
sogdian          ;Sogdian ;Soghdian;;Sogdian
khotanese        ;Khotanese;Hvamnai;;
saka             ;Saka    ;Saka;;
tokharian        ;Tocharian;Tokharí;;
daylamite        ;Dailamite;Daylamí;;
afghan           ;Pashtun ;Pashto;;Afghan
uyghur           ;Uyghur  ;Uighur;;Uyghur
kirghiz          ;Kyrgyz  ;Qirghiz;;Kirghiz
tajik            ;Tajik   ;Tajik;;
cuman            ;Kipchak ;Qipçaq;;Cuman
karluk           ;Karluk  ;Qarluq;;Karluk
pecheneg         ;Pecheneg;Beçenek;;Pecheneg
khazar           ;Khazar  ;Qasar;;Khazar
kabar            ;Kabar   ;Qabar;;
oghuz            ;Oghuz   ;Oghuz;;
turkmen          ;Turkmen ;Türkmen;;
pahlavi          ;Pahlavi ;Parsig;;
persian          ;Persian ;Pársí;;Persian
adhari           ;Azari   ;Adharí;;
#,,,,,,,,,,,,,,;;;;
bashkir          ;Bashkir ;Bashqurd;;
kasogi           ;Circassian;Adyghe;;
szekely          ;Székely ;Székely;;
#HRE,,,,,,,,,,,,,,;;;;
german           ;German  ;Diutsch;;German
dutch            ;Dutch   ;Dietsch;;Dutch
low_german       ;Low German;Düdisch;;
low_saxon        ;Low Saxon;Sehsisk;;
thuringian       ;Thuringian;Duringisk;;
old_frankish     ;Old Frankish;Frenkisc;;Frankish
franconian       ;Franconian;Frenkisk;;
low_frankish     ;Low Frankish;Frankisk;;
bavarian         ;Bavarian;Beiarisk;;
swabian          ;Swabian ;Alamannisk;;
