#CODE        ;SED     ;SWMH;OTHER;VANILLA
#Player/Pretender Empire Dynasties;;;;
e_china_tang ;Tang    ;Tang;;
e_china_jin  ;Jin     ;Kim;;
e_china_wei  ;Wei     ;Ngui;;
e_china_qi   ;Qi      ;Tsei;;
e_china_zhou ;Zhou    ;Chiu;;
e_china_han  ;Han     ;Han;;
e_china_qin  ;Qin     ;Ch'in;;
e_china_yan  ;Yan     ;Ngim;;
e_china_zhao ;Zhao    ;Ts'ieu;;
e_china_liao ;Liao    ;Lieu;;
e_china_yuan ;Yuan    ;Nguan;;
e_china_xia  ;Xia     ;H'a;;
e_china_qing ;Qing    ;Ts'ieng;;
e_china_dai  ;Dai     ;Tai;;
e_china_cheng;Cheng   ;Tsieng;;
e_china_liang;Liang   ;Ling;;
e_china_song ;Song    ;Sung;;
e_china_ming ;Ming    ;Ming;;
e_china_shu  ;Shu     ;Tsuk;;
e_china_wu   ;Wu      ;Ngo;;
e_china_chu  ;Chu     ;Ch'iu;;
e_china_yue  ;Yue     ;Huêt;;
e_china_yin  ;Yin     ;Yin;;
e_china_shun ;Shun    ;Jun;;
#Chinese Empire Dynasties;;;;
tang_china   ;Tang    ;Tang;;Tang
jin_china    ;Jin     ;Kim;;Jin
wei_china    ;Wei     ;Ngui;;Wei
qi_china     ;Qi      ;Tsei;;Qi
zhou_china   ;Zhou    ;Chiu;;Zhou
han_china    ;Han     ;Han;;Han
qin_china    ;Qin     ;Ch'in;;Qin
yan_china    ;Yan     ;Ngim;;Yan
zhao_china   ;Zhao    ;Ts'ieu;;Zhao
liao_china   ;Liao    ;Lieu;;Liao
yuan_china   ;Yuan    ;Nguan;;Yuan
xia_china    ;Xia     ;H'a;;Xia
qing_china   ;Qing    ;Ts'ieng;;Qing
dai_china    ;Dai     ;Tai;;Dai
cheng_china  ;Cheng   ;Tsieng;;Cheng
liang_china  ;Liang   ;Ling;;Liang
song_china   ;Song    ;Sung;;Song
ming_china   ;Ming    ;Ming;;Ming
shu_china    ;Shu     ;Tsuk;;Shu
wu_china     ;Wu      ;Ngo;;Wu
chu_china    ;Chu     ;Ch'iu;;Chu
yue_china    ;Yue     ;Huêt;;Yue
yin_china    ;Yin     ;Yin;;Yin
shun_china   ;Shun    ;Jun;;Shun
mongol_china ;Mongol Empire;Yeke Mongol Ulus;;
