#CODE                  ;SED     ;SWMH;OTHER;VANILLA
d_band_of_the_brave    ;Brave Band;Brave Band;;
d_band_of_the_brave_adj;Brave Band;Brave Band;;
d_band_of_the_red      ;Band of the Red;Floti hinn rauði;;
d_band_of_the_red_adj  ;Band of the Red;Floti hinn rauði;;
d_jomsvikinger         ;Jomsvikings;Jómsvíkingar;;
d_jomsvikinger_adj     ;Jomsviking;Jómsvíkingar;;
d_black_gang           ;Arumer Zwarte Hoop;Arumer Zwarte Hoop;;
d_black_gang_adj       ;Arumer Zwarte Hoop;Arumer Zwarte Hoop;;
d_dove_company         ;Company of the Dove;Compagnia della Colomba;;
d_dove_company_adj     ;Company of the Dove;Compagnia della Colomba;;
d_ulfhedar             ;Berserkers;Úlfhéðnar;;
d_ulfhedar_adj         ;Berserker;Úlfhéðnar;;
d_valr                 ;Slain   ;Valr;;
d_valr_adj             ;Slain   ;Valr;;
d_treasure_fleet       ;Treasure Fleet;Yemeni Fleet;;Treasure Fleet
d_treasure_fleet_adj   ;Treasure Fleet;Yemeni Fleet;;Treasure Fleet
d_han_junks            ;Han Junks;Hormuzi Navy;;Han Junks
d_han_junks_adj        ;Han Junks;Hormuzi Navy;;Han Junks
d_jurchen_corsairs     ;Jurchen Corsairs;Gujarati Corsairs;;Jurchen Corsairs
d_jurchen_corsairs_adj ;Jurchen Corsairs;Gujarati Corsairs;;Jurchen Corsairs
d_jurchen_band         ;Jurchen Band;Karluk Band;;Jurchen Band
d_jurchen_band_adj     ;Jurchen Band;Karluk Band;;Jurchen Band
d_shiite_berber_company;Zenata Company;Zenata Company;;Tuareg Company
#Sjómenninir,,,,,,,,,,,,,,;;;;
#Title,,,,,,,,,,,,,,;;;;
DROTTINN               ;Lord    ;Drottin;;
Styrimadur             ;Steersman;Styrimaðr;;
VENTURECAPTAIN         ;Capitano di Ventura;Capitano di ventura;;
