#CODE                        ;SED     ;SWMH;OTHER;VANILLA
#CODE,ENGLISH,FRENCH,GERMAN,,SPANISH,,,,,,,,,,x;;;;
nick_ironarm                 ;Iron-Arm;Iron-Arm;;
nick_tzelepes                ;Tzelepes;Tzelepes;;
nick_tzimiskes               ;Tzimiskes;Tzimiskes;;
nick_builder                 ;the Builder;Aghmashenebeli;;
nick_caulker                 ;the Caulker;Kalaphates;;
nick_the_tall                ;the Tall;the Tall;;
nick_the_gentle              ;Kyrre   ;Kyrre;;the Gentle
nick_the_barefoot            ;Barefoot;Berrføtt;;
nick_gille                   ;Gille   ;Gille;;
nick_spear                   ;Kesja   ;Kesja;;
nick_the_eternally_remembered;the Memorable;Emune;;
nick_rollo                   ;Rollo   ;Rollo;;
