#CODE                      ;SED     ;SWMH;OTHER;VANILLA
RETTYPE_CUL_KARANTANCI     ;Knight  ;Vitez;;
RETTYPE_CUL_MORAVIAN       ;Knight  ;Rytír;;
RETTYPE_CUL_POMMERANIAN    ;Druzhina;Druzyna;;
RETTYPE_CUL_CROATIAN       ;Uskok   ;Uskok;;
RETTYPE_CUL_BOSNIAN        ;Vlastela;Vlastela;;
RETTYPE_CUL_SERBIAN        ;Vlastela;Vlastela;;
RETTYPE_CUL_BULGARIAN      ;Boyar   ;Bolqr;;
RETTYPE_CUL_BOHEMIAN       ;Knight  ;Rytír;;
RETTYPE_CUL_ROMANIAN       ;Calarasi;Calarasi;;
RETTYPE_CUL_HUNG           ;Banderium;Bandérium;;Hussar
RETTYPE_CUL_FINNO_UGRIC    ;Warrior of Lempo;Soturi Lempo;;
RETTYPE_CUL_BALT           ;Warrior of Perkunas;Karavirs Perkons;;Baltic Warrior
RETTYPE_CUL_NORMAN         ;Knight  ;Chevalier;;
RETTYPE_CUL_SOUTH_SLA      ;Hussar  ;Gusar;;Gusar
RETTYPE_CUL_BRETTON        ;Knight  ;Marc'heg;;
RETTYPE_CUL_SCOT           ;Schiltron;Schiltron;;Schiltron
RETTYPE_CUL_IRISH          ;Gallowglass;Gallóglach;;Gallowglass
RETTYPE_CUL_NORSEGAELIC    ;Gallowglass;Gallóglach;;
RETTYPE_CUL_CORNISH        ;Knight  ;Marc'heg;;
RETTYPE_CUL_WELSH          ;Longbow ;Longbow;;
RETTYPE_CUL_ENG            ;Longbow ;Longbow;;Longbow
RETTYPE_CUL_FRISIAN        ;Goedendag Burgerwacht;Goedendag Burgerwacht;;
RETTYPE_CUL_ANGLONORSE     ;Housecarl;Huscarl;;
RETTYPE_CUL_SAXON          ;Gesith  ;Gesith;;
RETTYPE_CUL_NORWEGIAN      ;Housecarl;Heiðþegi;;
RETTYPE_CUL_DANISH         ;Housecarl;Heimþegi;;
RETTYPE_CUL_GOTHIC         ;Housecarl;Heimþegi;;
RETTYPE_CUL_SWEDISH        ;Housecarl;Heimþegi;;
RETTYPE_CUL_DUTCH          ;Goedendag Burgerwacht;Goedendag Burgerwacht;;Goedendag Militia
RETTYPE_CUL_GERMAN         ;Knight  ;Ritter;;
RETTYPE_CUL_RUS            ;Druzhina;Druzhýna;;Druzhina
RETTYPE_CUL_POLISH         ;Druzhina;Druzyna;;
RETTYPE_CUL_LITHUANIAN     ;Warrior of Perkunas;Perkuno Karys;;
RETTYPE_CUL_E_AFR          ;Guard   ;Zãbãnnya;;
RETTYPE_CUL_IRANIAN        ;Khwarezmiyya;Khwarezmiyya;;
RETTYPE_CUL_MONGOL         ;Kheshig ;Kheshig;;
RETTYPE_CUL_BYZ            ;Cataphract;Kataphraktos;;Cataphract
RETTYPE_CUL_TURKISH        ;Sipahi  ;Sipahi;;
RETTYPE_CUL_ALTAIC         ;Kheshig ;Kheshig;;Horse Archer
RETTYPE_CUL_GEORGIAN       ;Royal Cavalry;Mona'spa;;
RETTYPE_CUL_ITA            ;Knight  ;Cavaliere;;Pike
RETTYPE_CUL_SARDINIAN      ;Knight  ;Cavaliere;;
RETTYPE_CUL_SICILIAN       ;Knight  ;Cavaliere;;
RETTYPE_CUL_CORSICAN       ;Knight  ;Cavaliere;;
RETTYPE_CUL_CENTRAL_ITALIAN;Knight  ;Cavaliere;;
RETTYPE_CUL_SOUTHER_ITALIAN;Knight  ;Cavaliere;;
RETTYPE_CUL_NEAPOLITAN     ;Knight  ;Cavaliere;;
