#CODE                                          ;SED     ;SWMH;OTHER;VANILLA
Chengzu                                        ;Chengzu ;;;Chengzu
Liezu                                          ;Liezu   ;;;Liezu
Xianzu                                         ;Xianzu  ;;;Xianzu
Jingzu                                         ;Jingzu  ;;;Jingzu
Zhaozu                                         ;Zhaozu  ;;;Zhaozu
Shizu                                          ;Shizu   ;;;Shizu
Taizu                                          ;Taizu   ;;;Taizu
Gaozu                                          ;Gaozu   ;;;Gaozu
Shun Empire                                    ;Shun Empire;;;Shun Empire
Yin Empire                                     ;Yin Empire;;;Yin Empire
Yue Empire                                     ;Yue Empire;;;Yue Empire
Chu Empire                                     ;Chu Empire;;;Chu Empire
Wu Empire                                      ;Wu Empire;;;Wu Empire
Shu Empire                                     ;Shu Empire;;;Shu Empire
Ming Empire                                    ;Ming Empire;;;Ming Empire
Song Empire                                    ;Song Empire;;;Song Empire
Liang Empire                                   ;Liang Empire;;;Liang Empire
Cheng Empire                                   ;Cheng Empire;;;Cheng Empire
Dai Empire                                     ;Dai Empire;;;Dai Empire
Qing Empire                                    ;Qing Empire;;;Qing Empire
Xia Empire                                     ;Xia Empire;;;Xia Empire
Yuan Empire                                    ;Yuan Empire;;;Yuan Empire
Liao Empire                                    ;Liao Empire;;;Liao Empire
Zhao Empire                                    ;Zhao Empire;;;Zhao Empire
Yan Empire                                     ;Yan Empire;;;Yan Empire
Qin Empire                                     ;Qin Empire;;;Qin Empire
Han Empire                                     ;Han Empire;;;Han Empire
Zhou Empire                                    ;Zhou Empire;;;Zhou Empire
Qi Empire                                      ;Qi Empire;;;Qi Empire
Wei Empire                                     ;Wei Empire;;;Wei Empire
Jin Empire                                     ;Jin Empire;;;Jin Empire
Tang Empire                                    ;Tang Empire;;;Tang Empire
Rome                                           ;Rome    ;;;Rome
Wu                                             ;Wu      ;;;Wu
Shun                                           ;Shun    ;;;Shun
Yin                                            ;Yin     ;;;Yin
Yue                                            ;Yue     ;;;Yue
Chu                                            ;Chu     ;;;Chu
Shu                                            ;Shu     ;;;Shu
Ming                                           ;Ming    ;;;Ming
Song                                           ;Song    ;;;Song
Liang                                          ;Liang   ;;;Liang
Cheng                                          ;Cheng   ;;;Cheng
Dai                                            ;Dai     ;;;Dai
Qing                                           ;Qing    ;;;Qing
Xia                                            ;Xia     ;;;Xia
Yuan                                           ;Yuan    ;;;Yuan
Liao                                           ;Liao    ;;;Liao
Zhao                                           ;Zhao    ;;;Zhao
Yan                                            ;Yan     ;;;Yan
Qin                                            ;Qin     ;;;Qin
Han                                            ;Han     ;;;Han
Zhou                                           ;Zhou    ;;;Zhou
Qi                                             ;Qi      ;;;Qi
Wei                                            ;Wei     ;;;Wei
Jin                                            ;Jin     ;;;Jin
Tang                                           ;Tang    ;;;Tang
Yingzong                                       ;Yingzong;;;Yingzong
Gongzong                                       ;Gongzong;;;Gongzong
Shaozong                                       ;Shaozong;;;Shaozong
Chuangzong                                     ;Chuangzong;;;Chuangzong
Zhizong                                        ;Zhizong ;;;Zhizong
Shunzong                                       ;Shunzong;;;Shunzong
Shangzong                                      ;Shangzong;;;Shangzong
Yangzong                                       ;Yangzong;;;Yangzong
Anzong                                         ;Anzong  ;;;Anzong
Sizong                                         ;Sizong  ;;;Sizong
Pingzong                                       ;Pingzong;;;Pingzong
Zhuangzong                                     ;Zhuangzong;;;Zhuangzong
Kangzong                                       ;Kangzong;;;Kangzong
Xingzong                                       ;Xingzong;;;Xingzong
Shengzong                                      ;Shengzong;;;Shengzong
Dezong                                         ;Dezong  ;;;Dezong
Zhangzong                                      ;Zhangzong;;;Zhangzong
Aizong                                         ;Aizong  ;;;Aizong
Liezong                                        ;Liezong ;;;Liezong
Daozong                                        ;Daozong ;;;Daozong
Chongzong                                      ;Chongzong;;;Chongzong
Huanzong                                       ;Huanzong;;;Huanzong
Xiangzong                                      ;Xiangzong;;;Xiangzong
Yizong                                         ;Yizong  ;;;Yizong
Jinzong                                        ;Jinzong ;;;Jinzong
Mingzong                                       ;Mingzong;;;Mingzong
Chengzong                                      ;Chengzong;;;Chengzong
Xianzong                                       ;Xianzong;;;Xianzong
Dingzong                                       ;Dingzong;;;Dingzong
Ruizong                                        ;Ruizong ;;;Ruizong
Shizong                                        ;Shizong ;;;Shizong
Xuanzong                                       ;Xuanzong;;;Xuanzong
Xizong                                         ;Xizong  ;;;Xizong
Zhaozong                                       ;Zhaozong;;;Zhaozong
Wuzong                                         ;Wuzong  ;;;Wuzong
Wenzong                                        ;Wenzong ;;;Wenzong
Jingzong                                       ;Jingzong;;;Jingzong
Muzong                                         ;Muzong  ;;;Muzong
Daizong                                        ;Daizong ;;;Daizong
Suzong                                         ;Suzong  ;;;Suzong
Duanzong                                       ;Duanzong;;;Duanzong
Duzong                                         ;Duzong  ;;;Duzong
Lizong                                         ;Lizong  ;;;Lizong
Ningzong                                       ;Ningzong;;;Ningzong
Guangzong                                      ;Guangzong;;;Guangzong
Xiaozong                                       ;Xiaozong;;;Xiaozong
Qinzong                                        ;Qinzong ;;;Qinzong
Huizong                                        ;Huizong ;;;Huizong
Zhezhong                                       ;Zhezhong;;;Zhezhong
Shenzong                                       ;Shenzong;;;Shenzong
Zhongzong                                      ;Zhongzong;;;Zhongzong
Renzong                                        ;Renzong ;;;Renzong
Zhenzong                                       ;Zhenzong;;;Zhenzong
Jomsborg                                       ;Jomsborg;;;Jomsborg
Finland                                        ;Finland Proper;;;Finland
Tavastland                                     ;Tavastia;;;Tavastland
Satakunda                                      ;Satakunta;;;Satakunda
Savolax                                        ;Savonia ;;;Savolax
#CombatUpdate.csv;;;;
#DE.csv;;;;
#FR.csv;;;;
#HolyFury.csv;;;;
bon_reformed                                   ;Bön     ;;;Bön
hellenic_pagan_reformed                        ;Hellenic;;;Hellenic
c_chios_adj                                    ;Chios   ;;;Chiosan
c_kashgar_adj                                  ;Kashgar ;;;Kashgari
c_aksu_adj                                     ;Aksu    ;;;Aksuni
c_khotan_adj                                   ;Khotanese;;;Khotani
c_yarkand_adj                                  ;Yarkand ;;;Yarkandi
c_cadota_adj                                   ;Niya    ;;;Cadotan
c_karashar_adj                                 ;Karashahr;;;Karashari
c_kucha_adj                                    ;Kuchanese;;;Kuchan
c_chaghaniyan_adj                              ;Chaghaniyan;;;Chaghaniyani
c_badakhshan_adj                               ;Badakhshan;;;Badakhshani
c_gwalior_adj                                  ;Gwalior ;;;Gwalioran
d_socotra_adj                                  ;Socotran;;;Socotran
d_sauvira_adj                                  ;Sauvira ;;;Sauviran
d_multan_adj                                   ;Multani ;;;Multani
d_lahore_adj                                   ;Lahori  ;;;Lahoran
d_gandhara_adj                                 ;Gandharan;;;Gandharan
d_kuru_adj                                     ;Kuru    ;;;Kurui
d_haritanaka_adj                               ;Haryana ;;;Haritanakan
d_mathura_adj                                  ;Mathuran;;;Mathuran
d_anartta_adj                                  ;Anarta  ;;;Anarttan
d_saurashtra_adj                               ;Saurashtra;;;Saurashtran
d_lata_adj                                     ;Lata    ;;;Latan
d_maru_adj                                     ;Marwari ;;;Maruan
d_jangladesh_adj                               ;Jangladesh;;;Jangladeshi
d_stravani_adj                                 ;Stravani;;;Stravanian
d_medapata_adj                                 ;Mewari  ;;;Medapatan
d_ajmer_adj                                    ;Ajmer   ;;;Ajmeran
d_dadhipadra_adj                               ;Avanti  ;;;Dadhipadran
d_akara_dasarna_adj                            ;Dasharna;;;Akara Dasarnan
d_anupa_adj                                    ;Anupa   ;;;Anupan
d_kanyakubja_adj                               ;Kannauj ;;;Kanyakubjan
d_saryupara_adj                                ;Sarvariya;;;Saryuparan
d_jejakabhukti_adj                             ;Bundeli ;;;Jejakabhuktian
d_dahala_adj                                   ;Chedi   ;;;Dahalan
d_devagiri_adj                                 ;Devagiri;;;Devagirian
radhanite_quarter_1_desc                       ;This fortified trade post is owned by the Radhanites, Jewish merchants known for their extensive trading contacts around the known world.;;;This fortified trade post is owned by the Radhanites, [jewish.GetName] merchants known for their extensive trading contacts around the known world.
tb_culture_chinese_han_1                       ;Crossbow Range;;;Crossbow Range
tb_culture_chinese_han_2                       ;Crossbow Range;;;Crossbow Range
tb_culture_chinese_han_3                       ;Crossbow Range;;;Crossbow Range
tb_culture_chinese_han_4                       ;Crossbow Range;;;Crossbow Range
tb_culture_altaic_jurchen_1                    ;[jurchen.GetName] Cavalry Barracks;;;[jurchen.GetName] Cavalry Barracks
tb_culture_altaic_jurchen_2                    ;[jurchen.GetName] Cavalry Barracks;;;[jurchen.GetName] Cavalry Barracks
tb_culture_altaic_jurchen_3                    ;[jurchen.GetName] Cavalry Barracks;;;[jurchen.GetName] Cavalry Barracks
tb_culture_altaic_jurchen_4                    ;[jurchen.GetName] Cavalry Barracks;;;[jurchen.GetName] Cavalry Barracks
tb_culture_tibetan_1                           ;Mountaineer Academy;;;Mountaineer Academy
tb_culture_tibetan_2                           ;Mountaineer Academy;;;Mountaineer Academy
tb_culture_tibetan_3                           ;Mountaineer Academy;;;Mountaineer Academy
tb_culture_tibetan_4                           ;Mountaineer Academy;;;Mountaineer Academy
