#CODE      ;SED     ;SWMH;OTHER;VANILLA
#CODE,ENGLISH,FRENCH,GERMAN,,SPANISH,,,,,,,,,x,;;;;
W_L_3050   ;https://en.wikipedia.org/wiki/Nizam_al-Mulk;http://en.wikipedia.org/wiki/Nizam_al-Mulk;;
W_L_1230501;https://en.wikipedia.org/wiki/Ahmad_ibn_Nizam_al-Mulk;http://en.wikipedia.org/wiki/Ahmad_ibn_Nizam_al-Mulk;;
W_L_93050  ;https://en.wikipedia.org/wiki/Sultan_Shah_of_Khwarezm;http://en.wikipedia.org/wiki/Sultan_Shah_of_Khwarezm;;
W_L_93410  ;https://en.wikipedia.org/wiki/S%C3%B6kmen_el-Kutb%C3%AE;http://en.wikipedia.org/wiki/S%C3%B6kmen_el-Kutb%C3%AE;;
W_L_1230168;https://en.wikipedia.org/wiki/Mu%27ayyid_al-Din_Ai-Aba;http://en.wikipedia.org/wiki/Mu%27ayyid_al-Din_Ai-Aba;;
W_L_1230169;https://en.wikipedia.org/wiki/Toghan-Shah;http://en.wikipedia.org/wiki/Toghan-Shah;;
W_L_1230170;https://en.wikipedia.org/wiki/Sanjar-Shah;http://en.wikipedia.org/wiki/Sanjar-Shah;;
W_L_3036   ;https://en.wikipedia.org/wiki/Chaghri_Beg;http://en.wikipedia.org/wiki/Chaghri_Beg;;https://en.wikipedia.org/wiki/Chaghri_Beg
W_L_3041   ;https://en.wikipedia.org/wiki/Qavurt;http://en.wikipedia.org/wiki/Qavurt;;
W_L_6811   ;https://en.wikipedia.org/wiki/Askold;http://en.wikipedia.org/wiki/Askold;;
W_L_144051 ;https://en.wikipedia.org/wiki/Ildeniz;http://en.wikipedia.org/wiki/Ildeniz;;
W_L_144043 ;https://en.wikipedia.org/wiki/Mahmud_II_of_Great_Seljuq;http://en.wikipedia.org/wiki/Mahmud_II_of_Great_Seljuq;;
W_L_144049 ;https://en.wikipedia.org/wiki/Ghiyath_ad-Din_Mas%27ud;http://en.wikipedia.org/wiki/Ghiyath_ad-Din_Mas%27ud;;
W_L_93126  ;https://en.wikipedia.org/wiki/Suleiman-Shah;http://en.wikipedia.org/wiki/Suleiman-Shah;;
W_L_144053 ;https://en.wikipedia.org/wiki/Malik-Shah_III;http://en.wikipedia.org/wiki/Malik-Shah_III;;
W_L_144054 ;https://en.wikipedia.org/wiki/Muhammad_II_ibn_Mahmud;http://en.wikipedia.org/wiki/Muhammad_II_ibn_Mahmud;;
W_L_144056 ;https://en.wikipedia.org/wiki/Toghrul_III;http://en.wikipedia.org/wiki/Toghrul_III;;
W_L_93258  ;https://en.wikipedia.org/wiki/Buraq_Hajib;http://en.wikipedia.org/wiki/Buraq_Hajib;;
W_L_93133  ;https://en.wikipedia.org/wiki/Muhammad_ibn_Suri;http://en.wikipedia.org/wiki/Muhammad_ibn_Suri;;
W_L_93134  ;https://en.wikipedia.org/wiki/Abu_Ali_ibn_Muhammad;http://en.wikipedia.org/wiki/Abu_Ali_ibn_Muhammad;;
W_L_93136  ;https://en.wikipedia.org/wiki/Abbas_ibn_Shith;http://en.wikipedia.org/wiki/Abbas_ibn_Shith;;
W_L_93137  ;https://en.wikipedia.org/wiki/Muhammad_ibn_Abbas;http://en.wikipedia.org/wiki/Muhammad_ibn_Abbas;;
W_L_93138  ;https://en.wikipedia.org/wiki/Qutb_al-din_Hasan;http://en.wikipedia.org/wiki/Qutb_al-din_Hasan;;
W_L_93139  ;https://en.wikipedia.org/wiki/Izz_al-Din_Husayn;http://en.wikipedia.org/wiki/Izz_al-Din_Husayn;;
W_L_93140  ;https://en.wikipedia.org/wiki/Sayf_al-Din_Suri;http://en.wikipedia.org/wiki/Sayf_al-Din_Suri;;
W_L_93141  ;https://en.wikipedia.org/wiki/Baha_al-Din_Sam_I;http://en.wikipedia.org/wiki/Baha_al-Din_Sam_I;;
W_L_93143  ;https://en.wikipedia.org/wiki/Ala_al-Din_Husayn;http://en.wikipedia.org/wiki/Ala_al-Din_Husayn;;
W_L_1230334;https://en.wikipedia.org/wiki/Sayf_al-Din_Muhammad;http://en.wikipedia.org/wiki/Sayf_al-Din_Muhammad;;
W_L_144142 ;https://en.wikipedia.org/wiki/Muhammad_of_Ghor;http://en.wikipedia.org/wiki/Muhammad_of_Ghor;;
W_L_144143 ;https://en.wikipedia.org/wiki/Ghiyath_al-Din_Mahmud;http://en.wikipedia.org/wiki/Ghiyath_al-Din_Mahmud;;
W_L_93144  ;https://en.wikipedia.org/wiki/Baha_al-Din_Sam_III;http://en.wikipedia.org/wiki/Baha_al-Din_Sam_III;;
W_L_93145  ;https://en.wikipedia.org/wiki/Ala_al-Din_Atsiz;http://en.wikipedia.org/wiki/Ala_al-Din_Atsiz;;
W_L_1230332;https://en.wikipedia.org/wiki/Ala_al-Din_Ali;http://en.wikipedia.org/wiki/Ala_al-Din_Ali;;
W_L_1230171;https://en.wikipedia.org/wiki/Ikhtiyar_al-Din_Ai-Taq;http://en.wikipedia.org/wiki/Ikhtiyar_al-Din_Ai-Taq;;
W_L_1233223;https://en.wikipedia.org/wiki/Terken_Khatun_(wife_of_Ala_ad-Din_Tekish);http://en.wikipedia.org/wiki/Terken_Khatun_(wife_of_Ala_ad-Din_Tekish);;
W_L_1229906;https://en.wikipedia.org/wiki/Terken_Khatun_(wife_of_Malik-Shah_I);http://en.wikipedia.org/wiki/Terken_Khatun_(wife_of_Malik-Shah_I);;
W_L_1233224;https://en.wikipedia.org/wiki/Inalchuq;http://en.wikipedia.org/wiki/Inalchuq;;
W_L_3014   ;https://en.wikipedia.org/wiki/B%C3%B6ritigin;http://en.wikipedia.org/wiki/B%C3%B6ritigin;;
W_L_170300 ;https://en.wikipedia.org/wiki/Nasir_ad-Din_Qabacha;http://en.wikipedia.org/wiki/Nasir_ad-Din_Qabacha;;
W_L_170302 ;https://en.wikipedia.org/wiki/Taj_al-Din_Yildiz;http://en.wikipedia.org/wiki/Taj_al-Din_Yildiz;;
W_L_144225 ;https://en.wikipedia.org/wiki/Hassan-i_Sabbah;http://en.wikipedia.org/wiki/Hassan-i_Sabbah;;
W_L_144226 ;https://en.wikipedia.org/wiki/Kiya_Buzurg_Ummid;http://en.wikipedia.org/wiki/Kiya_Buzurg_Ummid;;
W_L_144227 ;https://en.wikipedia.org/wiki/Muhammad_Buzurg_Ummid;http://en.wikipedia.org/wiki/Muhammad_Buzurg_Ummid;;
W_L_227012 ;https://en.wikipedia.org/wiki/Rashid_ad-Din_Sinan;http://en.wikipedia.org/wiki/Rashid_ad-Din_Sinan;;
W_L_1231089;https://en.wikipedia.org/wiki/Hassan_II_(Imam);http://en.wikipedia.org/wiki/Hassan_II_(Imam);;
W_L_144228 ;https://en.wikipedia.org/wiki/Nur_al-Din_Muhammad_II;http://en.wikipedia.org/wiki/Nur_al-Din_Muhammad_II;;
W_L_144229 ;https://en.wikipedia.org/wiki/Jalaluddin_Hasan;http://en.wikipedia.org/wiki/Jalaluddin_Hasan;;
W_L_144230 ;https://en.wikipedia.org/wiki/%E2%80%98Al%C4%81%E2%80%99_ad-D%C4%ABn_Mu%E1%B8%A5ammad_III;http://en.wikipedia.org/wiki/%E2%80%98Al%C4%81%E2%80%99_ad-D%C4%ABn_Mu%E1%B8%A5ammad_III;;
W_L_144231 ;https://en.wikipedia.org/wiki/Rukn_al-Din_Khurshah;http://en.wikipedia.org/wiki/Rukn_al-Din_Khurshah;;
W_L_41703  ;https://en.wikipedia.org/wiki/Omar_Khayyam;http://en.wikipedia.org/wiki/Omar_Khayyam;;
W_L_125504 ;https://en.wikipedia.org/wiki/Berke;http://en.wikipedia.org/wiki/Berke;;https://en.wikipedia.org/wiki/Berke
W_L_125505 ;https://en.wikipedia.org/wiki/Sartaq_Khan;http://en.wikipedia.org/wiki/Sartaq_Khan;;https://en.wikipedia.org/wiki/Sartaq_Khan
W_L_125506 ;https://en.wikipedia.org/wiki/Ulaghchi;http://en.wikipedia.org/wiki/Ulaghchi;;https://en.wikipedia.org/wiki/Ulaghchi
W_L_125508 ;https://en.wikipedia.org/wiki/Mengu-Timur;http://en.wikipedia.org/wiki/Mengu-Timur;;https://en.wikipedia.org/wiki/Mengu-Timur
W_L_125509 ;https://en.wikipedia.org/wiki/Tode_Mongke;http://en.wikipedia.org/wiki/Tode_Mongke;;https://en.wikipedia.org/wiki/Tode_Mongke
W_L_125511 ;https://en.wikipedia.org/wiki/Talabuga;http://en.wikipedia.org/wiki/Talabuga;;https://en.wikipedia.org/wiki/Talabuga
W_L_125512 ;https://en.wikipedia.org/wiki/Toqta;http://en.wikipedia.org/wiki/Toqta;;https://en.wikipedia.org/wiki/Toqta
W_L_480000 ;https://en.wikipedia.org/wiki/%C3%96z_Beg_Khan;http://en.wikipedia.org/wiki/%C3%96z_Beg_Khan;;https://en.wikipedia.org/wiki/%C3%96z_Beg_Khan
W_L_125514 ;https://en.wikipedia.org/wiki/Tini_Beg;http://en.wikipedia.org/wiki/Tini_Beg;;
W_L_125515 ;https://en.wikipedia.org/wiki/Jani_Beg;http://en.wikipedia.org/wiki/Jani_Beg;;
W_L_125518 ;https://en.wikipedia.org/wiki/Nogai_Khan;http://en.wikipedia.org/wiki/Nogai_Khan;;
W_L_125519 ;https://en.wikipedia.org/wiki/Chaka_of_Bulgaria;http://en.wikipedia.org/wiki/Chaka_of_Bulgaria;;http://en.wikipedia.org/wiki/Chaka_of_Bulgaria
W_L_478010 ;https://en.wikipedia.org/wiki/Abaqa_Khan;http://en.wikipedia.org/wiki/Abaqa_Khan;;https://en.wikipedia.org/wiki/Abaqa_Khan
W_L_478011 ;https://en.wikipedia.org/wiki/Hulagu_Khan;http://en.wikipedia.org/wiki/Hulagu_Khan;;http://en.wikipedia.org/wiki/Hulegu_Khan
W_L_125522 ;https://en.wikipedia.org/wiki/Baydu;http://en.wikipedia.org/wiki/Baydu;;https://en.wikipedia.org/wiki/Baydu
W_L_125523 ;https://en.wikipedia.org/wiki/Tekuder;http://en.wikipedia.org/wiki/Tekuder;;
W_L_478808 ;https://en.wikipedia.org/wiki/Arghun;http://en.wikipedia.org/wiki/Arghun;;
W_L_125524 ;https://en.wikipedia.org/wiki/Ghazan;http://en.wikipedia.org/wiki/Ghazan;;
W_L_125525 ;https://en.wikipedia.org/wiki/Gaykhatu;http://en.wikipedia.org/wiki/Gaykhatu;;https://en.wikipedia.org/wiki/Gaykhatu
W_L_125526 ;https://en.wikipedia.org/wiki/Ariq_B%C3%B6ke;http://en.wikipedia.org/wiki/Ariq_B%C3%B6ke;;
W_L_125528 ;https://en.wikipedia.org/wiki/Arpa_Ke%27un;http://en.wikipedia.org/wiki/Arpa_Ke%27un;;https://en.wikipedia.org/wiki/Arpa_Ke%27un
W_L_166853 ;https://en.wikipedia.org/wiki/Belgutei;http://en.wikipedia.org/wiki/Belgutei;;
W_L_166855 ;https://en.wikipedia.org/wiki/Tem%C3%BCge;http://en.wikipedia.org/wiki/Tem%C3%BCge;;
W_L_166854 ;https://en.wikipedia.org/wiki/Hachiun;http://en.wikipedia.org/wiki/Hachiun;;
W_L_478000 ;https://en.wikipedia.org/wiki/Musa_(Ilkhanid_dynasty);http://en.wikipedia.org/wiki/Musa_(Ilkhanid_dynasty);;https://en.wikipedia.org/wiki/Musa_(Ilkhanid_dynasty)
W_L_478001 ;https://en.wikipedia.org/wiki/Timurtash;http://en.wikipedia.org/wiki/Timurtash;;
W_L_478002 ;https://en.wikipedia.org/wiki/Chupan;http://en.wikipedia.org/wiki/Chupan;;
W_L_478003 ;https://en.wikipedia.org/wiki/Demasq_Kaja;http://en.wikipedia.org/wiki/Demasq_Kaja;;
W_L_478004 ;https://en.wikipedia.org/wiki/Shaikh_Mahmoud;http://en.wikipedia.org/wiki/Shaikh_Mahmoud;;
W_L_478005 ;https://en.wikipedia.org/wiki/Hassan_(Chupanids);http://en.wikipedia.org/wiki/Hassan_(Chupanids);;
W_L_478006 ;https://en.wikipedia.org/wiki/Abu_Sa%27id_Bahadur_Khan;http://en.wikipedia.org/wiki/Abu_Sa%27id_Bahadur_Khan;;https://en.wikipedia.org/wiki/Abu_Sa%27id_Bahadur_Khan
W_L_478007 ;https://en.wikipedia.org/wiki/%C3%96ljait%C3%BC;http://en.wikipedia.org/wiki/%C3%96ljait%C3%BC;;https://en.wikipedia.org/wiki/%C3%96ljait%C3%BC
W_L_478033 ;https://en.wikipedia.org/wiki/Hasan_Kuchak;http://en.wikipedia.org/wiki/Hasan_Kuchak;;
W_L_478034 ;https://en.wikipedia.org/wiki/Malek_Ashraf;http://en.wikipedia.org/wiki/Malek_Ashraf;;
W_L_93060  ;https://en.wikipedia.org/wiki/Togha_Tem%C3%BCr;http://en.wikipedia.org/wiki/Togha_Tem%C3%BCr;;
W_L_45108  ;https://en.wikipedia.org/wiki/Hasan_ibn_Zayd;http://en.wikipedia.org/wiki/Hasan_ibn_Zayd;;
W_L_163166 ;https://en.wikipedia.org/wiki/Muhammad_ibn_Zayd;http://en.wikipedia.org/wiki/Muhammad_ibn_Zayd;;
W_L_144123 ;https://en.wikipedia.org/wiki/Sabuktigin;http://en.wikipedia.org/wiki/Sabuktigin;;https://en.wikipedia.org/wiki/Sabuktigin
W_L_144124 ;https://en.wikipedia.org/wiki/Ismail_of_Ghazni;http://en.wikipedia.org/wiki/Ismail_of_Ghazni;;https://en.wikipedia.org/wiki/Ismail_of_Ghazni
W_L_144125 ;https://en.wikipedia.org/wiki/Mahmud_of_Ghazni;http://en.wikipedia.org/wiki/Mahmud_of_Ghazni;;https://en.wikipedia.org/wiki/Mahmud_of_Ghazni
W_L_144126 ;https://en.wikipedia.org/wiki/Muhammad_of_Ghazni;http://en.wikipedia.org/wiki/Muhammad_of_Ghazni;;
W_L_144127 ;https://en.wikipedia.org/wiki/Mas%27ud_I_of_Ghazni;http://en.wikipedia.org/wiki/Mas%27ud_I_of_Ghazni;;https://en.wikipedia.org/wiki/Mas%27ud_I_of_Ghazni
W_L_144128 ;https://en.wikipedia.org/wiki/Mawdud_of_Ghazni;http://en.wikipedia.org/wiki/Mawdud_of_Ghazni;;
W_L_144132 ;https://en.wikipedia.org/wiki/Farrukh-Zad_of_Ghazna;http://en.wikipedia.org/wiki/Farrukh-Zad_of_Ghazna;;
W_L_144133 ;https://en.wikipedia.org/wiki/Ibrahim_of_Ghazna;http://en.wikipedia.org/wiki/Ibrahim_of_Ghazna;;https://en.wikipedia.org/wiki/Ibrahim_of_Ghazna
W_L_144136 ;https://en.wikipedia.org/wiki/Arslan-Shah_of_Ghazna;http://en.wikipedia.org/wiki/Arslan-Shah_of_Ghazna;;
W_L_144137 ;https://en.wikipedia.org/wiki/Bahram-Shah_of_Ghazna;http://en.wikipedia.org/wiki/Bahram-Shah_of_Ghazna;;
W_L_144139 ;https://en.wikipedia.org/wiki/Khusrau_Malik;http://en.wikipedia.org/wiki/Khusrau_Malik;;
W_L_1232155;https://en.wikipedia.org/wiki/Katakalon_Kekaumenos;http://en.wikipedia.org/wiki/Katakalon_Kekaumenos;;
W_L_232507 ;https://en.wikipedia.org/wiki/John_Axouch;http://en.wikipedia.org/wiki/John_Axouch;;https://en.wikipedia.org/wiki/John_Axouch
W_L_1781   ;https://en.wikipedia.org/wiki/John_Doukas_(megas_doux);http://en.wikipedia.org/wiki/John_Doukas_(megas_doux);;https://en.wikipedia.org/wiki/John_Doukas_(megas_doux)
W_L_1232152;https://en.wikipedia.org/wiki/Michael_Maurex;http://en.wikipedia.org/wiki/Michael_Maurex;;
W_L_1232126;https://en.wikipedia.org/wiki/Andrew_the_Scythian;http://en.wikipedia.org/wiki/Andrew_the_Scythian;;
W_L_1232127;https://en.wikipedia.org/wiki/Christopher_(Domestic_of_the_Schools);http://en.wikipedia.org/wiki/Christopher_(Domestic_of_the_Schools);;
W_L_1232100;https://en.wikipedia.org/wiki/Karbeas;http://en.wikipedia.org/wiki/Karbeas;;
W_L_1232103;https://en.wikipedia.org/wiki/Chrysocheir;http://en.wikipedia.org/wiki/Chrysocheir;;
W_L_1232110;https://en.wikipedia.org/wiki/Gregoras_Iberitzes;http://en.wikipedia.org/wiki/Gregoras_Iberitzes;;
W_L_1232112;https://en.wikipedia.org/wiki/Stylianos_Zaoutzes;http://en.wikipedia.org/wiki/Stylianos_Zaoutzes;;
W_L_1232114;https://en.wikipedia.org/wiki/Zoe_Zaoutzaina;http://en.wikipedia.org/wiki/Zoe_Zaoutzaina;;
W_L_1232119;https://en.wikipedia.org/wiki/Leo_Apostyppes;http://en.wikipedia.org/wiki/Leo_Apostyppes;;
W_L_1232123;https://en.wikipedia.org/wiki/Nasar;http://en.wikipedia.org/wiki/Nasar;;
W_L_1232129;https://en.wikipedia.org/wiki/Kesta_Styppiotes;http://en.wikipedia.org/wiki/Kesta_Styppiotes;;
W_L_1232149;https://en.wikipedia.org/wiki/Basil_Apokapes;http://en.wikipedia.org/wiki/Basil_Apokapes;;
W_L_1232161;https://en.wikipedia.org/wiki/Nikoulitzas_Delphinas;http://en.wikipedia.org/wiki/Nikoulitzas_Delphinas;;
W_L_1232289;https://en.wikipedia.org/wiki/Constantine_Arianites;http://en.wikipedia.org/wiki/Constantine_Arianites;;
W_L_724    ;https://en.wikipedia.org/wiki/Alusian_of_Bulgaria;http://en.wikipedia.org/wiki/Alusian_of_Bulgaria;;https://en.wikipedia.org/wiki/Alusian_of_Bulgaria
W_L_20486  ;https://en.wikipedia.org/wiki/Aaronios;http://en.wikipedia.org/wiki/Aaronios;;
W_L_1232157;https://en.wikipedia.org/wiki/Manuel_Boutoumites;http://en.wikipedia.org/wiki/Manuel_Boutoumites;;
W_L_85000  ;https://en.wikipedia.org/wiki/Tatikios;http://en.wikipedia.org/wiki/Tatikios;;https://en.wikipedia.org/wiki/Tatikios
W_L_34343  ;https://en.wikipedia.org/wiki/Constantine_Euphorbenos_Katakalon;http://en.wikipedia.org/wiki/Constantine_Euphorbenos_Katakalon;;
W_L_1232196;https://en.wikipedia.org/wiki/Constantine_Opos_(megas_doux);http://en.wikipedia.org/wiki/Constantine_Opos_(megas_doux);;
W_L_34348  ;https://en.wikipedia.org/wiki/Eumathios_Philokales;http://en.wikipedia.org/wiki/Eumathios_Philokales;;
W_L_231057 ;https://en.wikipedia.org/wiki/John_Rogerios_Dalassenos;http://en.wikipedia.org/wiki/John_Rogerios_Dalassenos;;
W_L_1227400;https://en.wikipedia.org/wiki/Robert_Crispin;http://en.wikipedia.org/wiki/Robert_Crispin;;
W_L_1227439;https://en.wikipedia.org/wiki/Herv%C3%A9_Frankopoulos;http://en.wikipedia.org/wiki/Herv%C3%A9_Frankopoulos;;
W_L_34220  ;https://en.wikipedia.org/wiki/Roussel_de_Bailleul;http://en.wikipedia.org/wiki/Roussel_de_Bailleul;;
W_L_1167124;https://en.wikipedia.org/wiki/Melus_of_Bari;http://en.wikipedia.org/wiki/Melus_of_Bari;;
W_L_1167125;https://en.wikipedia.org/wiki/Argyrus_(catepan_of_Italy);http://en.wikipedia.org/wiki/Argyrus_(catepan_of_Italy);;
