#CODE                                 ;SED     ;SWMH;OTHER;VANILLA
#CODE,ENGLISH,FRENCH,GERMAN,,SPANISH,,,,,,,,,x;;;;
c_aachen_adj                          ;        ;Aachen;;
c_aalst_adj                           ;        ;Aalst;;
c_aargau_adj                          ;Aargau  ;Aargau;;Basler
c_abensberg_adj                       ;        ;Abensberg;;
c_abuhammad_adj                       ;        ;Abuhammadan;;
c_abydos_adj_oghuz                    ;Çanakkale;Canakkalan;;
c_abydos_adj_turkish                  ;Çanakkale;Canakkalan;;
c_abydos_adj_turkmen                  ;Çanakkale;Canakkalan;;
c_achaia_adj_central_italian          ;        ;Achaian;;
c_achaia_adj_corsican                 ;        ;Achaian;;
c_achaia_adj_dalmatian                ;        ;Achaian;;
c_achaia_adj_frankish                 ;        ;Achaian;;
c_achaia_adj_greek                    ;        ;Achaian;;
c_achaia_adj_italian                  ;        ;Achaian;;
c_achaia_adj_ligurian                 ;        ;Achaian;;
c_achaia_adj_neapolitan               ;        ;Achaian;;
c_achaia_adj_norman                   ;        ;Achaian;;
c_achaia_adj_oghuz                    ;        ;Ahayan;;
c_achaia_adj_sardinian                ;        ;Achaian;;
c_achaia_adj_sicilian                 ;        ;Achaian;;
c_achaia_adj_southern_italian         ;        ;Achaian;;
c_achaia_adj_turkish                  ;        ;Ahayan;;
c_achaia_adj_turkmen                  ;        ;Ahayan;;
c_achaia_adj_tuscan                   ;        ;Achaian;;
c_achaia_adj_venetian                 ;        ;Achaian;;
c_acre_adj_andalusian_arabic          ;        ;Akkan;;
c_acre_adj_bedouin_arabic             ;        ;Akkan;;
c_acre_adj_egyptian_arabic            ;        ;Akkan;;
c_acre_adj_greek                      ;        ;Ptolemaian;;
c_acre_adj_levantine_arabic           ;        ;Akkan;;
c_acre_adj_maghreb_arabic             ;        ;Akkan;;
c_acre_adj_masmuda                    ;        ;Akkan;;
c_acre_adj_sanhaja                    ;        ;Akkan;;
c_acre_adj_sicilian_arabic            ;        ;Akkan;;
c_acre_adj_tagelmust                  ;        ;Akkan;;
c_acre_adj_tuareg                     ;        ;Akkan;;
c_acre_adj_zanata                     ;        ;Akkan;;
c_adana_adj_oghuz                     ;        ;Atanán;;
c_adana_adj_turkish                   ;        ;Atanán;;
c_adana_adj_turkmen                   ;        ;Atanán;;
c_adramyttion_adj                     ;Aeolian ;Aiolían;;
c_adramyttion_adj_oghuz               ;Edremit ;Edremitan;;
c_adramyttion_adj_turkish             ;Edremit ;Edremitan;;
c_adramyttion_adj_turkmen             ;Edremit ;Edremitan;;
c_adrianopolis_adj                    ;Edirne  ;Adrianopolitan;;Adrianopolitan
c_adrianopolis_adj_alan               ;        ;Hadrianopolitan;;
c_adrianopolis_adj_aragonese          ;        ;Adrianopolitan;;
c_adrianopolis_adj_arberian           ;        ;Hadrianopolitan;;
c_adrianopolis_adj_armenian           ;        ;Hadrianopolitan;;
c_adrianopolis_adj_arpitan            ;        ;Adrianopolitan;;
c_adrianopolis_adj_basque             ;        ;Adrianopolitan;;
c_adrianopolis_adj_castillan          ;        ;Adrianopolitan;;
c_adrianopolis_adj_central_italian    ;        ;Adrianopolitan;;
c_adrianopolis_adj_corsican           ;        ;Adrianopolitan;;
c_adrianopolis_adj_danish             ;        ;Adrianopolitan;;
c_adrianopolis_adj_english            ;        ;Adrianopolitan;;
c_adrianopolis_adj_frankish           ;        ;Adrianopolitan;;
c_adrianopolis_adj_georgian           ;        ;Hadrianopolitan;;
c_adrianopolis_adj_german             ;        ;Adrianopolitan;;
c_adrianopolis_adj_gothic             ;        ;Adrianopolitan;;
c_adrianopolis_adj_greek              ;        ;Hadrianopolitan;;
c_adrianopolis_adj_hungarian          ;        ;Adrianopolitan;;
c_adrianopolis_adj_italian            ;        ;Adrianopolitan;;
c_adrianopolis_adj_leonese            ;        ;Adrianopolitan;;
c_adrianopolis_adj_ligurian           ;        ;Adrianopolitan;;
c_adrianopolis_adj_neapolitan         ;        ;Adrianopolitan;;
c_adrianopolis_adj_norman             ;        ;Adrianopolitan;;
c_adrianopolis_adj_norwegian          ;        ;Adrianopolitan;;
c_adrianopolis_adj_occitan            ;        ;Adrianopolitan;;
c_adrianopolis_adj_oghuz              ;        ;Edirnean;;
c_adrianopolis_adj_sardinian          ;        ;Adrianopolitan;;
c_adrianopolis_adj_sicilian           ;        ;Adrianopolitan;;
c_adrianopolis_adj_southern_italian   ;        ;Adrianopolitan;;
c_adrianopolis_adj_swedish            ;        ;Adrianopolitan;;
c_adrianopolis_adj_turkish            ;        ;Edirnean;;
c_adrianopolis_adj_turkmen            ;        ;Edirnean;;
c_adrianopolis_adj_tuscan             ;        ;Adrianopolitan;;
c_adrianopolis_adj_venetian           ;        ;Adrianopolitan;;
c_adulis_adj                          ;        ;Aduli;;
c_agades_adj                          ;        ;Agadí;;
c_agder_adj                           ;Agder   ;Agðir;;Agderian
c_agrigento_adj                       ;Butera  ;Butera;;Girgentian
c_ainazawa_adj                        ;        ;Azáwí;;
c_aintab_adj_andalusian_arabic        ;        ;Ayn Taban;;
c_aintab_adj_bedouin_arabic           ;        ;Ayn Taban;;
c_aintab_adj_egyptian_arabic          ;        ;Ayn Taban;;
c_aintab_adj_frankish                 ;        ;Hamtaban;;
c_aintab_adj_levantine_arabic         ;        ;Ayn Taban;;
c_aintab_adj_maghreb_arabic           ;        ;Ayn Taban;;
c_aintab_adj_norman                   ;        ;Hamtaban;;
c_aintab_adj_sicilian_arabic          ;        ;Ayn Taban;;
c_ajadabiya_adj                       ;Ajdabiya;Ajadabíyí;;Ajadabiyan
c_ajadabiya_adj_greek                 ;        ;Corniclanian;;
c_akershus_adj                        ;Vingulmark;Vingulmörkr;;Akerian
c_akhyraous_adj                       ;Mysian  ;Mysian;;
c_akhyraous_adj_frankish              ;        ;Mysian;;
c_akhyraous_adj_norman                ;        ;Mysian;;
c_akhyraous_adj_oghuz                 ;Karasid ;Karasian;;
c_akhyraous_adj_turkish               ;Karasid ;Karasian;;
c_akhyraous_adj_turkmen               ;Karasid ;Karasian;;
c_akjoujt_adj                         ;Akjoujt ;Akjoujtí;;
c_al_alamayn_adj                      ;Sallum  ;Sullumí;;Al Alamaynian
c_al_alamayn_adj_greek                ;Mersa Matruh;Paraitonian;;
c_al_bichri_adj_greek                 ;Circesium;Kirkesian;;
c_al_djazair_adj                      ;Algiers ;Djazairí;;Al Djazairian
c_al_jazira_adj                       ;Cizre   ;Jazírat ibn 'Umaran;;Hasakahn
c_al_jazira_adj_assyrian              ;        ;Gziran;;
c_al_jazira_adj_greek                 ;        ;Bethzabdan;;
c_al_jazira_adj_kurdish               ;        ;Cizîran;;
c_al_jazira_adj_oghuz                 ;        ;Cizran;;
c_al_jazira_adj_turkish               ;        ;Cizran;;
c_al_jazira_adj_turkmen               ;        ;Cizran;;
c_alania_adj                          ;Alanian ;Alanian;;Alanian
c_alania_adj_afghan                   ;        ;Al-Lanian;;
c_alania_adj_andalusian_arabic        ;        ;Al-Lanian;;
c_alania_adj_armenian                 ;        ;Alaunian;;
c_alania_adj_avar                     ;        ;As;;
c_alania_adj_baloch                   ;        ;Al-Lanian;;
c_alania_adj_bashkir                  ;        ;As;;
c_alania_adj_bedouin_arabic           ;        ;Al-Lanian;;
c_alania_adj_bolghar                  ;        ;As;;
c_alania_adj_cuman                    ;        ;As;;
c_alania_adj_daylamite                ;        ;Al-Lanian;;
c_alania_adj_egyptian_arabic          ;        ;Al-Lanian;;
c_alania_adj_georgian                 ;        ;Ovset'ian;;
c_alania_adj_karluk                   ;        ;As;;
c_alania_adj_khalaj                   ;        ;Al-Lanian;;
c_alania_adj_khazar                   ;        ;As;;
c_alania_adj_khwarezmi                ;        ;Al-Lanian;;
c_alania_adj_kirghiz                  ;        ;As;;
c_alania_adj_kurdish                  ;        ;Al-Lanian;;
c_alania_adj_levantine_arabic         ;        ;Al-Lanian;;
c_alania_adj_maghreb_arabic           ;        ;Al-Lanian;;
c_alania_adj_masmuda                  ;        ;Al-Lanian;;
c_alania_adj_mongol                   ;        ;As;;
c_alania_adj_oghuz                    ;        ;As;;
c_alania_adj_pahlavi                  ;        ;Al-Lanian;;
c_alania_adj_pecheneg                 ;        ;As;;
c_alania_adj_persian                  ;        ;Al-Lanian;;
c_alania_adj_qufs                     ;        ;Al-Lanian;;
c_alania_adj_sanhaja                  ;        ;Al-Lanian;;
c_alania_adj_sicilian_arabic          ;        ;Al-Lanian;;
c_alania_adj_sogdian                  ;        ;Al-Lanian;;
c_alania_adj_tagelmust                ;        ;Al-Lanian;;
c_alania_adj_tajik                    ;        ;Al-Lanian;;
c_alania_adj_tuareg                   ;        ;Al-Lanian;;
c_alania_adj_turkish                  ;        ;As;;
c_alania_adj_turkmen                  ;        ;As;;
