#CODE                       ;SED     ;SWMH;OTHER;VANILLA
#CODE,ENGLISH,FRENCH,GERMAN,,SPANISH,,,,,,,,,x;;;;
#### ERA NAMES,,,,,,,,,,,,,,x;;;;
BM_JERUSALEM_ERA            ;Jerusalem At Its Height;Jerusalem At Its Height;;
BM_THE_LATIN_EMPIRE_ERA     ;The Fourth Crusade;The Fourth Crusade;;
#### ERA BOOKMARK: The Old Gods,,,,,,,,,,,,,,x;;;;
ERA_JORVIK                  ;York    ;Jorvík;;Jorvik
ERA_HOLMGARDR               ;Veliky Novgorod;Holmgarðr;;Holmgarðr
ERA_CHAR_NAME_1700          ;Basil I ;Basileios I;;Basil I
#### ERA BOOKMARK: Stamford Bridge,,,,,,,,,,,,,,x;;;;
ERA_CHAR_NAME_122           ;Harold Godwinson;Hereweald Godwineson;;
ERA_CHAR_INFO_122           ;        ; ;;
ERA_ENGLALAND               ;England ;Englaland;;
#### ERA BOOKMARK: Jerusalem at Its Height,,,,,,,,,,,,,,x;;;;
#BM_JERUSALEM,Jerusalem at Its Height,,,,Jerusalén en la cima,,,,,,,,,x;;;;
#BM_JERUSALEM_DESC,Jerusalem stands strong and proud. The Principality of Antioch has been absorbed and the Kingdom has expanded inland, toward the Sinai peninsula and Damascus. Although Jerusalem’s size and strength goes a long way to secure Catholic dominance in the Levant, everything is far from guaranteed. Damascus and Aleppo still stand as guards against the massive Seljuk Sultanate to the East, and the Fatimid Caliph smarts over the losses Egypt suffered during the First Crusade. Jerusalem has many enemies, and few friends. In the distance, a scream for Jihad sounds…,,,,Jerusalén se alza fuerte y orgullosa. Ha absorbido el reino de Antioquía y se ha expandido hacia el interior, hacia la península del Sinaí y Damasco. Aunque el tamaño y la fuerza del reino son una ventaja para el dominio católico del Levante, aún no hay nada seguro. Damasco y Alepo hacen de colchón frente al masivo Sultanato Selúcida al Este, mientras el Califato Fatimid saca partido al debilitado Egipto. Jerusalén tiene muchos enemigos, y sus aliados están lejos. En la lejanía se oye el grito de la Jihad...,,,,,,,,,x;;;;
BM_JERUSALEM_ERA_INFO       ;Jerusalem stands strong and proud. The Principality of Antioch has been absorbed and the Kingdom has expanded inland, toward the Sinai peninsula and Damascus. Although Jerusalem’s size and strength goes a long way to secure Catholic dominance in the Levant, everything is far from guaranteed. Damascus and Aleppo still stand as guards against the massive Seljuk Sultanate to the East, and the Fatimid Caliph smarts over the losses Egypt suffered during the First Crusade. Jerusalem has many enemies, and few friends. In the distance, a scream for Jihad sounds…;Jerusalem stands strong and proud. The Principality of Antioch has been absorbed and the Kingdom has expanded inland, toward the Sinai peninsula and Damascus. Although Jerusalem’s size and strength goes a long way to secure Catholic dominance in the Levant, everything is far from guaranteed. Damascus and Aleppo still stand as guards against the massive Seljuk Sultanate to the East, and the Fatimid Caliph smarts over the losses Egypt suffered during the First Crusade. Jerusalem has many enemies, and few friends. In the distance, a scream for Jihad sounds…;;
ERA_CHAR_NAME_232007        ;Baldwin II of Jerusalem;Baudouin II of Jerusalem;;
ERA_CHAR_INFO_232007        ;        ; ;;
ERA_CHAR_NAME_216517        ;David IV of Georgia;Davit IV of Sakartvelo;;
ERA_CHAR_INFO_216517        ;        ; ;;
ERA_CHAR_NAME_32905         ;Al-Amir bi-Ahkami'l-Lah;Al-Amir bi-Ahkami'l-Lah;;
ERA_CHAR_INFO_32905         ;        ; ;;
ERA_CHAR_NAME_93435         ;Toghtekin;Toghtekin;;
ERA_CHAR_INFO_93435         ;        ; ;;
ERA_CHAR_NAME_34249         ;Timurtash;Timurtash;;
ERA_CHAR_INFO_34249         ;        ; ;;
ERA_CHAR_NAME_231012        ;Joscelin I, Count of Edessa;Joscelin I, Comte of Edessa;;
ERA_CHAR_INFO_231012        ;        ; ;;
#### ERA BOOKMARK: The Latin Empire,,,,,,,,,,,,,,x;;;;
BM_THE_LATIN_EMPIRE_ERA_INFO;The notorious and ill fated Fourth Crusade, which was supposed to retake Jerusalem after an invasion through Egypt, was instead derailed by scheming Venetians, corrupt leaders and the deposed Byzantine Emperor Alexios IV, seeking to regain his lost throne. The result was the tragic sack of Constantinople and the subsequent establishment of the Latin Empire. Almost none of the Crusaders even reached the Holy Land. Meanwhile, the infamous King John, brother of Richard the Lionheart, rules in England, and the Christian states of Spain face off against the powerful Almohad dynasty.;The notorious and ill fated Fourth Crusade, which was supposed to retake Jerusalem after an invasion through Egypt, was instead derailed by scheming Venetians, corrupt leaders and the deposed Byzantine Emperor Alexios IV, seeking to regain his lost throne. The result was the tragic sack of Constantinople and the subsequent establishment of the Latin Empire. Almost none of the Crusaders even reached the Holy Land. Meanwhile, the infamous King John, brother of Richard the Lionheart, rules in England, and the Christian states of Spain face off against the powerful Almohad dynasty.;;
ERA_CHAR_NAME_205523        ;Baldwin I, Latin Emperor;Baudouin I, Latin Keiser;;
ERA_CHAR_INFO_205523        ;        ; ;;
ERA_CHAR_NAME_215674        ;Theodore I Laskaris;Theodoros I Laskaris;;
ERA_CHAR_INFO_215674        ;        ; ;;
ERA_CHAR_NAME_204514        ;John, King of England;John, King of Engelond;;
ERA_ENGELOND                ;England ;Engelond;;
ERA_CHAR_INFO_204514        ;        ; ;;
ERA_CHAR_NAME_205506        ;Philip II of France;Philippe II of France;;
ERA_CHAR_INFO_205506        ;        ; ;;
ERA_CHAR_NAME_209500        ;Sancho I of Portugal;Sancho I of Portugal;;
ERA_CHAR_INFO_209500        ;        ; ;;
ERA_CHAR_NAME_34187         ;Kilij Arslan III;Kilij Arslan III;;
ERA_CHAR_INFO_34187         ;        ; ;;
#### ERA BOOKMARK: The Mongols,,,,,,,,,,,,,,x;;;;
ERA_CHAR_NAME_457620        ;Ferdinand III of Castile;Fernando III of Castilla;;Fernando III of Castile
ERA_CHAR_NAME_212513        ;Frederick II, Holy Roman Emperor;Friedrich II;;Friedrich II
ERA_CHAR_NAME_30809         ;Isabella II of Jerusalem;Isabelle II of Jerusalem;;Isabelle II of Jerusalem
ERA_CHAR_NAME_93052         ;Muhammad II of Khwarezm;Mohammed II of Khorazm;;Mohammed II of Khwarezm
ERA_KHWAREZM                ;Khwarazmian;Khwarezmid;;Khwarezmid
