#CODE         ;SED     ;SWMH;OTHER;VANILLA
#CODE,ENGLISH,FRENCH,GERMAN,,SPANISH,,,,,,,,,x,;;;;
W_L_3050      ;http://en.wikipedia.org/wiki/Nizam_al-Mulk;http://en.wikipedia.org/wiki/Nizam_al-Mulk;;
W_L_1000230501;http://en.wikipedia.org/wiki/Ahmad_ibn_Nizam_al-Mulk;http://en.wikipedia.org/wiki/Ahmad_ibn_Nizam_al-Mulk;;
W_L_1000231500;http://en.wikipedia.org/wiki/Yel%C3%BC_Dashi;http://en.wikipedia.org/wiki/Yel%C3%BC_Dashi;;
W_L_1000231514;http://en.wikipedia.org/wiki/Kuchlug;http://en.wikipedia.org/wiki/Kuchlug;;
W_L_93050     ;http://en.wikipedia.org/wiki/Sultan_Shah_of_Khwarezm;http://en.wikipedia.org/wiki/Sultan_Shah_of_Khwarezm;;
W_L_1000230168;http://en.wikipedia.org/wiki/Mu%27ayyid_al-Din_Ai-Aba;http://en.wikipedia.org/wiki/Mu%27ayyid_al-Din_Ai-Aba;;
W_L_1000230169;http://en.wikipedia.org/wiki/Toghan-Shah;http://en.wikipedia.org/wiki/Toghan-Shah;;
W_L_1000230170;http://en.wikipedia.org/wiki/Sanjar-Shah;http://en.wikipedia.org/wiki/Sanjar-Shah;;
W_L_3041      ;http://en.wikipedia.org/wiki/Qavurt;http://en.wikipedia.org/wiki/Qavurt;;
W_L_144051    ;http://en.wikipedia.org/wiki/Ildeniz;http://en.wikipedia.org/wiki/Ildeniz;;
W_L_144043    ;http://en.wikipedia.org/wiki/Mahmud_II_of_Great_Seljuq;http://en.wikipedia.org/wiki/Mahmud_II_of_Great_Seljuq;;
W_L_144049    ;http://en.wikipedia.org/wiki/Ghiyath_ad-Din_Mas%27ud;http://en.wikipedia.org/wiki/Ghiyath_ad-Din_Mas%27ud;;
W_L_93126     ;http://en.wikipedia.org/wiki/Suleiman-Shah;http://en.wikipedia.org/wiki/Suleiman-Shah;;
W_L_144053    ;http://en.wikipedia.org/wiki/Malik-Shah_III;http://en.wikipedia.org/wiki/Malik-Shah_III;;
W_L_144054    ;http://en.wikipedia.org/wiki/Muhammad_II_ibn_Mahmud;http://en.wikipedia.org/wiki/Muhammad_II_ibn_Mahmud;;
