#CODE                                 ;SED     ;SWMH;OTHER;VANILLA
#CODE,ENGLISH,FRENCH,GERMAN,,SPANISH,,,,,,,,,x;;;;
#Bohemia,,,,,,,,,,,,,,;;;;
c_opava_adj                           ;        ;Opavan;;
c_zatec_adj                           ;        ;Zatecan;;
#Baltics,,,,,,,,,,,,,,;;;;
c_barth_adj                           ;        ;Barthish;;
c_szvuine_adj                         ;        ;Szvuine;;
c_deltuva_adj                         ;        ;Deltuvian;;
c_jeriska_adj                         ;        ;Jeriskaian;;
c_kolberg_adj                         ;        ;Kolobrzeg;;
c_zemgalians_adj                      ;        ;Zemgalian;;
c_jarva_adj                           ;        ;Järvian;;
c_selija_adj                          ;Selonian;Selijan;;
c_metsepole_adj                       ;        ;Metsepolian;;
c_laanemaa_adj                        ;        ;Laanemaaian;;
c_atzele_adj                          ;        ;Atzeleian;;
c_trakai_adj                          ;        ;Trakaian;;
c_lida_adj                            ;        ;Lyda;;
c_sudovia_adj                         ;Suvalkija;Sudovia;;Trakian
c_yatvyagi_adj                        ;Western Dzukija;Dainava;;Yatvyagian
c_asmena_adj                          ;        ;Ašmena;;
c_upyte_adj                           ;        ;Upytian;;
c_nalshia_adj                         ;        ;Nalsian;;
c_bandava_adj                         ;        ;Bandavaish;;
c_duvzare_adj                         ;        ;Duvzarish;;
c_vaiga_adj                           ;        ;Vaigan;;
c_toreida_adj                         ;        ;Toreidan;;
#Denmark,,,,,,,,,,,,,,;;;;
c_skane_adj                           ;Western Scanian;Væstær Skanskr;;Scanian
c_northern_skane_adj                  ;Northern Scanian;Nørræ Skanskr;;
c_eastern_skane_adj                   ;Eastern Scanian;Østær Skanskr;;
c_blekinge_adj                        ;Blekinge;Blekynghr;;Blekinger
c_sjaelland_adj                       ;North Zealand;Nørræ Syalandr;;Sjællander
c_western_sjaelland_adj               ;        ;Wæstær Syalandr;;
c_southern_sjaelland_adj              ;        ;Syndræ Syalandr;;
c_lolland_adj                         ;Lollandic;Lalandr;;
c_fyn_adj                             ;Funen   ;Fyunr;;Fynian
c_northern_halland_adj                ;        ;Nørræ Hallandr;;
c_halland_adj                         ;Southern Halland;Syndræ Hallandr;;Hallander
c_jylland_adj                         ;Åbosyssel;Abosysælr;;Jyllander
c_central_jylland_adj                 ;        ;Warwithsysælr;;
c_northeastern_jylland_adj            ;        ;Himbræsysælr;;
c_northern_jylland_adj                ;        ;Wændlesysælr;;
c_western_jylland_adj                 ;        ;Harthæsysælr;;
c_samsoe_adj                          ;        ;Samsør;;
c_slesvig_adj                         ;Istedsyssel;Istathesysælr;;Slesvigian
c_southern_jylland_adj                ;        ;Ellæmsysælr;;
c_north_frisia_adj                    ;        ;Utlandr;;
c_bornholm_adj                        ;Bornholm;Burghændæholmr;;Bornholmian
#HRE,,,,,,,,,,,,,,;;;;
c_ravensberg_adj                      ;        ;Ravensbergische;;
c_kuenring_adj                        ;        ;Küenringische;;
c_comburg_adj                         ;        ;Comburger;;
c_chur_adj                            ;        ;Churische;;
