#TITLE;KEY;SED2VALUE;SWMHVALUE
e_ulm;title;ULM;ULM
e_ulm;foa;ULM_FOA;ULM_FOA
e_ulm;short_name;yes;yes
e_khazaria;andalusian_arabic;;Khazarstan
e_khazaria;armenian;;Chazaria
e_khazaria;greek;;Chazaria
e_khazaria;east_gothic;;Chazaria
e_khazaria;alan;;Chazaria
e_khazaria;sicilian_greek;;Chazaria
e_khazaria;arberian;;Chazaria
e_khazaria;georgian;;Chazaria
e_khazaria;turkish;;Hazarstan
e_khazaria;turkmen;;Hazarstan
e_khazaria;oghuz;;Hazarstan
e_khazaria;mongol;;Xäzärstan
e_khazaria;kirghiz;;Xäzärstan
e_khazaria;bedouin_arabic;;Khazarstan
e_khazaria;maghreb_arabic;;Khazarstan
e_khazaria;levantine_arabic;;Khazarstan
e_khazaria;egyptian_arabic;;Khazarstan
e_khazaria;sicilian_arabic;;Khazarstan
e_khazaria;russian;;Kozarye
e_khazaria;pommeranian;;Kozaria
e_khazaria;polish;;Kozariaia
e_khazaria;bohemian;;Kozaria
e_khazaria;moravian;;Kozaria
e_khazaria;karantanci;;Kozaria
e_khazaria;croatian;;Kozaria
e_khazaria;serbian;;Kozaria
e_khazaria;bosnian;;Kozaria
e_khazaria;bulgarian;;Kozaria
e_khazaria;pahlavi;;Xazarstán
e_khazaria;persian;;Xazarstán
e_khazaria;tajik;;Xazarstán
e_khazaria;daylamite;;Xazarstán
e_khazaria;khalaj;;Xazarstán
e_khazaria;soghdian;;Xazarstán
e_khazaria;khwarezmi;;Xazarstán
e_khazaria;kurdish;;Xazarstán
e_khazaria;pashtun;;Xazarstán
e_khazaria;baloch;;Xazarstán
e_khazaria;qufs;;Xazarstán
e_khazaria;sanhaja;;Khazarstan
e_khazaria;tagelmust;;Khazarstan
e_khazaria;masmuda;;Khazarstan
e_khazaria;zanata;;Khazarstan
e_khazaria;tuareg;;Khazarstan
e_khazaria;sardinian;;Cassaria
e_khazaria;sicilian;;Cassaria
e_khazaria;corsican;;Cassaria
e_khazaria;central_italian;;Cassaria
e_khazaria;southern_italian;;Cassaria
e_khazaria;neapolitan;;Cassaria
e_khazaria;tuscan;;Cassaria
e_khazaria;ligurian;;Cassaria
e_khazaria;langobardisch;;Cassaria
e_khazaria;italian;;Cassaria
e_khazaria;venetian;;Cassaria
e_khazaria;dalmatian;;Cassaria
e_khitan;short_name;yes;yes
k_cuman;dynasty_title_names;no;no
k_pechenegs;dynasty_title_names;no;no
k_qangar;dynasty_title_names;no;no
k_uzes;dynasty_title_names;no;no
d_black_caps;dynasty_title_names;no;no
d_black_caps;russian;;Chyornye Klobuki
d_black_caps;persian;;Qaum-i Kulah-i Siyahan
d_sangermano;short_name;yes;yes
k_austria;title;ADA;ADA
k_austria;foa;ADA_FOA;ADA_FOA
k_austria;title_prefix;ADA_OF;ADA_OF
d_smaland;norse;;Smáland
e_occitania;name_tier;king;king
d_rhodos;title;CAESAR;CAESAR
d_rhodos;foa;CAESAR_FOA;CAESAR_FOA
d_rhodos;title_prefix;CAESAR_OF;CAESAR_OF
e_wendish_empire;short_name;yes;yes
e_wendish_empire;pommeranian;;Vendia
e_wendish_empire;polish;Great Poland;Wiêksza Polska
e_wendish_empire;bohemian;Great Bohemia;Velké Czechy
e_wendish_empire;moravian;Great Moravia;Velká Morava
e_wendish_empire;karantanci;;Vendia
e_wendish_empire;croatian;;Vendia
