frisian;Frisian;Frysk;Frisian;
saxon;Anglo-Saxon;Angelcynn;Saxon;
cornish;Cornish;Kernowek;Cornish;
cumbric;Cumbric;Cumbri;Cumbric;
langobardisch;Lombard;Langobardo;Langobardish;
tsuudi;Estonian;Eestlased;Estonian;
livonian;Livonian;Livonijas;Livonian;
bosnian;Bosnian;Bosanski;Bosnian;
arberian;Albanian;Arbëreshë;Albanian;
serbian;Serbian;Srpski;Serbian;
sicilian;Sicilian;Sicilianu;Sicilian;
sicilian_greek;Sicilian-Greek;Sicilianu-Greco;Sicilian Greek;
sicilian_arabic;Siculo-Arabic;Siculo-Arabic;Sicilian Arabic;
pommeranian;Wendish;Vendi;Wendish;
ashkenazi;Ashkenazi Jewish;Ashkenazi;Ashkenazi;
crusader_culture;Levantine;Levantine;Levantine;
sephardic;Sephardi Jewish;Sephardi;Sephardi;
irish;Gaelic;Goidel;Gaelic;
scottish;Scottish;Scots;Scots;
anglonorse;Anglo-Norse;Anglish;Anglo Norse;
norsegaelic;Norse-Gaelic;Gall Goidel;Norse Gaelic;
judaic;Judaic;Judaic;Judaic;
welsh;Welsh;Cymry;Welsh;
norwegian;Norwegian;Norskr;Norwegian;
danish;Danish;Danskr;Danish;
swedish;Swedish;Svenskr;Swedish;
gothic;Geatish;Gautr;Gothic;
dutch;Dutch;Diets;Dutch;
pecheneg;Pecheneg;Beçenek;Pecheneg;
cuman;Kipchak;Kipchak;Kipchak;
hungarian;Hungarian;Magyar;Hungarian;
karantanci;Carantanian;Karantánski;Carinthian;
sardinian;Sardinian;Sardu;Sardinian;
moravian;Moravian;Moravský;Moravian;
frankish;Frankish;Francique;Frankish;
norman;Norman;Normaund;Norman;
basque;Basque;Euskara;Basque;
castillan;Castilian;Castellana;Castilian;
catalan;Catalan;Catalana;Catalan;
portuguese;Portuguese;Portuguesa;Portuguese;
breton;Breton;Bretoned;Breton;
german;German;Deutsch;German;
polish;Polish;Polski;Polish;
bohemian;Czech;Ceský;Bohemian;
croatian;Croatian;Hrvatski;Croatian;
bulgarian;Bulgarian;Bâlgarski;Bulgarian;
prussian;Old Prussian;Prusiskan;Prussian;
lithuanian;Lithuanian;Lietuviu;Lithuanian;
finnish;Finnish;Suomalainen;Finnish;
lappish;Sami;Sámi;Sami;
russian;Russian;Russkiy;Russian;
greek;Greek;Hellenic;Greek;
armenian;Armenian;Hayeren;Armenian;
somali;Somali;Somali;Somali;
andalusian_arabic;Andalusian;Andalusí;Andalusian;
corsican;Corsican;Corsu;Corsican;
venetian;Venetian;Veneto;Venetian;
tuscan;Tuscan;Toscano;Tuscan;
ligurian;Ligurian;Ligure;Ligurian;
arpitan;Arpitan;Arpitan;Arpitan;
italian;Lombard;Lombardo;Lombard;
central_italian;Central Italian;Mediano;Central Italian;
southern_italian;Neapolitan;Meridionale;Southern Italian;
neapolitan;Neapolitan;Neapolitano;Neapolitan;
berber;Berber;Iznagen;Berber;
tuareg;Tuareg;Kel Tamashek;Tuareg;
gascon;Gascon;Gascona;Gascon;
icelandic;Icelandic;Íslondskr;Icelandic;
bedouin_arabic;Bedouin;Badawi;Bedouin Arabic;
egyptian_arabic;Egyptian;Misri;Misri Arabic;
levantine_arabic;Levantine Arabic;Mashriq;Mashriqi Arabic;
turkish;Turkish;Türk;Turkish;
komi;Komi;Komi;Komi;
mongol;Mongol;Mongolchuud;Mongol;
kurdish;Kurdish;Kurdi;Kurdish;
ethiopian;Ethiopian;Ye-Ityoppya;Ethiopian;
georgian;Georgian;Kartvelebi;Georgian;
alan;Alan;Alauni;Alan;
aragonese;Aragonese;Aragonesa;Aragonese;
leonese;Leonese;Leonesa;Leonese;
obotrite;Obotrite;Abordite;Obotrite;
lutici;Lutician;Lutici;Liutician;
galician;Galician;Gallega;Galician;
maghreb_arabic;Maghrebian;Maghreb;Maghreb Arabic;
samoyed;Bjarmian;Beorm;Bjarmian;
karelian;Karelian;Karjalainen;;
vepsian;Vepsian;Vepsalainen;;
mari;Mari;Mejralainen;;
ingrian;Ingrian;Inkerilainen;;
########################################;;;;
#Groups;;;;
########################################;;;;
#north_germanic;;Norrœnt;Norrœnt;
italian_group;Italian;Italian;Italian;
north_african;Berber;Berber;Berber;
iberian;Iberian Romance;Ibero-Romance;Ibero-Romance;
central_slavic;Central Slavic;Central Slavic;Central Slavic;
#italian_group;;Italiano;Italian;
########################################;;;;
sanhaja;Sanhaja;Znága;Sanhája;
masmuda;Masmuda;Imesmuden;Masmúda;
zanata;Zenata;Aznáta;Zanáta;
soninke;Soninke;Soninke;Soninke;
wolof;Wolof;Wolof;Wolof;
nubian;Nubian;Nubian;Nubian;
songhai;Songhai;Songhai;Songhai;
tagelmust;Tuareg;Tagelmust;Veiled Sanhája;
hausa;Hausa;Hausa;Hausa;
kanuri;Kanuri;Kanuri;Kanuri;
zaghawa;Zaghawa;Zaghawa;Zaghawa;
beja;Beja;Beja;Beja;
daju;Daju;Daju;Daju;
falashim;Beta Israel;Beta Yisrael;Beta Yisrael;
afar;Afar;Afar;Afar;
