#CODE                  ;SED2    ;SWMH;OTHERSWMH;SED1;VANILLA
d_band_of_the_brave    ;the Brave Band;The brave band;;Band of the Brave;
d_band_of_the_brave_adj;Brave Band;The brave band;;Mercenary;
d_band_of_the_red      ;the Band of the Red;Floti hinn rauði;;Band of the Red;
d_band_of_the_red_adj  ;Band of the Red;Floti hinn rauði;;Mercenary;
d_jomsvikinger         ;the Jomsvikings;Jómsvíkingar;;Jómsvíkings;
d_jomsvikinger_adj     ;Jomsviking;Jómsvíkingar;;Jómsvíking;
d_black_gang           ;the Arumer Zwarte Hoop;Arumer Zwarte Hoop;;Black Gang;
d_black_gang_adj       ;Arumer Zwarte Hoop;Arumer Zwarte Hoop;;Black Gang;
d_dove_company         ;the Company of the Dove;Compagnia della Colomba;;Company of the Dove;
d_dove_company_adj     ;Company of the Dove;Compagnia della Colomba;;Mercenary;
d_ulfhedar             ;the Berserkers;Úlfhéðnar;;Berserker;
d_ulfhedar_adj         ;Berserker;Úlfhéðnar;;Berserker;
d_valr                 ;the Slain;Valr;;Slain Warriors;
d_valr_adj             ;Slain   ;Valr;;Valr;
#Sjómenninir,,,,,,,,,,,,,,;;;;;
#Title,,,,,,,,,,,,,,;;;;;
DROTTINN               ;Lord    ;Drottin;;Drottin;
Styrimadur             ;Steersman;Styrimaðr;;Styrimadur;
VENTURECAPTAIN         ;Capitano di ventura;Capitano di ventura;;Captain of fortune;
