#CODE                                   ;SED2    ;SWMH;OTHER;SED1;VANILLA
#CombatUpdate.csv;;
#India.csv;;
d_socotra                               ;Socotra ;;;;Socotra
d_yaik                                  ;Ural    ;;;;Yaik
d_yaik_adj                              ;Ural    ;;;;Yaiki
c_guryev_adj                            ;Saray-Jük;;;;Atyrauer
c_sirjan_adj                            ;Sirjan  ;;;;Sirjani
c_ghazna_adj                            ;Ghazni  ;;;;Ghazni
c_kabul_adj                             ;Kabul   ;;;;Kabulian
c_khuttal_adj                           ;Khuttalan;;;;Khuttali
c_sibir_adj                             ;Tobol   ;;;;Sibirian
c_otrar_adj                             ;Otrar   ;;;;Otrarian
c_turgay_adj                            ;Turgai  ;;;;Turgay
c_balkhash_adj                          ;Balkhash;;;;Balkhashi
c_socotra_adj                           ;Socotran;;;;Socotran
e_rajastan                              ;Rajasthan;;;;Rajastan
k_sindh                                 ;Sindh   ;;;;Sindh
d_sauvira                               ;Sauvira ;;;;Sauvira
d_bhakkar                               ;Bhakkar ;;;;Bhakkar
k_punjab                                ;Punjab  ;;India,Indike;;Punjab
d_multan                                ;Multan  ;;;;Multan
d_lahore                                ;Lahore  ;;;;Lahore
d_gandhara                              ;Gandhara;;;;Gandhara
k_delhi                                 ;Delhi   ;;;;Delhi
d_kuru                                  ;Kuru    ;;;;Kuru
d_haritanaka                            ;Haryana ;;;;Haritanaka
d_mathura                               ;Mathura ;;;;Mathura
d_vodamayutja                           ;Budaun  ;;;;Vodamayutja
k_gujarat                               ;Gujarat ;;;;Gujarat
d_gurjara_mandala                       ;Gujarat ;;;;Gurjara Mandala
d_anartta                               ;Anarta  ;;;;Anartta
d_saurashtra                            ;Saurashtra;;;;Saurashtra
d_lata                                  ;Lata    ;;;;Lata
k_rajputana                             ;Rajputana;;;;Rajputana
d_maru                                  ;Marwar  ;;;;Maru
d_jangladesh                            ;Jangladesh;;;;Jangladesh
d_stravani                              ;Stravani;;;;Stravani
d_medapata                              ;Mewar   ;;;;Medapata
d_ajmer                                 ;Ajmer   ;;;;Ajmer
k_malwa                                 ;Malwa   ;;;;Malwa
d_dadhipadra                            ;Avanti  ;;;;Avanti
d_akara_dasarna                         ;Dasharna;;;;Akara-Dasarna
d_anupa                                 ;Anupa   ;;;;Anupa
k_kosala                                ;Kosala  ;;;;Kosala
d_kanyakubja                            ;Kannauj ;;;;Kanyakubja
d_saryupara                             ;Saryupara;;;;Saryupara
d_jejakabhukti                          ;Bundelkhand;;;;Jejakabhukti
c_kanyakubja_adj                        ;Kannauj ;;;;Kanyakubjan
c_lakhnau_adj                           ;Lucknow ;;;;Lakhnau
c_kalpi_adj                             ;Kalpi   ;;;;Kalpi
c_bharauli_adj                          ;Barauli ;;;;Bharauli
c_prayaga_adj                           ;Allahabad;;;;Prayaga
c_asni_adj                              ;Asni    ;;;;Asni
c_naimisa_adj                           ;Naimisha;;;;Naimisan
c_sravasti_adj                          ;Sravasti;;;;Sravasti
c_ayodhya_adj                           ;Ayodhya ;;;;Ayodhya
c_mahoba_adj                            ;Mahoba  ;;;;Mahoban
c_kalanjara_adj                         ;Kalanjara;;;;Kalanjaran
c_damoh_adj                             ;Damoh   ;;;;Damoh
c_gurgi_adj                             ;Gurgi   ;;;;Gurgi
c_delhi_adj                             ;Delhi   ;;;;Delhi
c_hastinapura_adj                       ;Hastinapur;;;;Hastinapuran
c_sthanisvara_adj                       ;Thanesar;;;;Sthanisvaran
c_hisar_adj                             ;Hisar   ;;;;Hisar
c_tribandapura_adj                      ;Tribandapura;;;;Tribandapuran
c_sarasvati_adj                         ;Saraswati;;;;Sarasvati
c_mathura_adj                           ;Mathura ;;;;Mathuran
c_kol_adj                               ;Aligarh ;;;;Kol
c_sripatha_adj                          ;Bayana  ;;;;Sripathan
c_vodamayutja_adj                       ;Budaun  ;;;;Vodamayutjan
c_sambhal_adj                           ;Sambhal ;;;;Sambhal
c_katehar_adj                           ;Rohilkhand;;;;Kateharan
c_dadhipadra_adj                        ;Dahod   ;;;;Dadhipadran
c_dhara_adj                             ;Dhar    ;;;;Dhara
c_dasapura_adj                          ;Mandsaur;;;;Dasapuran
c_ujjayini_adj                          ;Ujjain  ;;;;Ujjayini
c_sarangpur_adj                         ;Sarangpur;;;;Sarangpuran
c_vidisa_adj                            ;Vidisha ;;;;Vidisa
c_chanderi_adj                          ;Chanderi;;;;Chanderi
c_candhoba_adj                          ;Candhoba;;;;Candhoban
c_mandapika_adj                         ;Mandu   ;;;;Mandapikan
c_asirgarh_adj                          ;Asirgarh;;;;Asirgarh
c_burhanpur_adj                         ;Burhanpur;;;;Burhanpuran
c_thalner_adj                           ;Thalner ;;;;Thalner
c_sarasvata_mandala_adj                 ;Sarasvata;;;;Sarasvatan
c_khetaka_adj                           ;Kheda   ;;;;Khetakan
c_mohadavasaka_adj                      ;Modasa  ;;;;Mohadavasakan
c_dhamalpur_adj                         ;Dhrol   ;;;;Dhamalpuran
c_dvaraka_adj                           ;Dwarka  ;;;;Dvarakan
c_kutch_adj                             ;Kutch   ;;;;Kutch
c_bhumilka_adj                          ;Bilkha  ;;;;Bhumilkan
c_somnath_adj                           ;Somnath ;;;;Somnath
c_vardhamana_adj                        ;Wadhwan ;;;;Vardhamana
c_valabhi_adj                           ;Vallabhi;;;;Valabhi
c_navasarika_adj                        ;Navsari ;;;;Navasarikan
c_daman_adj                             ;Daman   ;;;;Daman
c_vadodara_adj                          ;Vadodara;;;;Vadodaran
c_mandavyapura_adj                      ;Mandore ;;;;Mandavyapuran
c_medantaka_adj                         ;Merta   ;;;;Medantakan
c_godwad_adj                            ;Gorwar  ;;;;Godwadan
c_vikramapura_adj                       ;Bikampur;;;;Vikramapuran
c_reni_adj                              ;Taranagar;;;;Reni
c_nagauda_adj                           ;Nagaur  ;;;;Nagaudan
c_ludrava_adj                           ;Lodhruva;;;;Ludravan
c_vijnot_adj                            ;Vijnot  ;;;;Vijnot
c_satyapura_adj                         ;Sanchore;;;;Satyapuran
c_medapata_adj                          ;Mewar   ;;;;Medapatan
c_chitrakut_adj                         ;Chittorgarh;;;;Chitrakutan
c_kota_adj                              ;Kota    ;;;;Kotan
c_ajayameru_adj                         ;Ajmer   ;;;;Ajayameru
c_ranthambore_adj                       ;Ranthambore;;;;Ranthambore
c_vairata_adj                           ;Bairat  ;;;;Vairatan
c_debul_adj                             ;Debal   ;;;;Debul
c_sonda_adj                             ;Sodha   ;;;;Sonda
c_mansura_adj                           ;Brahmanabad;;;;Mansuran
c_ranikot_adj                           ;Ranikot ;;;;Ranikotan
c_siwistan_adj                          ;Siwistan;;;;Siwistan
c_bhakkar_adj                           ;Bhakkar ;;;;Bhakkar
c_aror_adj                              ;Aror    ;;;;Aror
c_rajanpur_adj                          ;Rajanpur;;;;Rajanpur
c_sibi_adj                              ;Sibi    ;;;;Sibi
c_multan_adj                            ;Multan  ;;;;Multan
c_kafirkot_adj                          ;Kafir Kot;;;;Kafirkot
c_uch_adj                               ;Uch     ;;;;Uch
c_karur_adj                             ;Kahror Pacca;;;;Karur
c_karor_adj                             ;Karor   ;;;;Karor
c_bannu_adj                             ;Bannu   ;;;;Bannu
c_lahur_adj                             ;Lahore  ;;;;Lahur
c_dipalpur_adj                          ;Dipalpur;;;;Dipalpur
c_bhera_adj                             ;Bhera   ;;;;Bheran
c_shorkot_adj                           ;Shorkot ;;;;Shorkot
c_sakala_adj                            ;Sagala  ;;;;Sakalan
c_trigarta_adj                          ;Trigarta;;;;Trigartan
c_gurjaratra_adj                        ;Gujrat  ;;;;Gurjaratran
c_udabhanda_adj                         ;Muzaffarabad;;;;Udabhandan
c_purushapura_adj                       ;Peshawar;;;;Purushapuran
c_nandana_adj                           ;Nandana ;;;;Nandana
c_kasmira_adj                           ;Kasmira ;;;;Kasmiran
c_quzdar_adj                            ;Khuzdar ;;;;Quzdar
c_wana_adj                              ;Loralai ;;;;Wana
c_kandail_adj                           ;Kandail ;;;;Kandail
c_makran_adj                            ;Makran  ;;;;Makran
#LegacyOfRome.csv;;
title_imperial_eunuch                   ;Parakoimomenos;;;;Parakoimomenos
title_imperial_eunuch_desc              ;The parakoimomenos, “the one who sleeps beside the Emperor’s chamber,” is a prestigious office at the Imperial Court reserved for eunuchs, who are valued for their perceived loyalty and discretion.;;;;The Parakoimomenos, "the one who sleeps beside the Emperor's chamber," is a prestigious office at the Imperial Court reserved for eunuchs, who are valued for their perceived loyalty and discretion.
title_court_eunuch                      ;Court Eunuch;;;;Court Eunuch
title_court_eunuch_desc                 ;Eunuchs perform many valued court functions and can be trusted in the presence of women.;;;;Eunuchs perform many valued court functions and can be trusted in the presence of women.
#RulerDesigner.csv;;
#SwordOfIslam.csv;;
#WikipediaLinks.csv;;
#sunset_invasion.csv;;
mesoamerican                            ;Mesoamerican;;;;Mesoamerican
nahuatl                                 ;Nahua   ;;;;Nahua
aztec                                   ;Aztec   ;;;;Aztec
e_mexikha                               ;Aztec Empire;;;;Aztec Empire
e_mexikha_adj                           ;Aztec   ;;;;Aztec
RETTYPE_CUL_NAHUA                       ;Jaguar Warrior;;;;Jaguar Warrior
#text1.csv;;
ca_keep_1                               ;Keep    ;;;;Keep
ca_keep_2                               ;Keep    ;;;;Keep
ca_keep_3                               ;Keep    ;;;;Keep
ca_keep_4                               ;Keep    ;;;;Keep
ca_keep_5                               ;Keep    ;;;;Keep
ca_keep_6                               ;Keep    ;;;;Keep
ca_militia_barracks_1                   ;Militia Training Ground;;;;Militia Training Ground
ca_militia_barracks_2                   ;Militia Training Ground;;;;Militia Training Ground
ca_militia_barracks_3                   ;Militia Training Ground;;;;Militia Training Ground
ca_militia_barracks_4                   ;Militia Training Ground;;;;Militia Training Ground
ca_training_grounds_1                   ;Training Grounds;;;;Training Grounds
ca_training_grounds_2                   ;Training Grounds;;;;Training Grounds
ca_training_grounds_3                   ;Training Grounds;;;;Training Grounds
ct_marketplace_1                        ;Town Market;;;;Town Market
ct_marketplace_2                        ;City Guild Hall;;;;City Guild Hall
ct_marketplace_3                        ;Toll Booth;;;;Toll Booth
ct_marketplace_4                        ;Court   ;;;;Court
ct_marketplace_5                        ;Assay Office;;;;Assay Office
ct_marketplace_6                        ;Fair    ;;;;Fair
tp_monastery_1                          ;Church  ;;;;Church
tp_monastery_2                          ;Church  ;;;;Church
tp_monastery_3                          ;Church  ;;;;Church
tp_monastery_4                          ;Cathedral;;;;Cathedral
tp_monastery_5                          ;Cathedral;;;;Cathedral
tp_monastery_6                          ;Cathedral;;;;Cathedral
tp_town_1                               ;Church Town;;;;Church Town
tp_town_2                               ;Church Town;;;;Church Town
tp_town_3                               ;Church Town;;;;Church Town
tp_town_4                               ;Church Town;;;;Church Town
tp_town_5                               ;Church Town;;;;Church Town
tp_town_6                               ;Church Town;;;;Church Town
english                                 ;English ;;;;English
occitan                                 ;Occitan ;;;;Occitan
lettigallish                            ;Latgalian;;;;Lettigallian
north_germanic                          ;North Germanic;;;;North Germanic
central_germanic                        ;Central Germanic;;;;Central Germanic
west_germanic                           ;West Germanic;;;;West Germanic
latin                                   ;Latin   ;;;;Latin
byzantine                               ;Byzantine;;;;Byzantine
celtic                                  ;Celtic  ;;;;Celtic
finno_ugric                             ;Finno-Ugric;;;;Finno-Ugric
baltic                                  ;Baltic  ;;;;Baltic
altaic                                  ;Altaic  ;;;;Altaic
arabic                                  ;Arabic  ;;;;Arabic
east_slavic                             ;East Slavic;;;;East Slavic
west_slavic                             ;West Slavic;;;;West Slavic
south_slavic                            ;South Slavic;;;;South Slavic
magyar                                  ;Hungarian;;;;Magyar
iranian                                 ;Iranian ;;;;Iranian
east_african                            ;East African;;;;East African
d_uppland                               ;Uppland ;;Sviþjod;;Uppland
d_uppland_adj                           ;Upplandic;;;;Upplander
c_uppland_adj                           ;Upplandic;;;;Upplander
c_vastergotland_adj                     ;Västergötlandic;;;;West Geatish
c_ostergotland_adj                      ;Östergötlandic;;;;East Geatish
c_sodermanland_adj                      ;Södermanlandic;;;;Södermannian
c_gotland_adj                           ;Gotlandic;;;;Gotlander
c_smaland_adj                           ;Värend  ;;;;Värender
e_rebels                                ;Rebels  ;;;;Rebels
