#CODE                            ;SED2    ;SWMH;OTHER;SED1;VANILLA
#CombatUpdate.csv;;
#India.csv;;
d_socotra                        ;        ;;;;Socotra
d_sennar                         ;        ;;;;Alodia
d_sennar_adj                     ;        ;;;;Alodian
d_yaik                           ;        ;;;;Yaik
d_yaik_adj                       ;        ;;;;Yaiki
c_guryev_adj                     ;        ;;;;Atyrauer
c_sirjan_adj                     ;        ;;;;Sirjani
c_ghazna_adj                     ;        ;;;;Ghazni
c_kabul_adj                      ;        ;;;;Kabulian
c_khuttal_adj                    ;        ;;;;Khuttali
c_sibir_adj                      ;        ;;;;Sibirian
c_otrar_adj                      ;        ;;;;Otrarian
c_turgay_adj                     ;        ;;;;Turgay
c_balkhash_adj                   ;        ;;;;Balkhashi
c_socotra_adj                    ;        ;;;;Socotran
e_rajastan                       ;        ;;;;Rajastan
k_sindh                          ;        ;;;;Sindh
d_sauvira                        ;        ;;;;Sauvira
d_bhakkar                        ;        ;;;;Bhakkar
k_punjab                         ;        ;;India,Indike;;Punjab
d_multan                         ;        ;;;;Multan
d_lahore                         ;        ;;;;Lahore
d_gandhara                       ;        ;;;;Gandhara
k_delhi                          ;        ;;;;Delhi
d_kuru                           ;        ;;;;Kuru
d_haritanaka                     ;        ;;;;Haritanaka
d_mathura                        ;        ;;;;Mathura
d_vodamayutja                    ;        ;;;;Vodamayutja
k_gujarat                        ;        ;;;;Gujarat
d_gurjara_mandala                ;        ;;;;Gurjara Mandala
d_anartta                        ;        ;;;;Anartta
d_saurashtra                     ;        ;;;;Saurashtra
d_lata                           ;        ;;;;Lata
k_rajputana                      ;        ;;;;Rajputana
d_maru                           ;        ;;;;Maru
d_jangladesh                     ;        ;;;;Jangladesh
d_stravani                       ;        ;;;;Stravani
d_medapata                       ;        ;;;;Medapata
d_ajmer                          ;        ;;;;Ajmer
k_malwa                          ;        ;;;;Malwa
d_dadhipadra                     ;        ;;;;Avanti
d_akara_dasarna                  ;        ;;;;Akara-Dasarna
d_anupa                          ;        ;;;;Anupa
k_kosala                         ;        ;;;;Kosala
d_kanyakubja                     ;        ;;;;Kanyakubja
d_saryupara                      ;        ;;;;Saryupara
d_jejakabhukti                   ;        ;;;;Jejakabhukti
c_kanyakubja_adj                 ;        ;;;;Kanyakubjan
c_lakhnau_adj                    ;        ;;;;Lakhnau
c_kalpi_adj                      ;        ;;;;Kalpi
c_bharauli_adj                   ;        ;;;;Bharauli
c_prayaga_adj                    ;        ;;;;Prayaga
c_asni_adj                       ;        ;;;;Asni
c_naimisa_adj                    ;        ;;;;Naimisan
c_sravasti_adj                   ;        ;;;;Sravasti
c_ayodhya_adj                    ;        ;;;;Ayodhya
c_mahoba_adj                     ;        ;;;;Mahoban
c_kalanjara_adj                  ;        ;;;;Kalanjaran
c_damoh_adj                      ;        ;;;;Damoh
c_gurgi_adj                      ;        ;;;;Gurgi
c_delhi_adj                      ;        ;;;;Delhi
c_hastinapura_adj                ;        ;;;;Hastinapuran
c_sthanisvara_adj                ;        ;;;;Sthanisvaran
c_hisar_adj                      ;        ;;;;Hisar
c_tribandapura_adj               ;        ;;;;Tribandapuran
c_sarasvati_adj                  ;        ;;;;Sarasvati
c_mathura_adj                    ;        ;;;;Mathuran
c_kol_adj                        ;        ;;;;Kol
c_sripatha_adj                   ;        ;;;;Sripathan
c_vodamayutja_adj                ;        ;;;;Vodamayutjan
c_sambhal_adj                    ;        ;;;;Sambhal
c_katehar_adj                    ;        ;;;;Kateharan
c_dadhipadra_adj                 ;        ;;;;Dadhipadran
c_dhara_adj                      ;        ;;;;Dhara
c_dasapura_adj                   ;        ;;;;Dasapuran
c_ujjayini_adj                   ;        ;;;;Ujjayini
c_sarangpur_adj                  ;        ;;;;Sarangpuran
c_vidisa_adj                     ;        ;;;;Vidisa
c_chanderi_adj                   ;        ;;;;Chanderi
c_candhoba_adj                   ;        ;;;;Candhoban
c_mandapika_adj                  ;        ;;;;Mandapikan
c_asirgarh_adj                   ;        ;;;;Asirgarh
c_burhanpur_adj                  ;        ;;;;Burhanpuran
c_thalner_adj                    ;        ;;;;Thalner
c_sarasvata_mandala_adj          ;        ;;;;Sarasvatan
c_khetaka_adj                    ;        ;;;;Khetakan
c_mohadavasaka_adj               ;        ;;;;Mohadavasakan
c_dhamalpur_adj                  ;        ;;;;Dhamalpuran
c_dvaraka_adj                    ;        ;;;;Dvarakan
c_kutch_adj                      ;        ;;;;Kutch
c_bhumilka_adj                   ;        ;;;;Bhumilkan
c_somnath_adj                    ;        ;;;;Somnath
c_vardhamana_adj                 ;        ;;;;Vardhamana
c_valabhi_adj                    ;        ;;;;Valabhi
c_navasarika_adj                 ;        ;;;;Navasarikan
c_daman_adj                      ;        ;;;;Daman
c_vadodara_adj                   ;        ;;;;Vadodaran
c_mandavyapura_adj               ;        ;;;;Mandavyapuran
c_medantaka_adj                  ;        ;;;;Medantakan
c_godwad_adj                     ;        ;;;;Godwadan
c_vikramapura_adj                ;        ;;;;Vikramapuran
c_reni_adj                       ;        ;;;;Reni
c_nagauda_adj                    ;        ;;;;Nagaudan
c_ludrava_adj                    ;        ;;;;Ludravan
c_vijnot_adj                     ;        ;;;;Vijnot
c_satyapura_adj                  ;        ;;;;Satyapuran
c_medapata_adj                   ;        ;;;;Medapatan
c_chitrakut_adj                  ;        ;;;;Chitrakutan
c_kota_adj                       ;        ;;;;Kotan
c_ajayameru_adj                  ;        ;;;;Ajayameru
c_ranthambore_adj                ;        ;;;;Ranthambore
c_vairata_adj                    ;        ;;;;Vairatan
c_debul_adj                      ;        ;;;;Debul
c_sonda_adj                      ;        ;;;;Sonda
c_mansura_adj                    ;        ;;;;Mansuran
c_ranikot_adj                    ;        ;;;;Ranikotan
c_siwistan_adj                   ;        ;;;;Siwistan
c_bhakkar_adj                    ;        ;;;;Bhakkar
c_aror_adj                       ;        ;;;;Aror
c_rajanpur_adj                   ;        ;;;;Rajanpur
c_sibi_adj                       ;        ;;;;Sibi
c_multan_adj                     ;        ;;;;Multan
c_kafirkot_adj                   ;        ;;;;Kafirkot
c_uch_adj                        ;        ;;;;Uch
c_karur_adj                      ;        ;;;;Karur
c_karor_adj                      ;        ;;;;Karor
c_bannu_adj                      ;        ;;;;Bannu
c_lahur_adj                      ;        ;;;;Lahur
c_dipalpur_adj                   ;        ;;;;Dipalpur
c_bhera_adj                      ;        ;;;;Bheran
c_shorkot_adj                    ;        ;;;;Shorkot
c_sakala_adj                     ;        ;;;;Sakalan
c_trigarta_adj                   ;        ;;;;Trigartan
c_gurjaratra_adj                 ;        ;;;;Gurjaratran
c_udabhanda_adj                  ;        ;;;;Udabhandan
c_purushapura_adj                ;        ;;;;Purushapuran
c_nandana_adj                    ;        ;;;;Nandana
c_kasmira_adj                    ;        ;;;;Kasmiran
c_quzdar_adj                     ;        ;;;;Quzdar
c_wana_adj                       ;        ;;;;Wana
